dataset,f_score_val,f_score_test,accuracy,mcr,size,asm
Biodegradeable,0.885,0.8175,0.8346,0.1654,22.6333,0.1763
Climate,0.8527,0.6603,0.9286,0.0714,6.8333,0.3785
Connectionistbench,0.9307,0.7374,0.7429,0.2571,25.1667,0.1639
Hepatitis,0.873,0.8638,0.9278,0.0722,6.5667,0.2851
Ionosphere,0.9165,0.8856,0.9016,0.0984,7.3333,0.239
Sonar,0.9247,0.7506,0.7556,0.2444,24.3667,0.1652
Uci_imageseg,0.8925,0.8043,0.8011,0.1989,12.8,0.255
Uci_libras,0.7928,0.6517,0.6793,0.3207,36.0,0.1638
Uci_muskv1,0.874,0.8036,0.804,0.196,65.3667,0.0821
Uci_parkinsons,0.9225,0.7679,0.8226,0.1774,11.2333,0.2966
Uci_vehicle,0.7401,0.7174,0.7177,0.2823,12.4333,0.5057
Uci_voice,0.9588,0.7139,0.7518,0.2482,140.4667,0.0158
Urbanland,0.8514,0.7968,0.8182,0.1818,61.6,0.1124
Wine,0.9935,0.9936,0.9938,0.0062,6.1,0.4661

