f1_macro,accuracy,tn,fp,fn,tp,recall,size,vector
0.9016452074391987,0.9490909090909091,1356,40,44,210,0.8990591792071836,166,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
0.8976323879572043,0.9472727272727273,1356,40,47,207,0.89315366739616,166,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
0.9337822381603502,0.9660606060606061,1373,23,33,221,0.92680154772917,166,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
0.8996972383751101,0.9503030303030303,1370,26,56,198,0.8804514586106535,166,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
0.8870024701470223,0.9387878787878788,1333,63,38,216,0.9026323804796608,166,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
0.9190868229913918,0.9575757575757575,1359,37,33,221,0.9217872210816055,166,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
0.9016934284982101,0.9496969696969697,1360,36,47,207,0.8945863321526071,166,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
0.9071265982668134,0.9545454545454546,1377,19,56,198,0.8829586219344359,166,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
0.9209057171823117,0.9593939393939394,1367,29,38,216,0.9148100309094601,166,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
0.904062261546446,0.9509090909090909,1361,35,46,208,0.8969130022787266,166,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
0.9016452074391987,0.9490909090909091,1356,40,44,210,0.8990591792071836,166,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
0.8976323879572043,0.9472727272727273,1356,40,47,207,0.89315366739616,166,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
0.9337822381603502,0.9660606060606061,1373,23,33,221,0.92680154772917,166,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
0.8996972383751101,0.9503030303030303,1370,26,56,198,0.8804514586106535,166,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
0.8870024701470223,0.9387878787878788,1333,63,38,216,0.9026323804796608,166,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
0.9190868229913918,0.9575757575757575,1359,37,33,221,0.9217872210816055,166,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
0.9016934284982101,0.9496969696969697,1360,36,47,207,0.8945863321526071,166,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
0.9071265982668134,0.9545454545454546,1377,19,56,198,0.8829586219344359,166,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
0.9209057171823117,0.9593939393939394,1367,29,38,216,0.9148100309094601,166,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
0.904062261546446,0.9509090909090909,1361,35,46,208,0.8969130022787266,166,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
0.9016452074391987,0.9490909090909091,1356,40,44,210,0.8990591792071836,166,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
0.8976323879572043,0.9472727272727273,1356,40,47,207,0.89315366739616,166,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
0.9337822381603502,0.9660606060606061,1373,23,33,221,0.92680154772917,166,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
0.8996972383751101,0.9503030303030303,1370,26,56,198,0.8804514586106535,166,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
0.8870024701470223,0.9387878787878788,1333,63,38,216,0.9026323804796608,166,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
0.9190868229913918,0.9575757575757575,1359,37,33,221,0.9217872210816055,166,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
0.9016934284982101,0.9496969696969697,1360,36,47,207,0.8945863321526071,166,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
0.9071265982668134,0.9545454545454546,1377,19,56,198,0.8829586219344359,166,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
