f1_macro,accuracy,tn,fp,fn,tp,recall,size,vector
0.5584290978870015,0.676,20,55,26,149,0.559047619047619,61,1111111111111111111111111111111111111111111111111111111111111
0.6114751344086021,0.704,27,48,26,149,0.6057142857142856,61,1111111111111111111111111111111111111111111111111111111111111
0.6071300287356322,0.72,23,52,18,157,0.6019047619047619,61,1111111111111111111111111111111111111111111111111111111111111
0.6530488333767023,0.744,29,46,18,157,0.6419047619047619,61,1111111111111111111111111111111111111111111111111111111111111
0.6183548850574713,0.728,24,51,17,158,0.6114285714285714,61,1111111111111111111111111111111111111111111111111111111111111
0.6261088689025015,0.708,30,45,28,147,0.62,61,1111111111111111111111111111111111111111111111111111111111111
0.592074592074592,0.72,20,55,15,160,0.5904761904761905,61,1111111111111111111111111111111111111111111111111111111111111
0.6496917287212747,0.72,34,41,29,146,0.6438095238095238,61,1111111111111111111111111111111111111111111111111111111111111
0.6162280701754386,0.72,25,50,20,155,0.6095238095238095,61,1111111111111111111111111111111111111111111111111111111111111
0.6363524615353097,0.716,31,44,27,148,0.6295238095238096,61,1111111111111111111111111111111111111111111111111111111111111
0.5584290978870015,0.676,20,55,26,149,0.559047619047619,61,1111111111111111111111111111111111111111111111111111111111111
0.6114751344086021,0.704,27,48,26,149,0.6057142857142856,61,1111111111111111111111111111111111111111111111111111111111111
0.6071300287356322,0.72,23,52,18,157,0.6019047619047619,61,1111111111111111111111111111111111111111111111111111111111111
0.6530488333767023,0.744,29,46,18,157,0.6419047619047619,61,1111111111111111111111111111111111111111111111111111111111111
0.6183548850574713,0.728,24,51,17,158,0.6114285714285714,61,1111111111111111111111111111111111111111111111111111111111111
0.6261088689025015,0.708,30,45,28,147,0.62,61,1111111111111111111111111111111111111111111111111111111111111
0.592074592074592,0.72,20,55,15,160,0.5904761904761905,61,1111111111111111111111111111111111111111111111111111111111111
0.6496917287212747,0.72,34,41,29,146,0.6438095238095238,61,1111111111111111111111111111111111111111111111111111111111111
0.6162280701754386,0.72,25,50,20,155,0.6095238095238095,61,1111111111111111111111111111111111111111111111111111111111111
0.6363524615353097,0.716,31,44,27,148,0.6295238095238096,61,1111111111111111111111111111111111111111111111111111111111111
0.5584290978870015,0.676,20,55,26,149,0.559047619047619,61,1111111111111111111111111111111111111111111111111111111111111
0.6114751344086021,0.704,27,48,26,149,0.6057142857142856,61,1111111111111111111111111111111111111111111111111111111111111
0.6071300287356322,0.72,23,52,18,157,0.6019047619047619,61,1111111111111111111111111111111111111111111111111111111111111
0.6530488333767023,0.744,29,46,18,157,0.6419047619047619,61,1111111111111111111111111111111111111111111111111111111111111
0.6183548850574713,0.728,24,51,17,158,0.6114285714285714,61,1111111111111111111111111111111111111111111111111111111111111
0.6261088689025015,0.708,30,45,28,147,0.62,61,1111111111111111111111111111111111111111111111111111111111111
0.592074592074592,0.72,20,55,15,160,0.5904761904761905,61,1111111111111111111111111111111111111111111111111111111111111
0.6496917287212747,0.72,34,41,29,146,0.6438095238095238,61,1111111111111111111111111111111111111111111111111111111111111
0.6162280701754386,0.72,25,50,20,155,0.6095238095238095,61,1111111111111111111111111111111111111111111111111111111111111
0.6363524615353097,0.716,31,44,27,148,0.6295238095238096,61,1111111111111111111111111111111111111111111111111111111111111
