f1_macro,accuracy,tn,fp,fn,tp,recall,size,vector
0.7335178553594612,0.8284848484848485,1176,220,63,191,0.7971876903639195,166,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
0.7317025382968124,0.8284848484848485,1179,217,66,188,0.7923566771202311,166,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
0.7459188461934084,0.8466666666666667,1218,178,75,179,0.7886086230625183,166,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
0.7253433208489388,0.8303030303030303,1195,201,79,175,0.7724967849649167,166,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
0.7190233739493538,0.813939393939394,1151,245,62,192,0.7902020395731335,166,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
0.7511201638853551,0.8436363636363636,1199,197,61,193,0.8093625205875054,166,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
0.7331055927823764,0.8321212121212122,1189,207,70,184,0.7880643232633171,166,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
0.7331481481481481,0.8412121212121212,1219,177,85,169,0.7692817498815514,166,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
0.7466649789385595,0.8412121212121212,1198,198,64,190,0.80309884258737,166,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
0.7337564543889845,0.8327272727272728,1190,206,70,184,0.7884224894524288,166,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
