dataset,f1_macro_avg,accuracy_avg,recall_avg
Biodegradeable,0.6742981930208956,0.675,0.7424333868378811
Breastcancer,0.9277800500393903,0.9335664335664333,0.923176100628931
Clean2,0.7353301272791397,0.8338787878787878,0.7899081740856894
Climate,0.7285814187162142,0.9392592592592595,0.6755733972295734
German_credit,0.5879464878130364,0.6028,0.658
Ionosphere,0.8669390434457875,0.8840909090909091,0.8513392857142857
Madelon,0.5988415807888238,0.5989230769230769,0.598923076923077
Uci_imageseg,0.6885547724231859,0.6981132075471699,0.695918367346939
Uci_parkinsons,0.6733007379680985,0.7020408163265305,0.7463963963963962
Uci_voice,0.5248311295421363,0.534375,0.6214285714285713
Urbanland,0.8173276055848898,0.8248520710059171,0.8228782781050735
Wine,0.9893456221198156,0.9888888888888889,0.9907407407407406

