dataset,f1_macro_avg,accuracy_avg,recall_avg
Biodegradeable,0.824300443130349,0.8473484848484846,0.8161123595505619
Breastcancer,0.9665019317552919,0.9692307692307695,0.961205450733753
Clean2,0.9029713987591774,0.9547878787878787,0.8623285314622204
Climate,0.5009837076618363,0.9155555555555552,0.5125
German_credit,0.6348420963761927,0.7428000000000001,0.6258095238095238
Ionosphere,0.9183918071896138,0.9272727272727275,0.9060267857142854
Madelon,0.5997901296210594,0.5998461538461538,0.5998461538461538
Uci_imageseg,0.8751703689695728,0.877358490566038,0.878826530612245
Uci_parkinsons,0.7491245191882022,0.8571428571428571,0.7139639639639639
Uci_voice,0.6032964554102532,0.740625,0.6292207792207792
Urbanland,0.7897155599685252,0.8242603550295857,0.7845933099616204
Wine,0.9796522253783206,0.9800000000000001,0.9814814814814812

