f1_macro,accuracy,tn,fp,fn,tp,recall,size,vector,wrapper_duration,archive_duration
0.6666666666666667,0.75,4,7,1,20,0.6580086580086579,171,1010011011001011101110000111111011110100011101111111001001011100001000110101011111111110011101011111011111110110001001100100101001010001110000010010010011001000011100011001011001110010111100010100110010011111111101100111001111100111100010100101110111011110011100010011110101100111101010111000010000010001011000,70.93122124671936,67.77475786209106
0.6342857142857143,0.75,3,8,0,21,0.6363636363636364,140,0111000000010001111100111001001010100101100101100110100000010011000111001000111101011110110101111000101100001110000101000000011001100110101001001000000011001111010000101000000101011000100111010100111000011110101111000000011100101000110000000111010001110100001101110001101110111100111000010010100101101010101001,69.66518640518188,66.63373041152954
0.6952380952380952,0.78125,4,7,0,21,0.6818181818181819,132,0001000010001001100010011000110010110100010000111011111011011010011001001110010101111011001110010101000100100001010010100111000000000001101000000101110110110010010010001011001000010010011011110011110000100101010110011100100100001101110001000101000100010100001001001000000010111101001001010110011000111010100101,70.33484506607056,67.44402527809143
0.7922077922077921,0.8125,8,3,3,18,0.7922077922077921,142,1111011100001000000110101001000101111111110100000010001001100011000001111110001110110111111111111011100001010110111110110110010000010101010000011000000011011010000110011100001010110001110100011010001010010000000111001110100001101001001000110011001110001101010010100000010110110010110101100010010100000001000110,69.22731328010559,66.25835990905762
0.6952380952380952,0.78125,4,7,0,21,0.6818181818181819,141,0110011000001101100000100111000011101101001010100011001010011000101000001111000101100100110011000011110001010100111010100000011001001111111011101001111011011101000001110010000010110010011101100100010001111000101110101000000100101110000110001011111010000100110110110010011000101101011000110001110100000000011001,71.35241484642029,67.91467833518982
0.799749687108886,0.84375,6,5,0,21,0.7727272727272727,155,1010100010001011010000011101010101101010010101001000110010010111000011000101000111011100111010001100011100010000011010010010101100110011111101011000001010111011100001011110100011011110011111001110111010100111100011001101111001100111010101001010000011111110000101001010011010111001111100101011000110001010110000,71.07185316085815,68.00913953781128
0.6342857142857143,0.75,3,8,0,21,0.6363636363636364,155,0111101111000101110101110000111101100101001010011110010000110010000011101001110101011010101110101111011011011110000100100100101100001011001100000001111111111001110010110110100101001110100101101010001010101110010001110010000101100110110100000001100000001101101110011001100101110001010001101000110100011000111101,73.3202645778656,69.6637659072876
0.75,0.8125,5,6,0,21,0.7272727272727273,145,1100110110110010101010000000111010111011110101010111000011100111100110000011010101111111101101110000100010010100011010001100011010010111000000000000011100010100000011000101010000100000101011110000101111010010110000110011100100001010001000101101101000001001111110011101110001110111000001110001001110011110010011,71.31105852127075,68.06083798408508
0.8454106280193237,0.875,7,4,0,21,0.8181818181818181,158,1101111001000100110000000101010010110111101001110110100000011111001001000011000101001000111110010011110101111100010010111011000100001001100000101011010001010010001110110101000000110011110011001111101000111100101011001110011111101110101100101100110110011111010110100110111011110100000011001110001101100011011100,70.13568162918091,67.36886715888977
0.799749687108886,0.84375,6,5,0,21,0.7727272727272727,142,0011001110110101101111010011001000101100000101000111110100010001000000101111001111111111101010000100000111000101111100110000011001101001110000000010001110010111110011000100001100000001001001111101010110111011100001011000101011110100110000010001000000111001011001000101100101001100001101101000010111010111000000,70.87075448036194,67.678631067276
0.6952380952380952,0.78125,4,7,0,21,0.6818181818181819,149,0001110101000011001100010001100000100111101100011011010011011010111001100011011111111110100111010111111111100001011111010100001101011000010100000001001101010010101010000010011111011001010111011000100010101001001010001001010101100000000110000011101110101101011111010001011100000000000011101111000010010101111000,72.43022012710571,69.25813364982605
0.6342857142857143,0.75,3,8,0,21,0.6363636363636364,133,0010101011010000000001100000010001010001101010100001101010010011011011100000010111001111111100010100010101001001001100101101010101000101111000000011001010001011000000000101101000100000001001101110110110000000101101011101110111100110010010000000100111100001001000011000110111101000001010110111100001111110010100,70.6556806564331,67.40273380279541
0.6952380952380952,0.78125,4,7,0,21,0.6818181818181819,140,0101010110001110100010101010110111101111010001000000011011010111110001011000010111111011011101001001001110010000110101000100000100100100001001111010010111100011001001000100010111101001001010001001000001010110100011101100110000000000101100100001111110000110111000010100001000001001010011011100010111001101100011,70.96451473236084,68.04244232177734
0.7818181818181819,0.8125,7,4,2,19,0.7705627705627706,143,0110100100001000011001000110100100001000110110111010010001111110010010110001001101110101101000100111111111001100111110110101001100010110001100101010011101110110011100001010110011010100100100001100000110001001100011100001100100000010011111100000110000010010100100101111111100010100110011000101100001011010000100,75.08871054649353,71.72910451889038
0.6952380952380952,0.78125,4,7,0,21,0.6818181818181819,149,0101011000001111010111001110011000100111110100001011001001101100010111001000000101111101001011000011101010100011011001010011011100011011001100000000001011011111001001111001010011001000010110001110011101111001110000101001010011111010000101100110100111011011011010001101000000101100011110010101100101010100000100,73.43123984336853,70.36853575706482
0.799749687108886,0.84375,6,5,0,21,0.7727272727272727,132,0001111010000001110001010010000110100111010000001010100011011100101010001100000101111011010011001110100100000000111010000111001001111011000000000100110010111001000010001100011001000100011111111010011010011110101010000001111011011010110100000110110111110010000101101000110000001000010000010001110001100000101000,71.3218641281128,68.02477288246155
0.4871794871794872,0.6875,1,10,0,21,0.5454545454545454,150,0011010011101100000010110101010000001101011000000111000010100010011101011101001100111111110010100101100011000110011111001001111101111001111100100000100111111101000100011111010100011011100000001001100101111000100101001110000111001000100001000110001101111100000010101011100010011100001111111001010011001000101101,71.71221828460693,68.79014492034912
0.799749687108886,0.84375,6,5,0,21,0.7727272727272727,128,1101001001101100000101100111000000101001110000101011101011010100101010000011100100111110111000001010001000000100101000101110101110001111001000100000001111110000011010110010100010001100010100000001001011110100011010011111100100001010000011000100011100000011001010001001000011100110001010101000100110001100100000,73.33852100372314,70.22893214225769
0.8454106280193237,0.875,7,4,0,21,0.8181818181818181,152,1110110101100111110010110110000010111010111001011100010000010100010001000110100111001111001000111011110111010000001100100001011000100111101001110110100111100101011010010001001010000001001000000110101101100101101000111100101101000001011111100110000111100000110000111110111001100110000110101110010010111001111010,74.23163294792175,70.90327954292297
0.799749687108886,0.84375,6,5,0,21,0.7727272727272727,147,0101101001000110001111000000001001011001000111000110100001011011100100011111011011111111101111101000000001001010011010011010111100001111100010001010001111111110010000100110011010110000000010100000111000101101100111001101011001000101100001001110111011001001001010010011101111100101010110010100000110101110000000,72.38889980316162,69.34182000160217
0.6952380952380952,0.78125,4,7,0,21,0.6818181818181819,146,0011101000111101011110010001000000100100110100110111000001011000110100100011111111011111001100010111011101111111101110000110100110000011111110001000110010001100001010010100000100111110010110110010000001100100101100010101001011100101010000010110001011000101110001100110110010000011101010110001110101000000011000,70.93024897575378,67.601895570755
