f1_macro,accuracy,tn,fp,fn,tp,recall,size,vector,wrapper_duration,archive_duration
0.7979098715303202,0.8257575757575758,158,17,29,60,0.7885072231139647,17,10000001100100010010011010111111010000010,132.6650676727295,129.22528505325317
0.828099173553719,0.8522727272727273,162,13,26,63,0.8167897271268058,25,01110111101011010011000110011101011011101,141.39404845237732,137.6941990852356
0.7744331252053893,0.803030303030303,153,22,30,59,0.7686035313001605,18,11110010000000011111100101000011000011010,135.1966495513916,131.60482788085938
0.8028443405415936,0.8257575757575758,154,21,25,64,0.7995505617977527,16,00110110101010000101100100001001100001100,135.44369411468506,131.7708613872528
0.8166666666666667,0.8409090909090909,159,16,26,63,0.8082182985553772,23,11111100010000010011101110011101110001011,132.53584623336792,129.06685781478882
0.8385869565217392,0.8636363636363636,166,9,27,62,0.8226003210272874,20,11100011100000100011010010000101111101110,138.34650111198425,134.69000101089478
0.826735605320869,0.8446969696969697,154,21,20,69,0.8276404494382023,18,01000111110011011011010000000011000010011,141.60808205604553,137.84220027923584
0.8028443405415936,0.8257575757575758,154,21,25,64,0.7995505617977527,20,11101101110001011101101100000001000000111,141.75882482528687,137.96167993545532
0.8628482368984999,0.8787878787878788,161,14,18,71,0.858876404494382,24,11100011111000011111000110111101110101000,140.33340668678284,136.658842086792
0.8504249291784702,0.8674242424242424,159,16,19,70,0.8475441412520064,22,01000101111011110001001011000111001011011,141.2876114845276,137.490478515625
0.8104683195592286,0.8371212121212122,160,15,28,61,0.7998394863563403,21,11011101100011100010011010100101010010011,139.54743909835815,135.75031089782715
0.798940545297612,0.8295454545454546,161,14,31,58,0.7858426966292136,23,00100111100111010011101010101101110011100,141.92273807525635,138.09435081481934
0.7867844604506271,0.8143939393939394,155,20,29,60,0.779935794542536,20,11101011000000011101000100001111001011011,136.46793699264526,132.8114309310913
0.8041898106179228,0.8295454545454546,157,18,27,62,0.7968860353130016,13,01100110100000000011100001100001000001001,135.51435232162476,132.0922577381134
0.8128924857015707,0.8371212121212122,158,17,26,63,0.8053611556982343,20,11101100110010001000101110011101100001010,133.2680344581604,129.81467604637146
0.8310473060624405,0.8598484848484849,168,7,30,59,0.8114606741573034,19,11100011101001001001000000000101011111011,136.21610736846924,132.57525157928467
0.8229885057471265,0.8409090909090909,153,22,20,69,0.8247833065810595,19,01001001100011111011000110001101010010010,137.98348259925842,134.37385964393616
0.8125,0.8333333333333334,154,21,23,66,0.8107865168539325,16,11100100110000011011000000000101000011110,135.54888916015625,131.92363858222961
0.8465909090909092,0.8636363636363636,158,17,19,70,0.8446869983948635,18,10101011110010010101101000000100010101001,137.19798493385315,133.6821231842041
0.8482758620689654,0.8636363636363636,156,19,17,72,0.8502086677367576,20,01000111110011011011001010000011010011010,137.0331575870514,133.3766577243805
0.8041898106179228,0.8295454545454546,157,18,27,62,0.7968860353130016,21,11001101100010001100110011100111010010011,140.36304903030396,136.5034098625183
0.8204588053809279,0.8446969696969697,160,15,26,63,0.8110754414125201,21,01001011101111000111100010010101010011100,140.95589089393616,137.10101962089539
0.7930493859419911,0.8181818181818182,154,21,27,62,0.788314606741573,21,11100111000000111001101001000111001111010,137.75022053718567,134.06138253211975
0.8128924857015707,0.8371212121212122,158,17,26,63,0.8053611556982343,13,00110110101000000011000000100001000101100,136.05983781814575,132.57404685020447
0.8166666666666667,0.8409090909090909,159,16,26,63,0.8082182985553772,21,11110100111010001010101110010101100001010,133.80231618881226,130.18749833106995
0.833512297387125,0.8598484848484849,166,9,28,61,0.8169823434991974,17,10100011100000110011010010000101010001110,139.7106647491455,136.0338306427002
0.8323064219017977,0.8484848484848485,153,22,18,71,0.8360192616372392,22,01010101100011110011101111001011010010010,140.58208656311035,136.8474612236023
0.8220224719101124,0.8409090909090909,154,21,21,68,0.8220224719101124,19,11110100101000011001100101001101001001010,140.31254839897156,136.53104066848755
0.8495481559879507,0.8674242424242424,160,15,20,69,0.8447833065810594,17,11101011011000000100000000100101010011101,140.63438081741333,137.06731057167053
0.8342749529190208,0.8522727272727273,156,19,20,69,0.8333547351524879,15,01000001111011000001000011000101000011010,138.04839324951172,134.40751910209656
