f1_macro,accuracy,tn,fp,fn,tp,size,vector,wrapper_duration,archive_duration
0.8799794132784354,0.8962264150943396,28,10,1,67,3,0000100000000001000000010000000000,119.29903483390808,114.4559383392334
0.9169604386995691,0.9245283018867925,33,5,3,65,5,0000110000000001010000000010000000,119.77951502799988,115.38616013526917
0.9286195286195287,0.9339622641509434,35,3,4,64,3,0010110000000000000000000000000000,117.09617400169373,112.59587383270264
0.9277858880778589,0.9339622641509434,34,4,3,65,4,0000101100000000000000000010000000,118.3121030330658,114.07743716239929
0.8720321931589538,0.8867924528301887,29,9,3,65,3,0001100000000001000000000000000000,111.10804557800293,106.67024230957031
0.8433277027027027,0.8679245283018868,25,13,1,67,4,0000110100000100000000000000000000,118.7986068725586,114.20452213287354
0.8267973856209151,0.8490566037735849,26,12,4,64,6,0000100100001000000010000010000010,120.5479052066803,115.81320786476135
0.8962005483744614,0.9056603773584906,32,6,4,64,3,0000001100010000000000000000000000,115.6706645488739,111.06098937988281
0.9258815303166517,0.9339622641509434,32,6,1,67,3,0011001000000000000000000000000000,117.26460433006287,113.12194776535034
0.8818283166109253,0.8962264150943396,29,9,2,66,4,0010011000100000000000000000000000,113.43777656555176,109.21873092651367
0.9146881287726358,0.9245283018867925,31,7,1,67,3,0000101100000000000000000000000000,116.12008738517761,111.6091001033783
0.744298245614035,0.7924528301886793,19,19,3,65,19,1001001101101110111000111010001110,131.87597560882568,127.07877445220947
0.8738095238095238,0.8867924528301887,30,8,4,64,4,1000011100000000000000000000000000,115.3250560760498,111.05913734436035
0.8933601609657948,0.9056603773584906,30,8,2,66,4,0010100000000000000000000000000011,111.62497305870056,107.12466359138489
0.9158730158730158,0.9245283018867925,32,6,2,66,6,1000000000101000001100100000000000,117.15436267852783,112.91970038414001
0.8679950186799501,0.8867924528301887,27,11,1,67,4,0000110000001000000000000010000000,111.82102727890015,107.33634519577026
0.8411747078213965,0.8584905660377359,28,10,5,63,6,0000100000000011000001000011000000,112.73236775398254,108.16955471038818
0.8335949764521193,0.8584905660377359,25,13,2,66,4,1000100000000001000000000000100000,119.2662262916565,114.84405088424683
0.8527777777777777,0.8679245283018868,29,9,5,63,3,0000001100000000100000000000000000,108.17350745201111,104.00134611129761
0.9033140772271206,0.9150943396226415,30,8,1,67,4,1000100011000000000000000000000000,111.56251811981201,107.18722033500671
0.8933601609657948,0.9056603773584906,30,8,2,66,4,0000100000000001000000000010000010,114.23811030387878,109.89406275749207
0.7985641891891893,0.8301886792452831,23,15,3,65,17,1000101101101110111001100010101000,127.37512183189392,122.49979090690613
0.8974458204334366,0.9056603773584906,33,5,5,63,5,1000100100000000010000000010000000,116.34103846549988,111.84073424339294
0.8507042253521127,0.8679245283018868,28,10,4,64,4,0010100000000000000000000011000000,111.34059500694275,106.90279173851013
0.9369047619047619,0.9433962264150944,33,5,1,67,5,1000100000000101000000010000000000,114.26536321640015,109.99943804740906
0.8700980392156863,0.8867924528301887,28,10,2,66,3,0010110000000000000000000000000000,112.90388631820679,108.35669565200806
0.8114076399790686,0.839622641509434,24,14,3,65,5,1000000110011000000000000000000000,111.1705572605133,106.79525518417358
0.8335949764521193,0.8584905660377359,25,13,2,66,5,1100100000010000000000000000000100,116.28168487548828,111.9532642364502
0.8363355635615028,0.8584905660377359,26,12,3,65,6,0000000100011000001000001010000000,115.29748773574829,111.1097059249878
0.8603425559947299,0.8773584905660378,28,10,3,65,4,0000001100010000000000001000000000,107.23131656646729,103.13728499412537
