f1_macro,accuracy,tn,fp,fn,tp,recall,size,vector,wrapper_duration,archive_duration
0.602994555353902,0.664,34,41,43,132,0.6038095238095238,31,1110110111101000110111101110001100000110100011110100000000101,247.62541580200195,242.4688103199005
0.6803652968036529,0.748,36,39,24,151,0.6714285714285715,35,0101010111111000001010111101110110111011111111100000010000011,254.6368224620819,249.2763192653656
0.6429771505376345,0.728,30,45,23,152,0.6342857142857143,31,1101110001111000000111010110100010111000101011110001011100010,250.28680443763733,245.0208020210266
0.6631879511773341,0.732,35,40,27,148,0.6561904761904762,32,1011001011111000000011110010111100100111111100000010010110110,245.7502782344818,240.53117060661316
0.6450439258141805,0.744,27,48,16,159,0.6342857142857143,35,1111101110111100000101100101101111011000101110010110111000010,252.80155897140503,247.59808111190796
0.6459202140215595,0.712,35,40,32,143,0.641904761904762,30,1100000111101000011100010101110010010010011011110111011000001,236.71137809753418,231.8204174041748
0.6020410388364335,0.708,24,51,22,153,0.5971428571428572,35,1011000110111111111110010000111010001010111001110110011001100,256.52643609046936,251.30732583999634
0.6227877008400621,0.704,30,45,29,146,0.6171428571428572,31,1100110110101000110100011101110010110000110000100111100110110,237.84303784370422,232.85832047462463
0.5964447278742103,0.676,29,46,35,140,0.5933333333333334,26,0111000011100000100001110001001100100010110001001110011111000,230.48584508895874,225.68863940238953
0.6186715142397459,0.708,28,47,26,149,0.6123809523809524,33,1100001011100111101010001101101110100011111010010101011100010,249.09665179252625,243.94004797935486
0.642055568454454,0.704,36,39,35,140,0.64,29,0000000001110110110011000110101011011101011001111000010100011,239.80583667755127,234.85237383842468
0.6534889013012268,0.732,32,43,24,151,0.6447619047619048,34,1011001110101001111100010011001100111100011011100100111001011,254.3460328578949,249.14255046844482
0.5985671936758894,0.688,27,48,30,145,0.5942857142857143,30,0101101011110110010000101111110010000010100101011001110000110,241.69934105873108,236.7458770275116
0.6213333333333333,0.716,27,48,23,152,0.6142857142857143,33,0111001010111101100110001010111000101011110110000010111010110,249.40135097503662,244.3541305065155
0.5815759523331325,0.7,21,54,21,154,0.5800000000000001,26,1100010111010100001010101100000111011100000010100110010010010,232.72001266479492,227.76654887199402
0.6604702487055429,0.744,31,44,20,155,0.6495238095238095,30,1111111111001001000010010110100000100001110100101011110100010,247.34274554252625,242.26427221298218
0.6114751344086021,0.704,27,48,26,149,0.6057142857142856,33,1111001111101100010000010101110110101011111100010101000100110,248.33762669563293,243.10289478302002
0.6459202140215595,0.712,35,40,32,143,0.641904761904762,35,1111011011100100010100110100010101010010110001110111111100111,254.3898060321808,249.10819125175476
0.6604702487055429,0.744,31,44,20,155,0.6495238095238095,27,1010010101101001010000010010110000101100001100011110111010010,232.9822895526886,228.09148931503296
0.6347499945485073,0.732,27,48,19,156,0.6257142857142857,36,1111101111110101011000001001110000101101111100001100011111011,257.6149618625641,252.19271636009216
0.68928660203828,0.74,42,33,32,143,0.6885714285714286,29,1111001111101000110100100000101001010010011010010011110001001,234.7471227645874,229.80649042129517
0.6531338601677021,0.724,34,41,28,147,0.6466666666666666,34,0001011111111000001101111111011101110110000010101110110100000,247.18266344070435,241.98120045661926
0.6631879511773341,0.732,35,40,27,148,0.6561904761904762,38,1110100011111000101110011010101110110111011110110100011110011,258.10638451576233,252.68413925170898
0.6392496392496393,0.728,29,46,22,153,0.6304761904761905,34,1110000111101101100011011101100110101110011111101100000100100,251.89182448387146,246.61021399497986
0.5936332355238437,0.692,25,50,27,148,0.5895238095238096,33,1011110100101001011011101110111010011010010001110111011000000,245.01584339141846,239.9998710155487
0.6430797691580705,0.716,33,42,29,146,0.6371428571428571,34,1011110011111001010100010100101001011111011110100001111010100,249.4835386276245,244.18630194664001
0.5893333333333333,0.692,24,51,26,149,0.5857142857142857,26,0000000011111100010010100001110001011111010101000100010010011,231.66941452026367,226.88782501220703
0.612917496129175,0.692,30,45,32,143,0.6085714285714285,35,1100110111111000001111011100100010011111111000101001101010011,247.0961410999298,241.9239161014557
0.5977768026912389,0.692,26,49,28,147,0.5933333333333333,31,0111100101110001110010011011100101100100011010111000001110010,241.96790218353271,236.95193362236023
0.646105010295127,0.736,29,46,20,155,0.6361904761904762,32,1111011111111010110010000000001001101101011100010000011100111,244.31321001052856,239.18785738945007
