f1_macro,accuracy,tn,fp,fn,tp,recall,size,vector,wrapper_duration,archive_duration
0.7402597402597403,0.85,2,1,2,15,0.7745098039215685,9,0000111101001100011,44.41258764266968,43.70941424369812
0.42857142857142855,0.75,0,3,2,15,0.4411764705882353,8,0110011000111100000,45.27182483673096,44.52177834510803
0.8857142857142857,0.95,2,1,0,17,0.8333333333333333,7,0011011000001010010,43.365721702575684,42.63156318664551
0.803921568627451,0.9,2,1,1,16,0.803921568627451,12,1101001110100111011,47.52386975288391,46.74256777763367
0.7402597402597403,0.85,2,1,2,15,0.7745098039215685,9,1110110100010000101,44.86334538459778,44.14454531669617
0.803921568627451,0.9,2,1,1,16,0.803921568627451,7,1001001100100010001,43.755414724349976,43.03661394119263
0.45945945945945943,0.85,0,3,0,17,0.5,12,1110101010011110011,43.29983687400818,42.58103799819946
0.7402597402597403,0.85,2,1,2,15,0.7745098039215685,10,0100000110101110111,44.790051221847534,44.07124924659729
0.45945945945945943,0.85,0,3,0,17,0.5,9,0000111001011001110,43.84939622879028,43.14622497558594
0.45945945945945943,0.85,0,3,0,17,0.5,7,1110001000110000010,44.397353172302246,43.64729976654053
0.6571428571428571,0.85,1,2,1,16,0.6372549019607843,4,1010000000010000001,44.52115607261658,43.7711079120636
0.6875,0.8,2,1,3,14,0.7450980392156863,9,1010011000001110011,43.11030197143555,42.37609386444092
0.9134199134199135,0.95,3,0,1,16,0.9705882352941176,9,1111011000001100010,43.17718005180359,42.44275259971619
0.8857142857142857,0.95,2,1,0,17,0.8333333333333333,11,0110111010100100111,45.25307631492615,44.53427767753601
0.84375,0.9,3,0,2,15,0.9411764705882353,9,1100011100010100011,43.45656633377075,42.675259828567505
0.45945945945945943,0.85,0,3,0,17,0.5,10,0010111010100111001,44.70707988739014,43.97265148162842
0.45945945945945943,0.85,0,3,0,17,0.5,10,1010101010011001011,43.444435834884644,42.72563576698303
0.6571428571428571,0.85,1,2,1,16,0.6372549019607843,10,1010100010100111101,44.866849184036255,44.11680006980896
0.45945945945945943,0.85,0,3,0,17,0.5,12,1111101011011101000,44.17728638648987,43.41161561012268
0.6571428571428571,0.85,1,2,1,16,0.6372549019607843,6,0101000100000000111,43.38036561012268,42.677191972732544
0.6078431372549019,0.8,1,2,2,15,0.6078431372549019,13,1110101001011110111,43.25448489189148,42.48880696296692
0.6571428571428571,0.85,1,2,1,16,0.6372549019607843,11,0100011111011010110,45.05575156211853,44.3369505405426
0.7402597402597403,0.85,2,1,2,15,0.7745098039215685,8,0011111001001000100,43.64594292640686,42.911526679992676
0.6571428571428571,0.85,1,2,1,16,0.6372549019607843,9,1001000110100111001,43.95844483375549,43.22402215003967
0.6875,0.8,2,1,3,14,0.7450980392156863,10,0100111001110000111,46.12815475463867,45.37809920310974
0.7222222222222222,0.9,1,2,0,17,0.6666666666666666,11,1111011101000000111,43.770559787750244,43.00488328933716
0.7222222222222222,0.9,1,2,0,17,0.6666666666666666,7,1000101100010101000,43.95788288116455,43.23908257484436
0.8857142857142857,0.95,2,1,0,17,0.8333333333333333,8,0100011110100010010,43.36492419242859,42.6461398601532
0.7222222222222222,0.9,1,2,0,17,0.6666666666666666,9,1000001100011111010,43.630321979522705,42.89589595794678
0.45945945945945943,0.85,0,3,0,17,0.5,8,0010101110110000010,43.36571025848389,42.631290435791016
