f1_macro,accuracy,tn,fp,fn,tp,recall,size,vector,wrapper_duration,archive_duration
0.9241379310344826,0.9318181818181818,27,5,1,55,0.9129464285714286,14,0010101001000001011001100011101001,43.27125549316406,42.55245780944824
0.9121881682109765,0.9204545454545454,27,5,2,54,0.9040178571428572,20,0010100101101111110101111011000011,41.924537658691406,41.17448306083679
0.9372772630078403,0.9431818181818182,28,4,1,55,0.9285714285714286,14,0000100101100001001111010000111001,41.44388198852539,40.725215435028076
0.9091847265221877,0.9204545454545454,25,7,0,56,0.890625,13,0010001100000101010000011001010111,40.975000619888306,40.24057197570801
0.9372772630078403,0.9431818181818182,28,4,1,55,0.9285714285714286,14,1010100110010011001000100001011100,41.1833336353302,40.44316577911377
0.8971361776738749,0.9090909090909091,25,7,1,55,0.8816964285714286,17,0011110001011101001110010001000111,43.4598503112793,42.7186861038208
0.9241379310344826,0.9318181818181818,27,5,1,55,0.9129464285714286,15,0100101111101100100000010001100011,44.73613667488098,43.93695783615112
0.8545454545454545,0.875,22,10,1,55,0.8348214285714286,18,1011101101010100011011001001010011,43.138777017593384,42.37760853767395
0.9121881682109765,0.9204545454545454,27,5,2,54,0.9040178571428572,14,0111110100100001100001000010100011,42.15854787826538,41.39837622642517
0.9241379310344826,0.9318181818181818,27,5,1,55,0.9129464285714286,16,0111010100010001001111010110100001,41.860471963882446,41.11753249168396
0.9241379310344826,0.9318181818181818,27,5,1,55,0.9129464285714286,13,0000100111001001001010101110000010,42.246567726135254,41.48939561843872
0.8735632183908046,0.8863636363636364,25,7,3,53,0.8638392857142857,16,0001001101101001100000110110010111,45.05932092666626,44.28303384780884
0.9623663578047041,0.9659090909090909,29,3,0,56,0.953125,16,0101100101010101010010111010100001,41.75346565246582,41.00629663467407
0.9091847265221877,0.9204545454545454,25,7,0,56,0.890625,13,0000010111000001010111001010000101,43.23280429840088,42.41360354423523
0.9372772630078403,0.9431818181818182,28,4,1,55,0.9285714285714286,15,0011110110010001100010001110001001,42.56964731216431,41.81447625160217
0.910763436187165,0.9204545454545454,26,6,1,55,0.8973214285714286,16,0101110101101101010110011000000010,42.606648206710815,41.85248923301697
0.9501980758347481,0.9545454545454546,29,3,1,55,0.9441964285714286,11,0001010111000000100110100000000101,43.508861780166626,42.76469945907593
0.8572902845348666,0.875,23,9,2,54,0.8415178571428572,22,1100011111111101001010110101101110,44.663121938705444,43.865941286087036
0.9372772630078403,0.9431818181818182,28,4,1,55,0.9285714285714286,15,0011110000111101001000110010100001,40.826253175735474,40.10809016227722
0.9228521332554062,0.9318181818181818,26,6,0,56,0.90625,11,1010010100101000000000100010110001,42.026535749435425,41.29236888885498
0.9241379310344826,0.9318181818181818,27,5,1,55,0.9129464285714286,18,1010101011100011111010100010010011,42.56965088844299,41.75546598434448
0.8852672750977835,0.8977272727272727,25,7,2,54,0.8727678571428572,18,0001000111101110010111110100000111,44.26603174209595,43.528863191604614
0.9362595972765464,0.9431818181818182,27,5,0,56,0.921875,15,0011100001001001100001010011111100,40.1821072101593,39.45093870162964
0.8952380952380952,0.9090909090909091,24,8,0,56,0.875,11,0000010011001001000101010001000101,42.132546186447144,41.39338564872742
0.9372772630078403,0.9431818181818182,28,4,1,55,0.9285714285714286,20,0111110011011011010101101111100000,44.91916513442993,44.16899514198303
0.910763436187165,0.9204545454545454,26,6,1,55,0.8973214285714286,18,0010110011001101010110011010101101,42.63665556907654,41.91349124908447
0.9501980758347481,0.9545454545454546,29,3,1,55,0.9441964285714286,16,0011010101010100011010100110100011,43.356823682785034,42.57765054702759
0.8428571428571427,0.8636363636363636,22,10,2,54,0.8258928571428572,15,0101010110010110101100100000101010,41.169108629226685,40.42394042015076
0.9241379310344826,0.9318181818181818,27,5,1,55,0.9129464285714286,18,1010110000001111001010110101100111,40.840256214141846,40.110255002975464
0.9623663578047041,0.9659090909090909,29,3,0,56,0.953125,13,0100100100100101001010110011100000,41.086310625076294,40.340142250061035
