f1_macro_best,f1_macro_mean,f1_macro_worst,accuracy__best,tn__best,fp__best,fn__best,tp__best,recall__best,#phenotypes,stddev
0.73,0.5513851034873267,0.4489795918367347,0.9259259259259259,5,6,4,120,0.7111436950146628,36,0.07482562866189166
0.8170731707317074,0.670474558907603,0.6041055718475072,0.9407407407407408,8,3,5,119,0.843475073313783,27,0.05300184077489192
0.8170731707317074,0.7261027831296576,0.6886139651918641,0.9407407407407408,8,3,5,119,0.843475073313783,17,0.03782272375344381
0.8709122203098107,0.8004044621026927,0.7619047619047619,0.9629629629629629,8,3,2,122,0.8555718475073314,19,0.027488823722492832
0.892,0.8734169188533656,0.8515395894428153,0.9703703703703703,8,3,1,123,0.8596041055718475,6,0.012902959005144276
0.892,0.8920000000000001,0.892,0.9703703703703703,8,3,1,123,0.8596041055718475,1,1.1102230246251565e-16
0.892,0.8920000000000001,0.892,0.9703703703703703,8,3,1,123,0.8596041055718475,1,1.1102230246251565e-16
0.892,0.8920000000000001,0.892,0.9703703703703703,8,3,1,123,0.8596041055718475,1,1.1102230246251565e-16
0.892,0.8920000000000001,0.892,0.9703703703703703,8,3,1,123,0.8596041055718475,1,1.1102230246251565e-16
0.892,0.8920000000000001,0.892,0.9703703703703703,8,3,1,123,0.8596041055718475,1,1.1102230246251565e-16
0.892,0.8920000000000001,0.892,0.9703703703703703,8,3,1,123,0.8596041055718475,1,1.1102230246251565e-16
0.9010263929618769,0.8921805278592377,0.892,0.9703703703703703,9,2,2,122,0.9010263929618769,2,0.0012636950146627665
0.9010263929618769,0.8923610557184753,0.892,0.9703703703703703,9,2,2,122,0.9010263929618769,2,0.0017688045579558201
0.9010263929618769,0.8938052785923756,0.892,0.9703703703703703,9,2,2,122,0.9010263929618769,2,0.003610557184750762

0.7713414634146342,0.5671263676431261,0.44672131147540983,0.9259259259259259,7,4,6,118,0.7939882697947214,35,0.0783745323296245
0.8020527859237536,0.6815181347666885,0.6169609079445144,0.9407407407407408,7,4,4,120,0.8020527859237536,25,0.046767213498954366
0.892,0.7458512272565812,0.6910755148741419,0.9703703703703703,8,3,1,123,0.8596041055718475,22,0.04196916704357596
0.892,0.7933096578814849,0.7575510204081632,0.9703703703703703,8,3,1,123,0.8596041055718475,16,0.0295905605944312
0.892,0.8483019030585481,0.8336560464706917,0.9703703703703703,8,3,1,123,0.8596041055718475,9,0.01372267359591314
0.892,0.8705939020192267,0.8628048780487805,0.9703703703703703,8,3,1,123,0.8596041055718475,4,0.009910756080819077
0.892,0.8866971428571427,0.8809523809523809,0.9703703703703703,8,3,1,123,0.8596041055718475,2,0.0055193887071559354
0.892,0.8920000000000001,0.892,0.9703703703703703,8,3,1,123,0.8596041055718475,1,1.1102230246251565e-16
0.892,0.8920000000000001,0.892,0.9703703703703703,8,3,1,123,0.8596041055718475,1,1.1102230246251565e-16
0.892,0.8920000000000001,0.892,0.9703703703703703,8,3,1,123,0.8596041055718475,1,1.1102230246251565e-16
0.892,0.8920000000000001,0.892,0.9703703703703703,8,3,1,123,0.8596041055718475,1,1.1102230246251565e-16
0.892,0.8920000000000001,0.892,0.9703703703703703,8,3,1,123,0.8596041055718475,1,1.1102230246251565e-16
0.892,0.8920000000000001,0.892,0.9703703703703703,8,3,1,123,0.8596041055718475,1,1.1102230246251565e-16
0.892,0.8920000000000001,0.892,0.9703703703703703,8,3,1,123,0.8596041055718475,1,1.1102230246251565e-16

0.7160068846815835,0.5452051956415556,0.44214876033057854,0.9185185185185185,5,6,5,119,0.7071114369501467,30,0.06940284183436321
0.784,0.6298160078042165,0.5680000000000001,0.9407407407407408,6,5,3,121,0.7606304985337243,23,0.0496658588744645
0.8170731707317074,0.6987996020966741,0.6341463414634146,0.9407407407407408,8,3,5,119,0.843475073313783,26,0.041845914435990395
0.8336560464706917,0.7612091055987799,0.725609756097561,0.9481481481481482,8,3,4,120,0.8475073313782991,19,0.029654423580729797
0.9010263929618769,0.8361670834832166,0.8170731707317074,0.9703703703703703,9,2,2,122,0.9010263929618769,12,0.019242921204660462
0.9010263929618769,0.8716709868117328,0.8628048780487805,0.9703703703703703,9,2,2,122,0.9010263929618769,4,0.011247656715807507
0.9010263929618769,0.8990778570333484,0.8811828903362084,0.9703703703703703,9,2,2,122,0.9010263929618769,3,0.005564477176493325
0.9010263929618769,0.9010263929618769,0.9010263929618769,0.9703703703703703,9,2,2,122,0.9010263929618769,1,0.0
0.9010263929618769,0.9010263929618769,0.9010263929618769,0.9703703703703703,9,2,2,122,0.9010263929618769,1,0.0
0.9010263929618769,0.9010263929618769,0.9010263929618769,0.9703703703703703,9,2,2,122,0.9010263929618769,1,0.0
0.9010263929618769,0.9010263929618769,0.9010263929618769,0.9703703703703703,9,2,2,122,0.9010263929618769,1,0.0
0.9010263929618769,0.9010263929618769,0.9010263929618769,0.9703703703703703,9,2,2,122,0.9010263929618769,1,0.0
0.9010263929618769,0.9010263929618769,0.9010263929618769,0.9703703703703703,9,2,2,122,0.9010263929618769,1,0.0
0.9010263929618769,0.9010263929618769,0.9010263929618769,0.9703703703703703,9,2,2,122,0.9010263929618769,1,0.0

0.8020527859237536,0.5984462336934405,0.45121951219512196,0.9407407407407408,7,5,3,120,0.7794715447154472,38,0.10201285562667
0.8628048780487805,0.7369124860982968,0.6435486710086252,0.9555555555555556,9,3,3,120,0.8628048780487805,31,0.05347162380374699
0.8709122203098107,0.7880348978858405,0.7525659824046921,0.9629629629629629,8,4,1,122,0.8292682926829268,17,0.026655367599677647
0.8811828903362084,0.8247544604408157,0.8020527859237536,0.9629629629629629,9,3,2,121,0.8668699186991871,13,0.021258687040185187
0.9148802017654476,0.8723411219875459,0.8515395894428153,0.9703703703703703,11,1,3,120,0.9461382113821137,9,0.014027884920640568
0.9505131964809383,0.9235881416805146,0.9010263929618769,0.9851851851851852,10,2,0,123,0.9166666666666667,7,0.016139192410074103
0.9505131964809383,0.9505131964809383,0.9505131964809383,0.9851851851851852,10,2,0,123,0.9166666666666667,1,0.0
0.9505131964809383,0.9505131964809383,0.9505131964809383,0.9851851851851852,10,2,0,123,0.9166666666666667,1,0.0
0.9505131964809383,0.9505131964809383,0.9505131964809383,0.9851851851851852,10,2,0,123,0.9166666666666667,1,0.0
0.9505131964809383,0.9505131964809383,0.9505131964809383,0.9851851851851852,10,2,0,123,0.9166666666666667,1,0.0
0.9505131964809383,0.9505131964809383,0.9505131964809383,0.9851851851851852,10,2,0,123,0.9166666666666667,1,0.0
0.9505131964809383,0.9505131964809383,0.9505131964809383,0.9851851851851852,10,2,0,123,0.9166666666666667,1,0.0
0.9505131964809383,0.9505131964809383,0.9505131964809383,0.9851851851851852,10,2,0,123,0.9166666666666667,1,0.0
0.9505131964809383,0.9505131964809383,0.9505131964809383,0.9851851851851852,10,2,0,123,0.9166666666666667,1,0.0

0.8020527859237536,0.5753534564991607,0.4421487603305785,0.9407407407407408,7,5,3,120,0.7794715447154472,35,0.08332072042663811
0.8020527859237536,0.6974668950550609,0.6435486710086252,0.9407407407407408,7,5,3,120,0.7794715447154472,25,0.03694965567860257
0.8125,0.7321964196525492,0.691358024691358,0.9259259259259259,10,2,8,115,0.8841463414634146,25,0.029381359643653425
0.8709122203098107,0.7801901897933325,0.7525659824046921,0.9629629629629629,8,4,1,122,0.8292682926829268,17,0.025489225223581637
0.8723203026481715,0.8376030065378572,0.8020527859237536,0.9555555555555556,10,2,4,119,0.9004065040650406,14,0.02201849903619008
0.8811828903362084,0.8737383166782574,0.8723203026481715,0.9629629629629629,9,3,2,121,0.8668699186991871,2,0.003249078314689035
0.8811828903362084,0.8811828903362082,0.8811828903362084,0.9629629629629629,9,3,2,121,0.8668699186991871,1,2.220446049250313e-16
0.8811828903362084,0.8811828903362082,0.8811828903362084,0.9629629629629629,9,3,2,121,0.8668699186991871,1,2.220446049250313e-16
0.8811828903362084,0.8811828903362082,0.8811828903362084,0.9629629629629629,9,3,2,121,0.8668699186991871,1,2.220446049250313e-16
0.8811828903362084,0.8811828903362082,0.8811828903362084,0.9629629629629629,9,3,2,121,0.8668699186991871,1,2.220446049250313e-16
0.8811828903362084,0.8811828903362082,0.8811828903362084,0.9629629629629629,9,3,2,121,0.8668699186991871,1,2.220446049250313e-16
