f1_macro_best,f1_macro_mean,f1_macro_worst,accuracy__best,tn__best,fp__best,fn__best,tp__best,recall__best,#phenotypes,stddev
0.9797235023041475,0.8909169268813933,0.737037037037037,0.9777777777777777,15,0,0,1,0.9814814814814815,36,0.06028818418111015
0.9797235023041475,0.9468715635837083,0.934730663342164,0.9777777777777777,15,0,0,1,0.9814814814814815,13,0.015054486434806657
0.9797235023041475,0.963802007972115,0.9563061353573689,0.9777777777777777,15,0,0,1,0.9814814814814815,7,0.009357319821504732
1.0,0.9812594517288622,0.9794967381174278,1.0,15,0,0,0,1.0,3,0.005527323803445515
1.0,0.992700460829493,0.9797235023041475,1.0,15,0,0,0,1.0,2,0.009732718894009194
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0

1.0,0.902420587625,0.678692015999169,1.0,15,0,0,0,1.0,40,0.07239028118783553
1.0,0.9704859338088713,0.9393939393939394,1.0,15,0,0,0,1.0,14,0.0175379235735609
1.0,0.9892180225991127,0.9771428571428572,1.0,15,0,0,0,1.0,4,0.010379764642448478
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0

0.9595588235294118,0.8848643146838624,0.7545634920634922,0.9555555555555556,15,0,0,2,0.9629629629629629,33,0.05193130775849178
0.9797235023041475,0.9439700618459141,0.9146969696969697,0.9777777777777777,15,0,0,1,0.9814814814814815,14,0.014306285445437389
0.9797235023041475,0.956805185710266,0.9358730158730159,0.9777777777777777,15,0,0,1,0.9814814814814815,11,0.008613241750691484
0.9797235023041475,0.9651883925909999,0.9563061353573689,0.9777777777777777,15,0,0,1,0.9814814814814815,6,0.01055779986997827
0.9797235023041475,0.9797235023041475,0.9797235023041475,0.9777777777777777,15,0,0,1,0.9814814814814815,1,0.0
1.0,0.9801290322580646,0.9797235023041475,1.0,15,0,0,0,1.0,2,0.0028387096774193494
1.0,0.9902672811059907,0.9797235023041475,1.0,15,0,0,0,1.0,2,0.010130135002010284
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0

0.9771428571428572,0.9140352000673938,0.772273425499232,0.9777777777777777,15,0,0,0,0.9814814814814815,27,0.048563602261627356
0.9797235023041475,0.9586081739304898,0.9333032558839011,0.9777777777777777,15,0,0,1,0.9814814814814815,8,0.013688054051771764
0.9797235023041475,0.9715853897849578,0.9563061353573689,0.9777777777777777,15,0,0,1,0.9814814814814815,5,0.009494912858305875
1.0,0.978913583088889,0.9771428571428572,1.0,15,0,0,0,1.0,4,0.005404617163403486
1.0,0.9931059907834101,0.9797235023041475,1.0,15,0,0,0,1.0,2,0.009605154809629259
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0

1.0,0.9196525680567579,0.7818181818181819,1.0,15,0,0,0,1.0,32,0.05513228607184841
1.0,0.9831218539816493,0.9595588235294118,1.0,15,0,0,0,1.0,5,0.012037350818863797
1.0,0.9975668202764976,0.9797235023041475,1.0,15,0,0,0,1.0,2,0.006589081839704728
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0

1.0,0.8816499115920212,0.5685185185185185,1.0,15,0,0,0,1.0,37,0.08702951454014672
1.0,0.9676169824660312,0.9393939393939394,1.0,15,0,0,0,1.0,10,0.01353806483070098
1.0,0.9849953917050691,0.9797235023041475,1.0,15,0,0,0,1.0,2,0.008893966237569545
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0

1.0,0.9160513979638775,0.7387205387205387,1.0,15,0,0,0,1.0,32,0.06618351328702275
1.0,0.9748389098254858,0.9563061353573689,1.0,15,0,0,0,1.0,9,0.010844525990801431
1.0,0.9842121275892132,0.9771428571428572,1.0,15,0,0,0,1.0,4,0.00942059828541944
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0

1.0,0.9056277486173863,0.6040725157134694,1.0,15,0,0,0,1.0,32,0.07562162368474176
1.0,0.9774904526717251,0.9595588235294118,1.0,15,0,0,0,1.0,5,0.0122817949391787
1.0,0.9898617511520738,0.9797235023041475,1.0,15,0,0,0,1.0,2,0.010138248847926247
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0

