f1_macro_best,f1_macro_mean,f1_macro_worst,accuracy__best,tn__best,fp__best,fn__best,tp__best,recall__best,#phenotypes,stddev
0.9797235023041475,0.8995644882614837,0.4717244125846276,0.9777777777777777,15,0,0,1,0.9814814814814815,36,0.08536987791359504
1.0,0.968244283182502,0.9391705069124424,1.0,15,0,0,0,1.0,13,0.012930455203853703
1.0,0.9803622214300745,0.9794967381174278,1.0,15,0,0,0,1.0,3,0.004009560193814176
1.0,0.982102258622837,0.9794967381174278,1.0,15,0,0,0,1.0,3,0.006609857994890262
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0

1.0,0.9099690053115332,0.7246753246753247,1.0,15,0,0,0,1.0,35,0.0635421080667255
1.0,0.972456549301082,0.9592592592592593,1.0,15,0,0,0,1.0,6,0.0118387274428296
1.0,0.9824170829020662,0.9794967381174278,1.0,15,0,0,0,1.0,3,0.007094830785408897
1.0,0.9914838709677418,0.9797235023041475,1.0,15,0,0,0,1.0,2,0.010007637933403387
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0

0.9592592592592593,0.9010814626179652,0.7550505050505051,0.9555555555555556,14,1,0,1,0.9592592592592593,38,0.04438286935171201
0.9771428571428572,0.9504705989214398,0.935530303030303,0.9777777777777777,15,0,0,0,0.9814814814814815,14,0.0113855895267008
0.9797235023041475,0.9630088011024012,0.9563061353573689,0.9777777777777777,15,0,0,1,0.9814814814814815,8,0.009846327744205245
1.0,0.9791024232808243,0.9764982373678026,1.0,15,0,0,0,1.0,4,0.004495881771674775
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0
1.0,1.0,1.0,1.0,15,0,0,0,1.0,1,0.0

0.9566538952745849,0.8886458244788435,0.6555555555555556,0.9555555555555556,14,1,0,0,0.9592592592592593,32,0.05206186746116244
0.9794967381174278,0.9355253096658711,0.9129210658622423,0.9777777777777777,14,1,0,0,0.9777777777777779,14,0.01707753403849029
0.9794967381174278,0.9512849088957512,0.9342932929139826,0.9777777777777777,14,1,0,0,0.9777777777777779,10,0.013830100046162868
0.9797235023041475,0.9661089981598852,0.9566538952745849,0.9777777777777777,15,0,0,1,0.9814814814814815,6,0.010953480660317394
0.9797235023041475,0.9795103439686309,0.9794967381174278,0.9777777777777777,15,0,0,1,0.9814814814814815,2,5.385351052398296e-05
