min,mean,max
5,15.01,24
5,15.01,24
5,15.01,24
5,15.01,24
5,15.01,24
5,15.01,24
5,14.825,22
4,14.89,21
5,14.795,22
6,14.36,20
8,14.415,22
6,14.03,22
6,13.64,20
7,12.985,20

6,15.0,21
6,15.0,21
6,15.0,21
6,15.0,21
6,15.0,21
6,15.0,21
8,14.8,21
9,14.445,22
6,14.32,23
7,13.95,22
8,13.55,22
7,13.36,23
6,13.19,20
7,13.415,20

8,15.175,23
8,15.175,23
8,15.175,23
8,15.175,23
8,15.175,23
8,15.175,23
9,14.915,23
8,14.525,21
9,14.335,21
8,13.945,22
8,13.525,20
7,13.64,21
8,13.845,22
9,14.22,21

9,15.44,22
9,15.44,22
9,15.44,22
9,15.44,22
9,15.44,22
9,15.44,22
10,15.785,21
10,15.805,22
10,15.685,22
7,15.055,22
8,15.145,23
8,14.88,23
6,14.77,25
5,13.97,24

7,14.585,23
7,14.585,23
7,14.585,23
7,14.585,23
7,14.585,23
7,14.585,23
7,14.565,21
8,14.57,22
9,14.23,21
8,14.225,21
7,14.225,22
7,14.2,20
6,14.31,19
7,14.05,20

7,15.105,23
7,15.105,23
7,15.105,23
7,15.105,23
7,15.105,23
7,15.105,23
7,15.445,23
7,15.515,24
6,15.155,25
8,14.18,22
8,13.59,21
8,13.485,22
6,13.185,21
6,13.01,20

6,14.99,22
6,14.99,22
6,14.99,22
6,14.99,22
6,14.99,22
6,14.99,22
7,14.84,21
6,14.67,22
8,14.525,22
7,14.305,20
8,14.17,20
8,14.365,19
7,14.305,22
7,14.235,21

7,14.865,21
7,14.865,21
7,14.865,21
7,14.865,21
7,14.865,21
7,14.865,21
7,14.605,22
7,14.41,21
10,14.71,21
9,14.385,21
8,14.555,22
8,14.37,21
8,14.485,21
8,14.805,24

8,15.245,22
8,15.245,22
8,15.245,22
8,15.245,22
8,15.245,22
8,15.245,22
7,14.9,21
9,14.695,22
8,14.68,21
8,14.895,22
9,14.895,23
8,14.5,22
9,14.33,21
7,14.045,20

8,14.685,21
8,14.685,21
8,14.685,21
8,14.685,21
8,14.685,21
8,14.685,21
9,14.88,21
8,15.205,21
8,15.02,22
5,14.845,22
5,14.27,22
7,13.965,20
7,13.78,19
7,14.02,21

8,14.91,23
8,14.91,23
8,14.91,23
8,14.91,23
8,14.91,23
8,14.91,23
8,14.875,24
7,14.71,25
7,14.01,22
8,14.075,22
8,13.895,22
7,13.59,20
8,13.705,22
8,13.39,22

6,14.81,24
6,14.81,24
6,14.81,24
6,14.81,24
6,14.81,24
6,14.81,24
3,14.37,23
5,14.505,22
8,14.44,22
8,14.085,22
8,13.79,21
8,13.445,21
7,13.31,20
8,14.1,21

8,14.66,22
8,14.66,22
8,14.66,22
8,14.66,22
8,14.66,22
8,14.66,22
8,14.545,22
8,14.575,22
9,14.495,22
8,14.66,21
8,14.725,21
6,14.595,20
7,14.535,19
7,14.09,19

7,15.035,21
7,15.035,21
7,15.035,21
7,15.035,21
7,15.035,21
7,15.035,21
7,15.09,22
9,14.975,22
7,15.065,22
7,14.95,22
8,14.77,22
8,14.735,20
8,14.575,20
8,14.705,21

6,14.355,22
6,14.355,22
6,14.355,22
6,14.355,22
6,14.355,22
6,14.355,22
9,14.75,22
9,14.445,21
8,14.505,20
7,14.265,20
7,14.255,20
6,14.1,20
7,14.215,20
7,14.235,21

8,14.75,23
8,14.75,23
8,14.75,23
8,14.75,23
8,14.75,23
8,14.75,23
8,14.7,23
8,14.445,22
7,14.095,20
8,13.99,21
6,13.765,20
8,13.44,20
8,13.05,20
7,12.925,21

9,15.085,21
9,15.085,21
9,15.085,21
9,15.085,21
9,15.085,21
9,15.085,21
7,15.125,23
8,14.66,22
7,13.875,21
6,13.54,20
5,13.175,19
7,12.975,19
7,12.86,20
7,12.445,19

5,14.74,22
5,14.74,22
5,14.74,22
5,14.74,22
5,14.74,22
5,14.74,22
5,14.86,22
8,15.08,22
6,15.035,24
8,14.6,21
8,14.4,22
6,14.265,20
8,13.965,20
8,14.12,21

7,14.945,21
7,14.945,21
7,14.945,21
7,14.945,21
7,14.945,21
7,14.945,21
7,14.63,21
6,14.695,22
6,14.64,22
8,14.115,21
6,13.665,21
8,13.78,23
8,13.685,19
7,13.385,20

7,14.91,21
7,14.91,21
7,14.91,21
7,14.91,21
7,14.91,21
7,14.91,21
8,14.865,21
8,14.95,21
6,14.59,22
6,14.095,21
6,14.065,20
8,14.265,19
8,13.535,19
7,13.405,19

7,14.715,22
7,14.715,22
7,14.715,22
7,14.715,22
7,14.715,22
7,14.715,22
8,14.64,21
6,14.48,23
6,14.3,21
7,14.09,21
7,14.235,23
7,14.025,22
7,14.01,22
7,13.84,20

8,14.85,21
8,14.85,21
8,14.85,21
8,14.85,21
8,14.85,21
8,14.85,21
8,14.79,22
8,14.405,22
6,14.06,20
7,13.76,21
7,13.415,21
6,13.73,22
6,13.825,20
5,13.64,21

6,15.085,23
6,15.085,23
6,15.085,23
6,15.085,23
6,15.085,23
6,15.085,23
9,15.015,23
8,14.885,21
9,14.985,22
8,14.77,22
6,14.335,21
7,13.585,19
7,13.525,20
7,13.455,22

7,14.895,23
7,14.895,23
7,14.895,23
7,14.895,23
7,14.895,23
7,14.895,23
8,15.17,22
7,15.195,22
7,14.535,22
6,14.17,23
6,13.675,21
5,13.69,21
6,13.435,20
6,13.625,20

7,15.07,21
7,15.07,21
7,15.07,21
7,15.07,21
7,15.07,21
7,15.07,21
8,14.63,21
7,14.295,21
7,14.015,22
7,13.96,19
7,13.705,21
7,13.47,20
8,13.65,20
6,13.44,20

8,14.955,25
8,14.955,25
8,14.955,25
8,14.955,25
8,14.955,25
8,14.955,25
8,14.875,24
8,14.52,24
8,14.46,23
9,14.205,22
8,13.96,22
7,13.47,20
7,13.06,20
7,13.19,19

9,15.385,22
9,15.385,22
9,15.385,22
9,15.385,22
9,15.385,22
9,15.385,22
8,15.075,21
9,14.71,22
8,14.32,21
8,14.17,20
8,13.175,21
