min,mean,max
9,16.725,25
9,16.725,25
9,16.725,25
9,16.725,25
9,16.725,25
9,16.725,25
9,16.695,24
8,16.71,24
11,16.545,25
10,16.41,24
9,15.92,22
7,15.41,22
8,15.315,22
7,15.23,21

8,16.66,23
8,16.66,23
8,16.66,23
8,16.66,23
8,16.66,23
8,16.66,23
8,16.955,25
7,17.23,26
7,17.425,26
9,17.475,26
10,18.09,26
11,18.18,25
12,18.39,26
9,17.995,26

8,17.32,25
8,17.32,25
8,17.32,25
8,17.32,25
8,17.32,25
8,17.32,25
10,17.25,25
9,17.37,24
10,17.36,25
10,17.15,25
9,16.725,25
9,16.875,24
9,16.53,24
10,16.23,23

9,16.74,24
9,16.74,24
9,16.74,24
9,16.74,24
9,16.74,24
9,16.74,24
9,16.89,24
8,17.04,24
9,16.6,26
8,16.19,24
9,15.43,22
8,15.105,23
8,14.48,22
7,13.465,20

8,17.05,26
8,17.05,26
8,17.05,26
8,17.05,26
8,17.05,26
8,17.05,26
9,17.6,27
11,17.89,28
11,17.79,27
10,17.425,26
11,17.035,25
10,17.115,25
9,16.835,23
10,16.44,23

7,16.82,26
7,16.82,26
7,16.82,26
7,16.82,26
7,16.82,26
7,16.82,26
8,16.73,24
9,16.685,23
9,16.875,24
10,16.955,24
10,17.045,24
11,17.23,25
8,16.845,24
10,16.44,24

9,17.02,25
9,17.02,25
9,17.02,25
9,17.02,25
9,17.02,25
9,17.02,25
8,17.005,26
8,16.625,25
8,16.0,25
7,15.455,25
9,15.085,23
8,14.795,23
7,14.58,22
7,14.43,23

9,16.865,26
9,16.865,26
9,16.865,26
9,16.865,26
9,16.865,26
9,16.865,26
9,17.055,27
9,16.81,24
10,16.53,23
10,16.075,25
10,15.59,26
8,15.06,23
9,15.085,23
8,14.575,23

9,16.825,24
9,16.825,24
9,16.825,24
9,16.825,24
9,16.825,24
9,16.825,24
11,17.41,26
8,17.785,25
7,17.775,25
11,17.68,27
11,17.855,24
11,17.665,25
11,17.74,24
11,17.115,23

8,16.87,27
8,16.87,27
8,16.87,27
8,16.87,27
8,16.87,27
8,16.87,27
10,17.71,27
9,17.61,27
10,17.91,28
12,18.26,27
11,18.13,26
12,18.265,25
10,17.945,26
11,17.785,25

9,17.09,25
9,17.09,25
9,17.09,25
9,17.09,25
9,17.09,25
9,17.09,25
10,17.195,24
10,17.24,24
10,16.93,24
8,17.35,25
9,16.895,23
9,16.655,24
7,16.625,23
8,16.06,25

8,17.025,24
8,17.025,24
8,17.025,24
8,17.025,24
8,17.025,24
8,17.025,24
9,17.635,25
10,17.75,26
10,18.095,27
10,18.05,27
12,18.095,27
11,18.285,27
11,18.6,27
11,18.99,25

9,16.945,23
9,16.945,23
9,16.945,23
9,16.945,23
9,16.945,23
9,16.945,23
11,17.625,25
11,17.565,24
11,17.56,26
9,17.515,26
9,17.21,25
9,16.295,24
7,15.935,24
9,15.415,23

9,16.745,25
9,16.745,25
9,16.745,25
9,16.745,25
9,16.745,25
9,16.745,25
9,16.775,25
8,16.66,22
7,16.635,24
7,16.195,23
10,15.795,25
8,15.415,24
9,14.85,21
8,14.08,22

10,16.895,25
10,16.895,25
10,16.895,25
10,16.895,25
10,16.895,25
10,16.895,25
10,16.66,24
9,16.905,25
10,17.175,24
9,16.895,25
8,16.905,24
9,16.92,24
8,16.98,24
9,16.785,24

6,16.76,24
6,16.76,24
6,16.76,24
6,16.76,24
6,16.76,24
6,16.76,24
10,16.94,25
11,17.035,25
8,16.755,26
11,16.255,23
11,15.805,22
10,15.705,24
9,16.295,26
8,16.5,23

9,17.07,24
9,17.07,24
9,17.07,24
9,17.07,24
9,17.07,24
9,17.07,24
8,17.25,25
10,17.125,24
10,16.865,22
9,16.66,23
9,16.545,23
9,16.175,22
10,15.655,22
9,14.885,21

9,17.18,24
9,17.18,24
9,17.18,24
9,17.18,24
9,17.18,24
9,17.18,24
9,17.445,25
9,17.495,26
9,17.26,26
9,17.125,26
8,16.62,25
10,17.15,25
8,16.52,27
7,15.435,23

7,16.96,25
7,16.96,25
7,16.96,25
7,16.96,25
7,16.96,25
7,16.96,25
8,17.035,24
10,17.58,24
9,17.29,23
10,17.295,24
11,17.27,24
10,17.095,25
10,17.155,26
10,16.825,25

6,17.205,24
6,17.205,24
