min,mean,max
5,11.295,18
5,11.295,18
5,11.295,18
5,11.295,18
5,11.295,18
5,11.295,18
4,11.03,18
4,10.915,19
4,10.445,19
3,10.52,19
4,9.91,16
4,9.61,15
3,9.295,17
3,8.425,15

5,10.875,18
5,10.875,18
5,10.875,18
5,10.875,18
5,10.875,18
5,10.875,18
5,10.39,17
4,10.055,17
4,9.82,16
5,9.645,16
4,9.435,16
4,9.075,15
4,8.835,14
5,8.54,14

6,10.98,17
6,10.98,17
6,10.98,17
6,10.98,17
6,10.98,17
6,10.98,17
6,10.72,16
5,10.5,17
4,9.865,17
5,9.52,16
5,9.205,14
3,9.025,14
3,8.465,13
3,7.755,13

6,11.2,18
6,11.2,18
6,11.2,18
6,11.2,18
6,11.2,18
6,11.2,18
5,10.89,18
5,11.07,18
5,10.595,16
5,10.34,17
5,9.79,16
5,9.35,15
4,9.35,15
4,9.135,14

4,11.035,17
4,11.035,17
4,11.035,17
4,11.035,17
4,11.035,17
4,11.035,17
4,10.91,17
4,10.385,16
3,10.035,15
4,9.755,17
4,9.335,14
4,9.015,14
4,8.87,16
3,8.51,16

5,10.66,17
5,10.66,17
5,10.66,17
5,10.66,17
5,10.66,17
5,10.66,17
4,10.755,17
5,10.62,16
5,10.58,16
6,10.395,16
6,9.94,15
5,9.255,15
3,9.245,15
4,8.735,14

5,11.05,18
5,11.05,18
5,11.05,18
5,11.05,18
5,11.05,18
5,11.05,18
5,10.86,18
4,10.8,17
5,10.51,17
5,9.745,15
4,9.32,15
4,8.955,15
3,8.74,13
3,8.38,13

5,10.645,16
5,10.645,16
5,10.645,16
5,10.645,16
5,10.645,16
5,10.645,16
5,10.41,17
4,10.065,17
4,9.865,15
4,9.555,14
4,9.34,15
3,9.07,15
3,8.845,14
2,8.3,13

5,11.365,19
5,11.365,19
5,11.365,19
5,11.365,19
5,11.365,19
5,11.365,19
6,10.905,19
4,10.575,15
3,10.3,16
4,10.03,16
3,9.57,15
3,9.415,15
4,9.02,16
4,8.41,14

4,11.295,17
4,11.295,17
4,11.295,17
4,11.295,17
4,11.295,17
4,11.295,17
5,11.215,17
5,11.005,18
5,10.6,17
5,10.14,16
4,9.945,15
5,9.555,14
5,9.32,14
4,9.1,16

5,10.945,18
5,10.945,18
5,10.945,18
5,10.945,18
5,10.945,18
5,10.945,18
4,10.69,17
4,10.42,19
3,9.755,16
4,9.38,17
4,8.995,17
4,8.64,15
3,8.215,14
2,7.875,13

4,10.935,16
4,10.935,16
4,10.935,16
4,10.935,16
4,10.935,16
4,10.935,16
5,10.36,16
5,9.885,16
4,9.465,17
3,9.1,16
4,9.08,14
3,8.215,15
3,7.985,15
2,8.045,14

5,10.955,17
5,10.955,17
5,10.955,17
5,10.955,17
5,10.955,17
5,10.955,17
5,10.705,16
4,10.42,17
4,9.6,16
3,8.92,14
4,9.015,14
4,8.695,14
3,8.245,14
2,7.53,14

3,10.935,16
3,10.935,16
3,10.935,16
3,10.935,16
3,10.935,16
3,10.935,16
6,10.71,16
4,10.485,16
3,10.0,15
3,10.015,17
2,9.425,15
2,9.14,15
1,8.695,16
2,8.16,15

2,10.765,16
2,10.765,16
2,10.765,16
2,10.765,16
2,10.765,16
2,10.765,16
3,10.575,17
3,9.905,16
3,9.635,16
3,9.455,16
2,8.92,15
2,8.45,14
2,8.165,14
2,8.1,15

3,10.65,16
3,10.65,16
3,10.65,16
3,10.65,16
3,10.65,16
3,10.65,16
3,10.24,15
3,9.91,16
4,9.73,16
4,9.405,16
4,8.595,15
4,8.27,14
4,8.3,14
3,7.92,13

3,10.99,18
3,10.99,18
3,10.99,18
3,10.99,18
3,10.99,18
3,10.99,18
2,10.4,16
2,9.895,17
2,9.105,17
2,8.755,17
2,8.27,16
2,8.08,16
1,7.445,13
2,7.44,15

4,11.07,18
4,11.07,18
4,11.07,18
4,11.07,18
4,11.07,18
4,11.07,18
2,10.55,18
2,9.655,18
3,9.065,15
2,9.015,16
2,8.7,14
3,8.57,15
3,8.215,13
3,8.03,12

4,10.91,17
4,10.91,17
4,10.91,17
4,10.91,17
4,10.91,17
4,10.91,17
4,10.82,18
5,10.23,17
4,9.725,15
3,9.38,15
4,9.09,16
3,8.585,15
3,8.195,15
3,7.845,14

5,11.275,16
5,11.275,16
5,11.275,16
5,11.275,16
5,11.275,16
5,11.275,16
5,11.085,17
5,10.745,17
4,10.175,18
3,9.385,16
2,8.965,15
4,8.805,14
3,8.9,15
4,9.435,16

3,10.895,18
3,10.895,18
3,10.895,18
3,10.895,18
3,10.895,18
3,10.895,18
4,10.79,18
5,10.64,18
4,10.13,18
4,9.52,15
2,9.195,15
4,8.94,15
4,8.805,16
4,8.685,14

5,10.95,17
5,10.95,17
5,10.95,17
5,10.95,17
5,10.95,17
5,10.95,17
5,10.425,17
3,10.235,16
5,10.52,16
5,10.185,17
5,9.84,17
5,9.67,14
4,9.475,15
4,8.905,14

5,11.05,19
5,11.05,19
5,11.05,19
5,11.05,19
5,11.05,19
5,11.05,19
4,10.405,18
3,10.0,15
3,9.2,15
3,8.505,14
2,8.3,14
2,7.975,14
2,7.425,14
1,7.055,14

5,11.32,17
5,11.32,17
5,11.32,17
5,11.32,17
5,11.32,17
5,11.32,17
4,10.835,18
3,10.18,17
4,9.575,15
3,9.275,15
3,9.03,15
4,8.685,16
3,8.695,15
4,8.47,15

4,10.695,16
4,10.695,16
4,10.695,16
4,10.695,16
4,10.695,16
4,10.695,16
5,10.96,17
5,10.67,17
5,10.615,16
5,10.28,16
5,9.495,15
3,9.175,16
3,8.735,15
4,8.205,14

6,11.15,18
6,11.15,18
6,11.15,18
6,11.15,18
6,11.15,18
6,11.15,18
5,11.13,17
7,10.755,17
5,10.43,16
5,10.025,17
4,9.325,16
4,9.355,15
4,8.91,14
4,8.37,13

5,11.235,17
5,11.235,17
5,11.235,17
5,11.235,17
5,11.235,17
5,11.235,17
5,10.915,16
6,10.63,16
4,10.245,18
4,10.215,17
5,9.63,15
4,9.145,15
4,9.115,15
3,8.525,14

6,11.2,16
6,11.2,16
6,11.2,16
6,11.2,16
6,11.2,16
6,11.2,16
5,10.72,16
5,10.535,16
5,9.81,15
4,9.73,15
4,9.425,15
4,9.23,15
4,8.805,15
3,7.99,14

6,11.01,18
6,11.01,18
6,11.01,18
6,11.01,18
6,11.01,18
6,11.01,18
4,10.695,17
4,10.16,18
3,9.675,18
3,9.7,16
5,9.525,15
4,9.275,15
