min,mean,max
136,154.375,178
136,154.375,178
136,154.375,178
136,154.375,178
136,154.375,178
136,154.375,178
131,154.26,183
123,153.795,185
113,151.435,188
122,149.17,183
126,146.835,174
120,145.205,173
115,143.43,177
119,141.29,187

134,155.2,174
134,155.2,174
134,155.2,174
134,155.2,174
134,155.2,174
134,155.2,174
122,152.84,175
123,151.415,182
124,149.57,177
122,146.545,175
113,146.005,175
117,144.205,174
116,141.75,173
113,140.84,170

131,154.59,180
131,154.59,180
131,154.59,180
131,154.59,180
131,154.59,180
131,154.59,180
125,153.14,178
126,150.44,182
118,151.11,183
126,150.01,177
123,149.725,180
121,149.67,180
117,147.45,182
118,145.41,172

133,153.52,173
133,153.52,173
133,153.52,173
133,153.52,173
133,153.52,173
133,153.52,173
126,152.005,180
123,151.63,184
110,149.84,180
113,147.395,183
113,144.525,173
116,143.835,179
108,142.07,173
111,140.74,173

131,154.22,178
131,154.22,178
131,154.22,178
131,154.22,178
131,154.22,178
131,154.22,178
127,153.275,183
123,153.005,187
118,150.8,191
118,147.37,192
111,143.75,183
116,140.08,169
116,137.265,168
106,132.2,162

131,154.56,175
131,154.56,175
131,154.56,175
131,154.56,175
131,154.56,175
131,154.56,175
129,152.485,183
120,150.895,174
120,148.945,176
117,147.425,178
118,146.7,181
111,146.625,183
112,145.175,180
112,141.52,172

132,155.02,181
132,155.02,181
132,155.02,181
132,155.02,181
132,155.02,181
132,155.02,181
128,155.31,185
124,154.68,186
116,154.595,186
113,154.63,188
118,155.235,193
123,154.27,192
122,151.915,195
116,152.74,185

129,154.62,180
129,154.62,180
129,154.62,180
129,154.62,180
129,154.62,180
129,154.62,180
121,154.66,182
117,151.975,180
122,150.815,183
115,147.455,176
118,145.785,178
110,143.02,179
113,142.56,174
107,139.625,173

126,155.015,178
126,155.015,178
126,155.015,178
126,155.015,178
126,155.015,178
126,155.015,178
115,153.57,182
124,152.415,180
126,151.485,183
123,150.46,182
117,149.84,181
117,148.695,182
109,146.065,178
109,142.955,173

128,154.145,176
128,154.145,176
128,154.145,176
128,154.145,176
128,154.145,176
