min,mean,max
2,6.455,12
2,6.455,12
2,6.455,12
2,6.455,12
2,6.455,12
2,6.455,12
2,7.015,13
3,7.17,12
3,7.35,12
3,7.415,11
4,7.13,11
3,6.91,11
3,6.56,12
1,6.355,11

2,6.34,11
2,6.34,11
2,6.34,11
2,6.34,11
2,6.34,11
2,6.34,11
2,6.925,11
3,7.115,12
2,7.25,12
3,7.375,12
4,7.17,11
4,7.05,11
4,6.945,11
2,6.745,12

2,6.48,11
2,6.48,11
2,6.48,11
2,6.48,11
2,6.48,11
2,6.48,11
3,6.965,11
3,7.02,11
4,7.18,11
3,7.02,11
3,7.11,11
3,6.98,10
4,7.02,11
3,6.985,9

1,6.4,11
1,6.4,11
1,6.4,11
1,6.4,11
1,6.4,11
1,6.4,11
1,6.695,11
2,6.825,11
3,6.81,12
2,6.64,11
2,6.36,11
2,6.45,10
2,6.335,10
2,5.87,10

2,6.61,11
2,6.61,11
2,6.61,11
2,6.61,11
2,6.61,11
2,6.61,11
3,6.975,11
3,7.155,11
3,7.03,11
2,7.2,11
2,7.08,12
3,6.78,11
3,6.315,10
2,5.855,9

2,6.565,12
2,6.565,12
2,6.565,12
2,6.565,12
2,6.565,12
2,6.565,12
2,6.975,12
2,7.245,12
2,7.43,11
3,7.335,11
3,7.4,12
3,7.315,12
3,7.05,11
2,6.68,12

2,6.515,11
2,6.515,11
2,6.515,11
2,6.515,11
2,6.515,11
2,6.515,11
2,6.84,12
2,7.115,12
3,7.065,12
2,6.905,11
3,7.03,11
3,6.905,11
1,6.795,11
3,6.36,11

2,6.44,11
2,6.44,11
2,6.44,11
2,6.44,11
2,6.44,11
2,6.44,11
2,6.905,12
2,7.25,12
2,7.515,12
2,7.57,12
2,7.695,11
2,7.37,11
2,7.33,11
2,7.285,11

2,6.545,12
2,6.545,12
2,6.545,12
2,6.545,12
2,6.545,12
2,6.545,12
3,6.97,12
3,7.3,12
3,7.325,11
3,7.29,11
3,7.14,11
3,7.18,11
2,6.95,10
4,6.705,11

1,6.8,12
1,6.8,12
1,6.8,12
1,6.8,12
1,6.8,12
1,6.8,12
3,7.15,12
3,7.38,12
2,7.43,12
4,7.6,12
4,7.39,12
2,7.17,12
4,7.105,12
3,6.755,12

2,6.4,12
2,6.4,12
2,6.4,12
2,6.4,12
2,6.4,12
2,6.4,12
2,6.59,12
2,6.835,12
3,6.905,11
2,6.685,11
2,6.81,11
3,6.88,12
4,6.995,11
3,6.7,11

2,6.67,11
2,6.67,11
2,6.67,11
2,6.67,11
2,6.67,11
2,6.67,11
2,7.235,11
1,7.34,12
2,7.485,11
1,7.31,11
3,7.26,11
3,7.195,12
3,6.86,12
3,6.72,11

2,6.445,12
2,6.445,12
2,6.445,12
2,6.445,12
2,6.445,12
2,6.445,12
1,6.625,10
3,6.765,10
4,7.025,13
2,7.035,12
3,7.025,11
3,7.11,10
3,7.13,11
3,7.165,11

1,6.52,11
1,6.52,11
1,6.52,11
1,6.52,11
1,6.52,11
1,6.52,11
2,6.545,11
