min,mean,max
15,20.64,28
15,21.24,29
16,22.28,29
17,23.04,28
16,21.6,27
14,21.2,26
17,21.88,26
17,21.76,26
18,22.04,26
18,22.0,26
19,22.12,26
19,21.84,25
19,21.46,25
18,21.16,25

13,20.16,29
11,19.52,29
14,19.6,27
15,20.04,25
15,20.12,27
13,20.08,24
13,19.94,25
13,19.38,24
13,18.88,24
12,19.02,24
12,19.5,24
12,19.4,24
12,19.3,22
15,19.36,22

13,20.2,28
16,21.94,28
16,22.7,29
17,23.62,29
16,23.26,32
15,20.14,25
15,21.1,25
15,21.84,25
17,20.98,26
17,20.22,24
18,20.42,24
18,20.22,24
18,20.28,24
17,19.96,23

13,20.68,27
17,23.04,29
16,23.52,29
16,22.0,30
16,21.54,27
16,21.56,27
16,20.82,27
14,19.48,24
13,18.06,22
13,17.4,23
13,17.26,20
11,16.68,20
11,17.14,20
12,16.84,21

14,21.02,26
14,21.06,29
15,21.58,29
15,20.8,30
17,22.16,28
19,23.72,29
17,21.98,26
17,20.5,25
17,20.9,24
16,20.6,24
16,21.1,25
16,21.8,26
17,22.28,26
17,21.44,24

13,20.32,28
15,20.7,28
16,21.12,29
14,19.86,27
13,18.28,24
15,19.46,23
13,19.22,25
12,18.12,25
14,18.26,22
14,18.42,22
13,17.18,22
13,16.68,22
13,16.08,20
13,16.3,19

15,20.32,28
15,20.58,26
15,20.72,25
15,20.58,27
16,20.78,27
15,21.3,26
15,19.56,27
13,17.6,25
14,17.62,22
14,17.26,22
14,17.76,22
15,18.14,22
15,17.88,22
14,18.12,23

11,19.5,27
14,19.44,26
15,20.84,27
14,21.26,27
13,22.1,27
16,20.58,26
17,20.94,24
15,21.38,24
17,21.4,24
16,21.3,25
15,21.46,25
15,20.82,25
14,20.08,24
14,20.3,24

14,21.12,27
14,21.86,29
14,21.16,30
14,21.24,28
15,20.18,27
14,18.86,27
14,19.24,27
14,19.94,27
15,20.32,27
13,20.64,27
16,20.72,25
16,20.42,25
15,20.58,25
15,20.48,25

15,21.24,28
15,22.44,28
15,22.36,28
15,22.28,27
15,22.06,27
13,19.96,24
16,20.24,24
16,19.5,23
17,19.26,23
15,18.4,22
15,18.1,20
16,18.08,20
16,18.04,20
16,18.06,20

13,20.46,27
14,20.06,27
15,20.46,28
16,21.14,29
15,21.94,29
16,20.66,27
15,19.74,24
16,19.2,24
14,18.96,25
14,18.42,25
13,18.18,25
14,18.44,23
14,19.5,24
14,19.4,24

14,21.46,29
15,21.76,29
17,22.42,30
18,22.42,29
18,22.6,29
17,22.84,29
17,22.32,26
20,23.16,26
21,23.52,26
19,22.74,26
19,23.1,26
19,23.28,26
19,23.08,26
19,22.64,25

14,20.18,27
15,21.94,27
17,22.24,28
14,21.76,28
18,21.1,28
16,20.48,24
15,19.34,24
14,19.78,24
15,18.96,23
15,18.56,22
15,18.64,22
16,18.76,22
16,18.62,22
16,18.58,22

10,20.62,28
13,20.42,27
15,20.68,28
15,20.94,27
15,20.7,25
12,19.54,25
13,18.56,23
16,19.5,24
15,19.44,24
16,19.28,23
17,19.84,22
17,20.02,22
18,20.0,22
18,19.84,22

12,21.06,31
13,21.64,31
13,21.96,31
16,21.92,30
17,22.08,28
18,23.06,29
19,22.64,26
17,22.26,29
16,22.46,27
16,22.62,27
18,23.0,26
18,23.04,26
18,22.34,26
17,21.2,26

14,20.02,26
14,20.94,26
15,20.8,26
15,20.5,27
15,20.72,27
15,19.64,26
14,18.04,22
14,17.02,21
13,16.86,21
13,16.1,20
12,15.92,20
13,16.02,20
13,16.3,19
14,16.7,19

12,20.44,26
14,21.16,26
14,21.22,26
14,20.68,26
14,20.94,28
13,20.42,25
13,19.52,24
13,19.46,24
13,19.56,23
13,19.56,23
15,19.76,23
16,19.92,24
17,20.4,24
17,20.44,23

13,19.96,26
15,20.08,25
12,20.16,27
13,20.22,28
13,20.04,25
14,19.9,25
15,18.72,24
12,17.46,22
12,17.2,22
13,17.68,24
15,18.94,24
16,20.06,24
16,19.9,22
16,19.72,22

14,20.64,28
15,21.12,29
16,21.92,30
16,21.02,30
16,21.12,30
14,20.02,26
16,20.16,24
16,19.52,24
15,19.68,24
15,19.64,25
15,19.16,23
15,18.9,22
17,19.08,22
16,18.76,22

14,21.1,29
13,22.26,31
15,21.7,27
15,21.4,28
14,19.46,28
14,18.44,23
13,17.56,22
14,17.3,22
13,17.28,21
15,17.7,21
15,17.56,21
14,16.96,20
14,16.84,20
14,17.14,21

11,20.5,28
16,21.78,29
16,21.8,29
17,23.34,32
18,24.18,29
18,23.28,28
19,23.26,28
19,22.88,28
18,23.26,27
19,23.44,27
19,22.96,27
19,22.94,27
19,23.26,27
19,22.56,26

14,20.86,28
17,22.94,29
18,23.58,31
17,24.12,32
16,23.48,30
19,22.02,25
19,23.14,28
19,23.3,28
19,23.58,28
18,22.92,26
18,23.12,26
18,22.68,26
18,21.78,26
19,21.46,25

15,21.94,28
18,22.38,28
16,22.44,28
18,22.36,27
19,22.38,28
17,20.76,25
17,19.92,24
16,19.38,22
15,19.34,25
15,19.28,23
15,19.56,23
15,19.1,23
15,19.22,23
15,19.54,23

14,20.54,25
14,20.48,26
13,20.76,27
17,21.14,25
15,20.28,27
15,19.72,26
14,18.36,24
13,17.42,22
13,17.86,22
13,17.64,22
13,17.36,22
13,17.58,22
13,18.02,23
13,17.96,23

13,21.04,30
16,23.1,30
17,23.46,30
17,22.9,29
15,23.46,29
18,24.18,31
18,22.8,27
19,23.12,27
19,22.62,26
19,22.16,26
18,21.18,24
18,20.66,24
18,20.5,24
18,20.7,24

15,20.34,26
14,20.58,27
12,20.1,27
14,21.32,27
17,20.52,27
14,19.36,25
15,18.58,22
15,17.8,22
13,17.4,21
13,17.02,20
14,17.4,22
14,17.6,22
13,17.62,22
13,17.78,22

14,20.3,31
15,21.56,31
16,21.56,30
16,21.24,28
15,20.82,28
16,19.44,24
15,18.64,24
15,18.06,22
15,18.3,21
14,18.1,21
14,17.72,21
12,17.38,21
12,16.54,21
12,16.6,21

15,20.64,27
12,20.78,27
12,20.32,26
12,21.66,27
15,20.86,27
15,19.5,25
12,18.98,22
13,18.24,22
15,18.42,22
15,18.32,22
13,18.06,22
12,17.94,23
14,18.14,22
16,18.46,21

13,21.14,27
16,22.2,30
16,23.1,30
17,23.9,30
19,22.66,28
18,21.48,29
16,19.68,27
14,18.88,24
14,18.76,23
14,18.08,22
15,17.82,22
15,17.42,22
14,17.36,22
14,16.56,21

15,20.02,29
14,21.06,30
15,22.78,30
15,23.16,30
15,23.72,31
16,23.24,29
17,23.24,27
17,22.94,27
18,21.66,26
17,20.78,24
18,21.26,24
17,21.12,25
18,20.98,25
18,21.28,24

