min,mean,max
20,29.4,40
19,29.98,40
23,29.92,39
20,28.92,38
22,28.94,35
21,27.62,35
21,28.52,36
21,29.0,34
21,28.8,35
24,29.36,34
22,29.14,34
24,29.6,35
24,29.68,35
26,29.88,35

19,30.68,39
21,31.02,39
21,30.72,39
25,31.92,40
28,33.96,40
26,33.64,42
27,34.44,42
26,33.12,40
26,32.68,41
26,32.34,41
27,32.74,39
27,32.6,37
27,32.52,38
22,33.02,39

19,29.34,37
24,31.06,40
26,30.76,39
24,31.52,43
24,32.26,42
22,32.34,42
22,31.18,39
22,31.12,39
22,30.42,40
22,28.84,40
22,27.2,40
22,26.3,40
22,26.0,40
22,25.94,34

23,30.12,38
23,31.2,39
23,31.16,38
23,31.68,41
26,32.8,40
27,32.36,40
28,33.88,43
24,34.68,41
28,34.16,42
28,33.38,40
25,33.06,39
25,32.44,37
25,32.96,37
25,32.98,37

21,29.94,38
24,31.54,40
22,32.88,40
27,33.64,40
27,33.48,45
27,34.34,45
26,34.44,43
29,34.72,43
29,35.16,43
29,35.02,43
30,35.78,43
30,35.96,43
30,35.82,43
30,35.2,40

21,30.06,38
22,30.26,38
25,31.64,38
26,32.38,40
25,31.66,41
26,32.52,41
26,32.04,37
27,32.64,39
27,32.64,38
27,32.56,37
27,32.64,40
26,32.24,38
26,32.08,38
26,31.76,38

23,30.28,40
22,30.98,39
26,31.86,39
23,31.26,38
23,31.44,40
25,31.38,39
24,30.88,37
22,30.18,36
21,29.76,36
21,29.38,36
21,28.64,37
21,28.64,34
21,27.62,33
21,27.74,35

23,31.0,38
20,29.6,38
23,30.7,38
23,31.16,39
27,32.68,40
26,31.4,38
24,31.16,38
24,31.24,38
26,31.62,38
26,30.86,38
25,30.72,38
25,31.14,38
26,31.58,38
26,31.56,38

22,31.06,39
24,31.74,40
24,31.74,39
26,31.46,37
26,30.84,36
23,30.26,35
21,28.52,36
21,27.38,33
19,27.8,34
19,28.08,34
19,27.74,34
19,28.1,35
23,28.4,35
23,28.46,33

21,29.74,36
22,31.5,39
26,32.06,39
25,30.84,39
23,29.32,36
23,29.6,35
23,30.56,37
25,31.16,37
25,31.28,37
26,30.94,37
26,30.68,37
22,30.6,36
25,30.44,36
24,29.06,36

21,30.4,39
21,30.58,40
24,31.9,42
24,31.26,42
23,29.98,36
25,30.76,38
24,30.68,38
24,30.36,38
24,30.04,35
24,28.94,35
23,29.12,37
23,29.22,37
23,28.78,37
23,28.14,34

20,30.04,38
20,30.48,40
20,30.58,40
21,31.38,40
25,32.6,39
29,34.06,43
28,33.74,43
28,33.68,42
28,32.96,42
26,32.64,39
26,32.7,39
23,32.3,39
22,32.6,39
25,32.56,38

21,30.68,37
20,30.74,37
25,31.3,37
25,31.08,37
27,31.38,40
27,32.28,39
27,31.72,37
26,31.34,38
23,30.68,37
23,30.88,38
23,30.48,39
23,30.38,38
23,30.2,38
22,30.4,38

23,30.8,39
23,32.34,45
24,32.1,43
24,31.18,43
27,32.04,40
27,33.58,41
27,34.28,39
27,34.62,43
27,35.42,43
