min,mean,max
10,16.62,20
12,16.44,20
11,16.48,22
10,15.92,19
9,15.82,22
8,13.84,19
8,13.58,19
8,13.42,19
8,12.52,16
8,12.44,16
8,12.44,16
8,12.42,16
8,12.38,15
8,12.42,16

11,17.32,23
8,15.34,24
8,14.84,23
9,14.32,21
9,13.62,18
7,12.88,18
7,12.66,18
7,12.14,17
7,12.1,17
7,11.96,17
8,11.94,17
8,11.92,17
8,11.9,17
8,11.4,17

12,17.6,23
12,17.2,23
12,16.7,21
11,16.58,21
11,14.66,20
10,13.62,17
11,13.7,17
10,13.02,17
9,12.24,15
9,12.28,15
9,11.98,13
9,12.02,13
9,11.98,13
10,11.92,13

9,16.92,25
12,17.48,26
13,17.8,23
13,17.14,26
11,15.44,20
9,14.98,20
9,14.98,20
11,14.86,20
9,14.7,19
11,14.8,19
11,14.7,19
11,14.82,19
11,14.82,19
11,14.84,19

10,16.32,22
10,16.3,22
11,16.28,22
13,16.72,21
13,16.62,22
12,15.78,20
11,15.54,20
11,14.58,19
11,14.18,18
11,14.08,17
11,14.54,20
12,15.36,20
12,15.36,20
12,15.44,20

9,17.7,26
9,17.26,24
9,16.82,24
11,16.8,23
10,14.94,22
10,13.72,21
8,13.02,21
9,12.34,17
10,11.98,14
10,11.9,14
10,11.92,14
10,11.94,14
10,11.94,14
10,11.98,14

11,16.78,24
11,16.92,24
11,16.84,22
13,16.24,24
9,13.48,20
9,12.34,17
9,12.08,17
9,12.38,17
9,12.44,17
9,12.64,17
9,12.52,17
9,12.46,15
9,12.42,15
9,12.38,15

11,17.26,23
11,16.4,21
10,15.66,21
11,14.94,19
9,15.02,18
11,14.64,18
11,14.48,18
12,14.74,18
12,14.82,17
13,15.04,16
14,15.08,16
14,15.1,16
14,15.12,16
14,15.14,16

11,16.48,22
10,16.5,24
11,16.54,24
9,15.12,22
9,13.76,21
10,13.26,17
10,12.88,18
9,13.4,17
10,13.48,17
10,12.94,17
11,13.04,15
10,13.12,15
10,13.16,15
10,13.18,15

8,16.44,23
11,16.58,22
10,16.66,22
10,16.62,22
9,16.38,22
8,13.76,22
7,12.8,17
6,12.76,18
6,12.08,16
6,11.92,16
6,12.02,16
6,11.92,16
9,10.84,13
9,10.3,13

12,16.54,25
12,16.74,23
12,16.7,22
11,16.44,24
11,15.84,24
10,13.32,18
10,12.82,17
9,12.16,15
9,12.1,15
9,12.04,15
9,12.02,15
9,12.0,15
9,12.04,15
9,12.0,15

12,17.14,26
11,16.9,26
9,16.66,26
11,15.44,22
11,14.74,19
10,15.7,20
11,15.74,20
10,14.66,20
9,12.16,17
8,11.7,15
8,11.84,15
8,11.86,15
8,11.68,15
8,11.6,15

10,17.16,21
9,16.78,21
9,16.4,22
10,16.36,23
11,16.02,20
10,16.38,22
12,16.24,23
12,16.42,23
12,16.06,23
12,16.02,23
12,15.54,21
12,15.06,18
12,14.86,18
11,14.88,18

9,16.4,25
11,16.56,21
9,16.82,22
12,17.14,22
12,16.32,22
12,15.8,19
12,15.66,19
12,15.24,18
12,15.22,18
12,15.16,18
12,15.12,18
12,15.12,18
12,15.12,18
12,15.06,17

10,16.42,22
11,16.92,22
12,17.24,22
10,16.56,21
12,16.04,19
11,16.0,21
13,15.58,19
12,15.2,18
12,15.18,18
12,15.16,18
12,15.2,18
12,15.24,18
12,15.14,18
12,15.1,18

10,17.46,24
11,17.02,23
11,17.16,24
11,15.68,22
11,15.18,21
9,13.18,20
8,12.36,20
8,11.7,16
8,11.8,16
7,11.28,15
7,10.92,14
8,10.94,14
8,10.86,14
8,10.78,14

12,17.24,25
13,16.88,24
11,16.52,23
11,16.26,22
11,16.98,22
11,16.6,22
11,16.08,22
12,16.08,22
12,15.64,21
11,14.28,18
12,13.26,18
11,13.48,18
11,13.52,18
11,13.52,18

10,17.12,27
11,16.7,23
9,16.02,23
10,16.72,21
11,15.24,22
11,14.5,18
11,14.96,20
11,15.14,20
11,15.2,20
11,15.26,20
11,14.78,20
11,14.38,19
11,13.88,17
11,14.0,18

10,16.94,25
10,16.84,24
12,16.6,24
12,16.88,24
11,15.02,21
10,13.4,19
7,12.04,17
7,12.18,15
7,11.8,14
10,12.1,14
10,12.02,14
10,12.04,14
9,12.0,14
10,12.04,14

8,16.74,24
11,17.28,24
11,17.1,24
11,17.32,22
12,17.98,22
11,16.8,22
11,15.12,19
11,14.02,18
10,13.12,16
10,12.52,16
10,12.56,16
10,12.56,16
10,12.56,16
10,12.58,16

11,17.22,25
11,16.68,25
11,15.88,23
12,15.48,22
9,14.74,19
8,14.6,20
8,14.84,20
8,14.5,20
8,13.98,20
10,12.5,16
10,12.6,15
10,12.6,15
10,12.6,15
10,12.66,15

8,17.34,24
12,17.26,22
11,17.62,29
11,17.66,24
11,14.94,22
8,13.04,21
8,12.26,17
8,11.86,15
8,11.5,15
7,11.16,15
7,10.94,15
6,10.48,15
6,9.38,15
8,9.32,14

10,16.98,25
10,17.48,25
11,16.88,25
12,17.1,25
13,15.86,21
10,15.0,19
11,15.22,18
11,14.84,18
11,14.54,18
11,14.12,17
11,14.0,17
10,13.82,17
10,13.56,16
10,13.5,16

9,16.54,26
12,16.98,23
12,16.64,23
12,16.44,23
10,16.32,21
13,15.44,18
12,15.88,19
12,15.56,19
13,15.34,20
13,15.32,20
13,15.32,20
13,15.36,20
13,15.42,20
13,15.32,20

10,16.7,24
11,18.02,25
11,18.02,25
10,17.14,23
10,16.74,23
12,16.52,21
11,15.42,21
11,15.24,21
7,14.2,21
7,14.3,18
7,14.34,18
7,14.24,18
7,14.26,18
7,14.24,18

10,16.48,24
10,15.4,24
10,15.32,22
10,15.18,22
10,13.98,19
9,13.64,17
9,12.88,16
9,12.82,17
8,11.66,16
8,11.36,16
8,11.32,16
8,11.5,15
7,10.66,14
7,10.54,14

9,16.28,23
10,16.0,25
10,15.86,25
9,15.62,25
8,15.48,23
8,15.3,21
12,16.24,22
12,15.82,22
10,14.3,19
9,14.54,19
9,14.56,19
9,13.8,17
11,13.44,16
11,12.7,15

10,17.24,24
10,16.74,23
10,15.82,22
11,14.88,20
11,14.94,19
9,13.76,18
9,13.38,17
9,13.4,17
9,13.0,17
9,12.72,17
9,12.96,17
9,12.48,17
9,12.3,17
9,12.06,17

11,17.22,24
10,17.2,25
10,17.34,25
11,16.2,21
10,14.52,20
9,13.72,19
9,13.4,19
9,13.14,19
9,12.78,19
9,12.44,17
9,12.68,17
9,11.16,14
9,11.18,14
8,10.62,13

12,17.2,25
12,17.98,23
12,18.08,23
12,18.18,23
12,17.68,23
10,15.52,20
10,14.4,19
10,13.3,18
9,12.4,18
9,12.38,18
9,12.34,18
9,12.34,18
9,12.38,18
9,12.24,18

