min,mean,max
226,250.7,268
229,251.68,271
231,251.26,270
233,250.82,269
228,255.18,277
231,248.78,268
231,246.56,272
226,248.38,276
226,248.36,273
226,247.74,273
226,247.4,273
226,247.76,273
226,249.16,275
213,248.58,273
222,247.22,279
222,247.92,276
232,251.72,276
234,251.08,269
230,248.0,266
228,253.24,276
228,254.62,276
236,255.96,276
236,256.8,278
238,256.98,275
238,257.98,275
232,256.4,274
229,254.72,274
224,253.56,274
227,250.98,273
227,249.98,271
228,249.6,276
231,250.68,276
225,246.96,277
226,245.3,262
225,245.72,268
223,244.98,263
225,243.38,263
225,241.88,259
224,242.52,257
224,242.96,257
224,242.76,257
224,243.26,257
225,248.02,278
221,246.02,278
221,247.18,274
228,250.98,272
226,250.94,270
226,245.02,263
227,246.5,268
220,248.26,267
220,247.94,267
220,248.18,270
220,246.5,270
220,246.12,270
220,246.16,267
220,247.08,267
222,250.06,282
231,250.92,282
229,247.16,276
223,247.6,271
222,249.58,271
228,250.38,281
229,247.62,269
225,248.62,269
225,246.28,263
228,245.74,264
226,247.2,271
226,249.48,275
226,248.52,276
225,247.62,282
212,248.78,281
220,250.62,281
220,249.42,274
221,246.42,269
214,245.12,272
217,243.06,270
217,244.18,273
221,244.7,274
221,247.44,277
225,250.82,274
230,250.48,270
230,250.7,270
230,251.1,270
230,250.8,271
228,250.06,276
225,249.88,271
228,251.2,271
233,253.5,276
235,259.34,281
233,255.8,273
233,259.56,275
231,258.42,281
231,257.46,281
231,258.1,278
231,258.42,279
231,255.94,278
231,256.26,278
231,255.16,278
223,247.0,273
228,245.86,265
224,246.22,270
226,246.82,270
228,246.42,270
228,247.72,268
228,247.74,266
228,248.08,266
229,247.56,267
225,247.24,271
225,249.44,273
220,248.08,271
220,248.18,271
220,247.3,271
234,252.7,273
234,254.76,277
226,254.82,278
232,255.88,276
222,251.92,283
231,253.0,284
228,251.72,275
221,249.44,275
229,247.6,270
229,246.04,270
229,244.5,270
222,241.3,267
223,239.7,262
223,240.76,262
222,249.24,268
229,250.56,275
229,251.06,275
222,250.22,275
222,247.72,274
226,246.08,272
224,247.3,266
233,249.92,266
231,249.82,272
229,250.08,276
229,249.06,276
229,246.44,272
229,246.36,272
231,246.88,272
226,252.0,274
226,251.2,274
228,252.74,277
216,248.62,274
231,249.66,265
209,250.5,283
230,255.96,283
231,257.68,279
230,253.62,276
230,255.22,276
231,255.52,276
223,252.44,276
223,252.5,279
223,249.76,271
224,250.28,279
224,248.3,272
224,252.36,276
220,250.88,272
216,249.86,275
220,245.46,277
227,247.96,268
227,250.6,268
227,251.5,268
225,252.32,272
225,250.6,266
225,249.82,265
225,248.76,274
219,246.02,265
224,248.0,280
224,247.28,278
224,246.7,278
233,252.76,278
224,250.92,265
227,251.62,269
238,252.54,265
226,249.8,265
226,248.16,264
225,247.4,264
225,247.56,264
225,245.92,264
225,246.14,268
225,247.08,268
230,250.98,274
223,253.16,282
234,257.66,280
234,256.48,278
232,255.52,274
237,260.94,284
240,260.82,288
235,259.78,284
239,259.88,284
240,259.16,284
242,260.04,284
242,260.96,284
239,261.06,286
239,261.72,286
234,252.96,275
238,252.1,272
228,252.9,285
228,251.42,285
232,249.24,280
228,251.16,278
232,251.64,278
230,251.38,276
230,250.56,272
234,252.12,272
229,254.12,272
229,255.02,272
228,253.72,271
228,252.48,271
220,250.08,273
227,249.72,278
227,251.16,280
232,253.98,271
237,253.7,272
236,255.88,277
235,255.86,284
236,256.52,282
236,257.66,290
236,256.5,290
237,257.04,290
237,255.16,276
233,252.24,272
229,250.76,272
223,248.76,265
225,247.5,277
219,247.26,270
224,245.3,265
229,245.1,266
223,250.44,269
231,253.48,273
228,251.08,273
222,251.5,273
220,248.76,271
220,245.76,270
220,245.72,269
220,243.6,269
220,242.38,262
228,251.82,276
224,249.08,280
224,252.32,284
224,252.2,274
223,249.46,277
230,249.38,272
226,247.16,274
228,249.36,275
228,249.64,274
228,251.26,274
228,251.54,274
228,250.9,274
228,250.5,274
235,253.08,274
226,251.24,280
226,250.44,267
223,248.46,265
223,249.42,275
217,248.38,272
228,255.66,285
228,250.88,276
226,249.86,274
226,249.58,274
226,251.16,273
226,252.28,273
226,254.4,278
226,255.48,278
232,255.26,278
225,245.58,270
212,244.54,266
217,247.84,271
231,251.98,271
234,250.34,271
237,250.02,266
230,248.2,264
230,249.94,270
230,247.94,264
230,248.68,269
230,249.6,271
221,249.64,268
221,249.08,268
221,249.26,270
224,249.78,267
225,248.98,270
227,251.56,273
233,252.78,273
231,254.12,274
228,250.92,280
228,247.68,272
224,245.38,275
224,246.4,275
229,247.6,275
229,248.0,275
229,247.14,275
229,248.88,277
229,247.54,277
216,249.66,272
227,248.62,265
222,247.5,270
233,251.66,270
222,253.32,277
222,254.64,275
230,258.24,282
230,256.38,282
233,254.82,282
233,254.86,282
232,255.14,282
232,255.12,282
231,254.94,282
231,254.52,282
224,249.02,277
224,251.44,274
235,251.8,270
228,250.78,274
222,249.58,275
226,255.22,278
226,256.72,282
238,257.68,282
238,259.26,282
238,260.32,282
238,260.36,282
230,257.92,280
230,256.96,280
221,256.78,280
223,246.78,269
220,245.62,265
220,244.8,270
223,242.72,270
222,243.6,271
223,241.38,264
223,239.98,264
215,241.52,264
215,241.02,264
225,241.38,264
225,241.18,260
225,241.44,261
225,241.58,261
227,241.92,261
225,251.16,272
227,250.68,272
227,252.7,276
227,247.16,272
227,247.64,271
227,249.06,273
226,251.56,272
225,253.22,279
227,249.62,280
227,249.46,279
219,247.46,267
219,248.64,281
219,247.14,266
219,247.74,271
235,254.7,277
226,251.12,273
226,252.56,271
227,252.4,269
223,248.72,270
222,250.02,284
222,248.2,261
223,248.68,271
223,247.94,266
217,247.84,266
217,247.5,266
217,247.14,263
217,245.48,263
217,245.86,263
226,251.08,279
231,251.5,285
227,249.56,279
232,248.44,267
232,249.8,268
232,252.72,274
237,255.48,271
232,255.0,276
233,255.44,271
233,256.3,271
233,251.48,271
233,248.82,271
233,249.14,264
233,249.1,273
220,250.92,271
230,251.36,277
227,248.1,271
227,246.46,267
224,247.78,272
221,241.36,271
215,239.78,264
220,239.12,260
215,239.74,264
215,238.98,260
215,240.66,260
215,239.6,267
215,237.64,267
215,239.3,267
232,251.12,275
230,249.16,270
223,247.34,276
225,248.36,275
224,248.14,267
215,247.5,275
218,247.32,275
231,249.08,274
222,247.24,269
222,247.56,271
222,246.44,265
224,246.02,265
224,245.36,265
217,245.78,265
227,251.46,290
230,255.46,293
231,253.96,293
231,252.34,280
224,251.92,270
226,249.58,274
226,247.28,274
226,248.0,274
225,246.82,274
225,246.36,264
225,245.62,264
225,247.1,267
227,246.76,269
231,246.68,269

