min,mean,max
6,11.0,15
6,11.16,17
5,11.46,16
5,10.64,15
6,10.58,15
8,10.78,14
8,10.16,12
9,10.74,12
8,10.24,12
7,8.92,10
8,8.02,9
8,8.0,8
8,8.0,8
8,8.0,8

8,10.82,15
6,10.72,15
7,10.96,15
4,9.86,19
4,10.12,15
5,11.7,14
6,11.5,15
8,11.9,14
9,10.88,13
9,9.0,9
9,9.0,9
9,9.0,9
9,9.0,9
9,9.0,9

7,11.1,17
8,11.24,17
8,11.4,15
8,11.34,15
7,11.12,16
6,9.32,13
6,9.46,11
6,9.66,11
6,9.34,11
6,8.34,11
6,6.0,6
6,6.0,6
6,6.0,6
6,6.0,6

7,11.28,17
8,11.8,17
7,12.16,17
7,11.54,17
7,10.74,13
7,9.18,11
8,9.44,10
8,8.48,10
8,8.0,8
8,8.0,8
8,8.0,8
8,8.0,8
8,8.0,8
8,8.0,8

6,11.06,16
5,11.46,19
5,11.1,19
5,10.02,19
5,10.12,14
4,10.56,13
6,9.28,13
6,7.26,10
7,9.3,11
7,7.96,9
8,8.0,8
8,8.0,8
8,8.0,8
8,8.0,8

6,11.02,15
7,11.3,17
5,10.44,16
6,9.94,14
7,9.82,14
6,10.22,13
6,7.58,11
6,7.36,9
8,8.0,8
8,8.0,8
8,8.0,8
8,8.0,8
8,8.0,8
8,8.0,8

6,10.7,15
5,11.26,17
8,11.28,16
7,11.2,15
6,10.44,15
6,10.24,14
6,9.24,12
9,10.04,11
9,9.98,11
9,9.8,11
9,9.06,10
9,9.06,10
9,9.06,10
9,9.06,10

6,10.92,17
7,11.06,16
6,10.96,16
6,10.98,15
7,11.4,15
8,10.62,14
8,9.74,12
9,10.14,11
10,10.26,11
10,10.28,11
10,10.28,11
10,10.26,11
10,10.26,11
10,10.26,11

7,10.48,15
8,11.18,15
7,11.0,16
7,11.42,17
6,10.92,15
5,11.36,15
8,12.38,14
9,12.18,13
10,12.94,13
10,12.76,13
10,12.64,13
8,11.62,13
8,9.86,10
8,9.86,10

6,11.26,16
6,11.7,16
7,11.48,16
6,11.32,16
6,8.94,14
5,9.3,14
5,8.92,13
5,7.08,10
8,8.0,8
8,8.0,8
8,8.0,8
8,8.0,8
8,8.0,8
8,8.0,8

6,10.96,15
8,11.4,16
8,11.16,16
7,10.96,16
7,10.92,16
5,9.0,11
8,8.16,10
8,8.0,8
8,8.0,8
8,8.0,8
8,8.0,8
8,8.0,8
8,8.0,8
8,8.0,8

5,11.36,16
6,11.1,16
6,10.88,16
6,10.16,15
6,9.26,13
5,8.32,11
8,8.0,8
8,8.0,8
8,8.0,8
8,8.0,8
8,8.0,8
8,8.0,8
8,8.0,8
8,8.0,8

4,10.1,15
6,10.44,17
6,10.56,17
6,10.34,15
5,9.78,15
6,8.96,11
7,8.78,10
8,8.0,8
8,8.0,8
8,8.0,8
8,8.0,8
8,8.0,8
8,8.0,8
8,8.0,8

6,10.52,17
5,10.24,16
5,9.44,14
4,8.7,13
6,9.4,14
6,8.3,11
8,8.0,8
8,8.0,8
8,8.0,8
8,8.0,8
8,8.0,8
8,8.0,8
8,8.0,8
8,8.0,8

5,10.82,16
4,12.02,16
8,12.06,16
8,11.66,16
7,11.56,15
6,11.2,15
8,10.56,14
9,9.0,9
9,9.0,9
9,9.0,9
9,9.0,9
9,9.0,9
9,9.0,9
9,9.0,9

7,11.58,16
9,12.66,19
8,11.9,15
6,10.94,16
6,10.58,14
7,9.64,14
8,9.74,13
9,9.86,12
9,9.0,9
9,9.0,9
9,9.0,9
9,9.0,9
9,9.0,9
9,9.0,9

8,11.46,17
7,11.64,17
7,11.18,16
6,10.28,16
7,9.14,12
6,9.52,13
6,8.34,10
6,8.5,11
8,8.0,8
8,8.0,8
8,8.0,8
8,8.0,8
8,8.0,8
8,8.0,8

5,10.9,18
6,11.4,18
6,11.18,18
7,11.44,15
8,11.28,14
6,10.44,13
6,10.4,13
6,8.52,13
8,8.64,10
8,8.0,8
8,8.0,8
8,8.0,8
8,8.0,8
8,8.0,8

6,11.24,16
8,11.78,17
7,12.02,17
7,11.58,17
7,11.26,15
9,12.42,14
9,12.3,14
9,10.84,13
9,9.0,9
9,9.0,9
9,9.0,9
9,9.0,9
9,9.0,9
9,9.0,9

5,11.02,17
5,11.42,16
4,11.9,18
4,11.2,18
7,10.82,14
6,8.26,13
6,8.8,14
6,6.64,10
7,9.06,10
7,8.96,10
7,8.76,11
10,10.2,11
10,10.24,11
10,10.18,11

5,11.12,15
5,11.06,15
5,10.82,15
5,10.64,15
6,10.86,14
6,11.48,15
6,11.66,14
5,11.86,14
8,12.5,14
8,11.32,14
9,11.42,12
9,11.4,12
9,11.32,12
9,11.14,12

5,11.44,16
8,11.88,16
8,12.02,16
7,12.0,17
6,10.48,14
6,9.36,13
6,8.1,11
6,7.26,11
6,6.88,9
8,8.0,8
8,8.0,8
8,8.0,8
8,8.0,8
8,8.0,8

6,11.08,15
6,11.4,18
5,10.46,15
