min,mean,max
6,10.66,15
6,11.62,15
8,11.6,15
7,10.56,15
8,10.32,13
7,9.38,13
7,9.24,12
6,9.08,11
6,9.14,11
6,9.06,11
6,9.06,11
6,9.16,11
6,9.22,11
6,9.22,11

7,11.04,16
7,12.16,16
8,12.48,16
8,11.92,17
8,11.64,15
8,11.44,15
8,11.58,15
8,11.5,15
8,11.64,15
8,11.48,15
8,11.74,15
8,11.8,15
8,11.96,16
8,12.44,16

7,10.94,15
7,10.6,15
7,10.16,14
8,10.64,14
8,11.06,14
9,11.1,13
9,11.12,13
9,11.16,13
9,11.22,13
9,11.2,13
9,11.22,13
9,11.2,13
9,11.18,13
9,11.06,13

7,11.38,16
8,12.54,16
7,12.9,16
7,12.38,16
8,10.96,16
7,10.06,13
7,10.08,13
7,10.1,13
7,10.14,13
7,10.16,13
7,10.2,13
7,10.26,13
7,10.2,13
7,10.14,13

6,11.04,16
7,11.64,16
8,12.16,17
7,10.98,15
7,10.72,15
7,11.02,15
6,10.34,15
6,7.82,10
7,7.9,10
7,8.0,10
7,7.96,10
6,7.9,10
7,8.0,10
7,8.0,10

4,10.82,16
5,11.42,17
7,11.7,17
8,11.76,17
7,10.8,17
7,10.14,14
6,9.08,13
6,8.68,10
6,8.66,10
6,8.62,10
6,8.64,10
6,8.62,10
6,8.54,10
6,8.62,10

7,11.06,16
7,11.84,18
4,12.34,18
7,12.62,18
7,12.52,16
9,11.58,13
8,9.0,11
8,9.02,11
8,8.98,11
8,8.98,11
8,8.94,11
7,9.0,11
6,8.96,11
6,8.94,11

4,11.02,15
6,11.06,16
7,11.54,16
8,12.04,18
7,11.7,16
6,11.22,14
6,11.1,14
6,11.14,14
6,11.1,14
6,11.08,14
6,11.08,14
7,11.16,14
7,11.12,14
7,11.1,14

8,11.14,18
6,11.1,15
6,11.2,17
6,10.8,16
7,10.56,15
7,10.4,13
9,12.02,14
9,12.02,14
9,11.48,14
8,9.52,10
8,9.56,10
8,9.52,10
8,9.5,10
8,9.56,10

6,11.02,16
6,12.06,18
6,12.4,15
6,12.08,16
6,11.66,15
6,11.38,15
6,9.66,12
6,9.8,12
6,9.88,12
6,9.88,12
6,9.98,12
6,9.86,12
6,9.66,12
6,9.72,12

7,10.72,15
5,10.4,14
6,10.96,14
8,10.92,15
7,10.48,14
8,10.42,13
8,10.44,13
8,10.4,13
8,10.48,13
8,10.4,13
8,10.46,13
8,10.44,13
8,10.38,13
8,10.5,13

3,10.68,18
5,11.26,17
8,11.6,16
9,12.04,16
8,11.88,16
8,11.86,16
8,11.68,15
7,11.3,15
7,11.48,17
7,11.52,17
7,11.6,17
7,11.66,17
8,12.18,17
8,12.2,17

5,10.78,16
6,10.5,14
6,10.46,14
6,10.38,15
8,11.68,15
9,10.9,13
9,10.9,13
9,10.86,13
9,10.92,13
9,10.9,13
9,10.82,13
9,10.82,13
9,10.76,13
9,10.72,13

4,11.38,16
7,12.42,17
9,13.16,16
9,12.88,16
9,11.66,16
9,10.36,13
9,10.36,13
9,10.38,13
9,10.28,13
9,10.4,13
9,10.42,13
8,10.42,14
8,10.48,14
8,10.4,14

7,11.22,17
9,12.1,18
8,12.0,17
7,11.22,16
7,10.76,15
7,10.66,15
6,9.46,14
6,7.58,10
6,7.7,10
6,7.64,10
6,7.6,10
6,7.58,10
6,7.54,10
6,7.6,10

5,10.92,16
7,11.74,17
7,11.68,17
8,10.96,15
8,10.44,14
7,9.92,13
7,10.0,13
7,9.98,13
5,7.44,12
5,7.34,10
5,7.38,10
5,7.5,10
5,7.5,10
5,7.54,10

5,11.0,15
8,11.62,17
8,12.06,16
8,12.44,18
6,11.04,17
6,7.96,10
6,7.94,10
6,7.9,10
6,7.88,10
6,7.9,10
6,7.94,10
6,7.96,10
6,7.96,10
6,7.92,10

6,11.06,16
5,11.0,18
5,10.92,16
5,10.22,14
7,10.64,14
7,10.86,15
7,10.7,15
7,10.74,15
7,10.7,15
7,10.7,15
7,10.64,15
7,11.06,15
7,11.12,14
7,11.18,14

5,10.62,16
5,11.34,18
5,11.5,18
7,10.78,14
7,11.22,14
7,11.92,16
7,12.42,16
7,12.36,16
7,12.54,16
7,12.52,16
7,12.5,16
7,12.52,16
7,12.48,15
