min,mean,max
64,74.12,89
59,73.06,89
63,72.1,84
61,69.12,80
58,67.24,78
57,67.16,87
57,68.9,81
59,69.64,79
61,69.86,79
60,69.64,77
58,68.48,79
55,66.92,76
55,67.06,76
55,67.28,78

59,72.88,89
54,73.64,84
58,73.92,87
61,74.74,87
55,71.06,84
59,69.72,86
59,70.18,86
59,72.48,88
62,72.32,88
60,70.22,88
60,70.46,84
60,71.22,84
60,71.1,84
62,70.64,84

60,74.22,88
63,74.86,92
60,72.28,83
60,72.36,87
62,72.16,86
63,73.78,81
66,74.46,82
63,74.42,82
64,73.2,82
58,72.96,82
58,73.2,85
58,72.06,81
58,71.52,85
60,72.0,85

59,73.64,91
53,72.84,91
50,71.84,88
64,75.28,92
65,74.5,82
58,72.84,87
58,70.8,80
58,70.0,79
57,69.76,82
52,68.26,77
52,67.3,79
52,66.78,77
56,66.2,74
58,66.6,75

60,73.7,89
60,74.04,89
58,73.44,89
62,75.78,89
56,73.7,85
59,69.88,79
53,69.14,78
60,70.38,80
59,70.16,80
59,71.1,81
59,70.1,80
59,69.12,80
60,68.5,77
60,68.64,77

58,74.62,87
61,74.38,87
63,74.38,86
65,74.54,86
62,74.0,88
60,70.42,88
59,71.56,82
58,69.76,81
55,68.02,81
55,66.52,76
52,65.82,76
52,66.5,78
52,66.58,79
52,64.8,76

58,71.56,88
61,74.18,92
59,73.26,92
59,76.46,91
63,77.74,91
65,77.76,90
70,79.94,90
68,79.88,93
68,79.08,92
68,78.48,92
68,78.12,92
68,77.32,92
67,76.8,87
67,76.28,87

62,72.26,84
62,72.24,84
63,72.6,87
58,72.34,86
61,72.84,84
56,70.2,80
53,66.56,80
51,62.82,75
51,61.7,71
53,61.66,71
52,61.6,70
54,61.7,71
54,61.8,71
54,61.66,71

60,72.58,83
60,73.54,89
61,73.54,86
65,74.58,86
64,74.8,86
64,74.52,89
65,74.24,87
63,72.78,90
63,73.3,90
61,72.82,86
63,72.58,84
63,72.4,81
63,72.7,81
63,72.72,81

58,73.12,86
58,71.5,87
60,72.7,85
59,71.72,89
60,70.56,85
61,70.04,82
60,70.08,80
52,68.04,78
56,68.2,84
56,67.92,80
59,67.56,78
59,67.02,77
59,68.02,79
59,67.92,83

55,73.74,89
62,74.96,89
66,76.98,90
64,78.52,92
63,79.38,92
66,78.22,93
65,74.82,88
65,75.32,83
64,75.12,83
62,74.06,83
62,73.88,85
62,72.42,85
61,71.36,85
61,71.28,85

62,73.68,91
62,73.94,91
62,72.54,89
57,73.24,84
57,73.86,87
60,72.34,82
62,71.78,82
58,72.56,82
58,71.96,82
58,71.18,82
58,70.2,82
58,69.8,79
58,70.08,79
58,70.3,81

53,73.74,85
64,74.6,84
66,75.24,85
67,76.18,91
62,76.6,88
62,73.4,86
64,72.92,85
65,71.94,85
65,71.88,85
63,71.12,81
64,71.6,81
60,72.1,82
59,71.78,82
59,71.7,82

63,73.36,87
56,73.14,86
61,73.14,86
61,71.9,85
56,72.82,83
59,74.1,85
65,75.04,87
62,73.5,87
63,73.08,87
59,72.4,83
56,72.06,84
56,71.44,83
56,71.2,83
56,71.12,83

59,73.5,84
60,73.8,90
60,72.88,85
60,72.88,84
59,72.24,85
58,70.26,81
58,68.92,81
53,67.24,81
57,66.42,83
57,65.56,80
57,65.7,80
58,65.5,76
58,65.76,78
58,65.98,78

62,73.5,89
59,72.96,86
58,72.14,88
58,70.56,84
58,70.3,84
55,66.62,84
58,66.54,81
58,66.2,81
55,65.18,81
55,64.18,80
55,63.74,72
52,63.34,73
52,63.32,73
52,63.96,73

65,74.46,84
66,76.24,90
66,75.6,90
61,74.48,86
61,73.78,85
53,69.28,85
53,67.12,85
57,67.84,82
61,68.74,82
58,67.88,77
57,67.94,77
57,67.98,77
57,67.46,77
57,68.24,77

59,72.3,86
60,71.98,86
60,70.9,87
60,70.2,82
56,68.84,76
57,67.98,79
56,66.74,75
57,67.14,77
57,67.54,78
57,67.52,79
57,67.38,79
57,66.68,80
56,66.34,80
56,66.06,80

62,73.48,85
60,73.52,85
60,72.48,83
60,72.98,86
52,74.88,93
66,76.74,91
67,75.98,86
67,76.22,86
65,76.1,86
66,75.96,85
66,74.4,83
64,75.48,84
66,75.36,83
67,75.26,83

61,73.4,84
61,71.94,83
61,72.68,86
61,73.36,84
56,74.04,88
58,71.68,82
62,71.9,80
59,72.54,86
57,71.88,80
55,70.46,83
54,70.42,85
54,70.94,83
55,71.88,83
55,72.78,83

62,72.36,86
62,74.2,88
62,74.56,88
64,75.46,95
61,70.98,80
60,70.26,84
60,73.78,87
64,73.16,87
61,72.22,85
62,71.78,82
61,71.98,84
63,72.34,84
61,72.18,84
61,71.54,84

54,73.7,85
61,73.5,85
