min,mean,max
4,9.3,15
3,9.0,12
3,9.72,14
7,10.62,14
7,11.44,14
8,11.34,14
7,8.9,11
7,8.9,11
7,8.8,11
7,8.74,10
5,8.42,10
4,7.54,10
3,4.9,6
3,4.88,6

6,9.54,13
5,10.28,14
5,9.78,16
8,11.66,16
7,11.5,14
7,11.38,14
7,11.4,14
7,11.5,14
11,12.58,14
11,12.6,14
11,12.6,14
11,12.66,14
11,12.62,14
11,12.56,14

4,9.3,14
4,9.72,14
6,9.6,14
6,8.74,11
5,7.2,12
5,7.24,9
5,6.46,9
5,5.72,7
5,5.72,7
5,5.74,7
5,5.72,7
5,5.66,7
5,5.66,7
5,5.64,7

5,9.3,14
5,9.06,13
5,8.52,13
5,7.5,10
3,6.16,11
4,5.7,8
3,6.3,8
4,5.94,8
4,5.46,7
4,5.44,7
4,5.52,7
4,5.54,7
4,5.58,7
4,5.62,7

3,9.4,14
8,10.42,15
8,10.22,13
8,10.2,15
7,9.54,14
6,7.52,9
6,6.94,8
6,6.86,8
6,6.88,8
6,6.88,8
6,6.86,8
6,6.88,8
6,6.9,8
6,6.9,8

4,9.06,15
6,9.56,14
6,10.16,14
6,10.3,14
6,9.56,12
7,8.52,10
7,8.44,10
7,8.36,10
7,8.34,10
7,8.34,10
7,8.3,10
7,8.34,10
7,8.36,10
7,8.34,10

5,9.72,15
7,10.2,15
7,10.12,16
7,10.32,15
7,10.38,14
7,9.14,11
7,9.14,11
7,9.18,11
7,9.3,11
7,8.26,9
7,8.34,9
7,8.32,9
7,8.36,9
7,8.3,9

4,9.64,15
7,10.78,15
8,11.2,15
8,11.4,14
7,9.0,12
6,8.94,12
6,8.98,12
6,8.78,11
7,8.54,10
7,8.66,10
7,8.62,10
7,8.54,10
7,8.54,10
7,8.44,10

4,9.56,14
8,10.6,15
7,10.26,14
7,10.04,13
7,10.06,13
9,10.14,11
9,10.04,11
9,10.02,11
9,10.06,11
9,10.02,11
9,10.04,11
9,10.04,11
9,10.02,11
9,10.02,11

4,8.94,15
6,9.96,15
7,10.22,13
8,10.8,13
10,11.18,13
10,11.24,13
10,11.22,13
10,11.28,13
10,11.28,13
10,11.36,14
10,11.4,14
10,11.46,14
10,11.52,14
10,11.48,14

6,9.68,14
6,9.64,14
7,10.26,15
6,10.52,15
7,11.48,14
6,8.62,11
6,8.66,11
6,8.66,11
6,8.64,11
6,8.6,11
6,8.68,11
6,8.64,11
6,8.74,11
6,8.82,11

3,9.44,14
5,9.7,15
5,10.04,14
5,11.08,15
9,11.28,14
9,11.44,14
11,12.52,15
11,12.5,14
11,12.46,14
11,12.38,14
10,12.44,14
10,12.2,14
10,12.2,14
10,12.16,14

4,9.64,15
7,10.6,15
6,9.12,14
6,8.18,11
5,8.04,11
5,5.96,8
5,6.04,8
5,5.98,8
5,5.98,8
5,5.98,8
5,6.02,8
5,6.0,8
5,6.04,8
5,5.96,8

4,9.68,15
6,9.64,13
5,8.86,13
5,7.7,12
3,6.1,9
4,5.32,8
4,5.18,7
4,5.14,7
4,5.22,7
4,5.26,7
4,5.32,7
4,5.32,7
4,5.3,7
4,5.32,7

5,9.24,12
5,9.12,13
6,10.06,13
5,10.04,15
5,10.58,15
6,8.94,15
6,7.42,10
6,7.58,10
6,6.98,8
6,6.98,8
6,6.98,8
6,6.98,8
6,6.92,8
6,6.94,8

6,10.34,15
7,10.8,15
7,10.48,14
7,10.4,13
7,8.68,11
7,8.84,10
7,8.86,10
7,8.78,10
7,8.84,10
7,8.88,10
7,8.84,10
7,8.86,10
7,8.84,10
7,8.82,10

5,8.98,15
6,9.44,15
6,9.6,13
8,10.78,13
8,10.46,13
7,9.36,11
7,9.36,11
7,9.34,11
8,9.22,11
7,8.64,9
7,8.6,9
7,8.58,9
7,8.6,9
7,8.58,9

5,9.96,13
7,10.86,15
6,11.3,16
7,11.32,14
7,11.04,14
8,9.72,12
7,9.78,12
7,9.64,12
7,9.68,12
7,9.64,13
7,9.5,13
7,9.4,11
7,9.38,11
7,9.16,11

6,9.5,13
7,10.76,13
6,10.6,14
8,10.44,14
9,10.04,11
9,9.92,11
9,9.96,11
9,10.4,11
9,10.4,11
9,10.42,11
9,10.42,11
9,10.38,11
9,10.4,11
9,10.36,11

5,9.56,15
7,10.94,15
8,11.08,15
8,11.22,14
9,11.96,14
10,11.8,13
10,11.82,13
10,11.82,13
10,11.76,13
10,11.8,13
10,11.8,13
10,11.72,13
10,11.84,14
10,11.86,14

2,9.12,13
5,8.82,12
6,9.6,12
5,10.16,14
8,11.14,14
7,8.7,11
7,8.68,11
7,8.72,11
7,8.78,11
7,8.68,11
7,8.76,11
7,8.74,11
7,8.6,11
7,8.58,11

5,9.44,14
7,10.64,15
6,10.2,15
9,11.92,16
9,11.86,16
9,12.38,15
10,12.24,15
10,12.22,15
10,12.2,15
10,12.2,15
10,12.22,15
10,12.28,15
10,12.34,15
10,12.38,15

5,9.18,13
7,9.82,13
7,10.34,13
6,8.74,11
5,7.9,11
5,7.08,8
5,7.04,8
5,7.02,8
5,6.98,8
5,6.94,8
5,6.9,8
5,6.96,8
5,6.94,8
5,7.0,8

4,9.32,13
6,9.28,13
6,8.94,13
5,7.84,10
4,6.18,9
4,5.16,7
4,5.5,8
4,5.24,7
4,5.24,7
4,5.28,7
4,5.28,7
4,5.18,7
4,5.2,7
4,5.18,7

4,9.24,14
5,10.48,15
5,11.48,15
6,11.62,15
6,11.78,16
10,12.66,15
9,10.42,12
9,10.36,12
9,10.36,12
9,10.36,12
9,10.36,12
8,10.34,12
8,10.3,12
8,10.3,12

5,10.12,15
6,10.46,14
6,9.78,14
4,9.82,14
7,8.6,11
7,8.24,10
7,8.16,10
7,8.26,10
7,8.22,10
7,8.3,10
7,8.28,10
7,8.24,10
7,8.12,10
7,8.12,10

6,9.88,15
7,10.42,14
6,10.42,14
7,11.1,14
6,9.52,12
6,9.48,11
6,9.54,11
6,9.5,11
6,9.58,11
6,9.44,11
6,9.36,11
7,9.46,11
7,9.4,11
7,9.38,11

5,9.28,14
5,9.12,14
5,9.24,15
7,10.04,13
6,9.3,13
7,8.54,11
7,8.42,10
7,8.44,11
7,8.46,11
7,8.48,11
7,8.5,11
7,8.34,11
7,8.22,11
7,8.24,11

5,9.5,15
6,10.02,13
6,10.46,14
6,10.2,14
7,9.3,12
9,9.7,11
9,9.82,11
9,10.3,11
9,10.32,11
9,10.24,11
9,10.3,11
9,10.36,11
9,10.3,11
9,10.34,11

6,9.52,14
7,10.62,15
7,10.98,16
6,10.84,15
10,12.04,14
10,12.2,14
10,12.28,15
10,12.2,15
10,12.14,14
10,12.1,14
10,12.06,14
9,12.02,14
10,12.12,14
10,12.16,14

