min,mean,max
8,14.62,21
9,15.12,21
10,14.74,19
9,13.86,18
7,13.22,17
8,13.4,17
9,11.94,16
7,11.46,15
7,11.48,15
7,11.44,15
7,11.5,15
7,11.54,15
7,11.52,15
7,11.46,15

8,15.2,21
8,15.8,22
11,15.74,22
12,15.04,20
11,14.92,19
11,15.46,19
11,15.56,19
11,15.36,19
11,15.28,19
11,15.24,19
11,15.12,19
11,14.92,19
11,14.68,19
12,14.28,19

10,14.6,21
10,14.38,21
10,14.2,21
9,13.78,18
8,13.36,17
7,12.34,17
7,12.22,17
7,12.2,17
7,12.18,17
7,12.16,17
7,12.2,17
7,12.16,17
7,12.14,17
7,12.14,17

10,15.0,23
10,15.92,23
12,15.58,22
9,15.84,22
11,15.96,19
10,14.12,17
10,13.38,17
10,12.92,16
10,12.88,16
10,12.88,16
10,12.92,16
10,12.96,16
10,12.92,16
10,12.96,16

6,15.34,21
8,15.34,19
10,14.58,20
8,12.84,19
7,11.6,15
9,12.6,15
9,12.62,15
9,12.62,15
9,12.58,15
9,12.56,15
9,12.66,15
9,12.7,15
9,12.72,15
9,12.7,15

9,14.92,21
9,14.96,21
9,14.34,21
10,13.48,17
8,12.06,15
7,12.32,17
7,12.48,17
8,12.16,17
7,11.06,15
7,10.36,14
7,10.4,14
6,10.14,14
6,10.04,14
6,9.96,14

8,14.88,23
8,14.12,19
8,13.3,19
9,13.36,19
9,12.5,16
9,12.64,16
8,11.84,15
9,11.42,15
9,11.12,13
9,11.1,13
9,11.12,13
9,11.14,13
9,11.24,14
9,11.2,13

9,14.74,21
8,14.82,20
9,15.26,21
9,15.88,21
8,13.92,19
9,14.82,19
9,14.68,19
11,14.72,19
11,14.12,18
11,14.14,18
11,14.14,18
11,14.22,18
11,14.2,18
11,14.24,18

7,14.56,21
10,15.26,21
9,15.04,20
9,13.58,18
9,12.66,17
6,10.62,14
6,10.06,13
6,9.96,13
7,9.84,13
6,9.52,12
7,9.86,12
7,9.56,12
6,7.84,10
6,7.88,10

9,15.04,21
9,16.0,23
12,15.94,20
11,15.74,21
7,13.68,19
7,12.02,16
9,12.22,16
9,12.44,16
9,12.46,16
9,12.52,16
9,12.58,16
9,12.5,16
9,12.54,16
9,12.56,16

7,15.22,23
12,15.08,23
12,14.68,19
10,14.14,19
9,13.38,17
9,12.62,16
10,12.28,16
10,12.36,16
10,12.22,16
10,12.38,16
10,12.3,16
10,12.2,16
10,12.12,15
9,12.16,16

10,14.94,23
12,15.76,23
12,15.94,23
12,15.38,19
10,14.46,19
10,13.64,17
10,14.28,17
10,14.26,17
10,14.28,17
10,14.28,17
10,14.28,17
10,14.26,17
10,14.16,17
12,14.3,17

9,15.0,21
8,14.16,23
8,13.88,20
7,13.5,18
7,12.72,20
9,11.82,16
9,11.62,16
9,11.64,16
9,11.56,16
8,11.46,16
8,11.48,16
8,11.5,16
8,11.54,16
8,11.64,16

8,15.06,22
9,15.52,22
9,15.42,21
9,14.78,20
8,13.58,19
10,12.78,16
10,12.36,15
10,12.34,14
10,12.34,14
10,12.32,14
10,12.38,15
10,12.22,14
10,12.24,14
10,12.14,14

9,14.76,21
9,13.94,18
9,13.72,19
8,13.08,18
8,13.48,18
10,12.78,16
9,12.22,16
9,12.16,16
9,12.22,16
9,12.24,16
9,12.22,16
9,12.2,16
10,12.24,16
10,12.28,16

11,16.0,22
11,16.28,22
11,15.08,22
10,14.9,20
10,13.36,17
7,12.44,16
7,12.38,16
8,12.3,15
7,12.18,14
7,12.32,14
8,12.48,15
8,12.48,15
7,12.28,15
