min,mean,max
6,9.14,14
7,10.64,14
5,10.68,14
6,11.76,14
8,12.16,15
12,13.32,15
12,13.26,15
12,13.36,15
12,13.34,15
12,13.34,15
12,13.4,15
11,13.38,15
11,12.92,15
10,10.86,12

5,9.2,15
7,10.28,15
5,10.98,15
7,10.7,15
6,10.94,15
8,10.86,14
9,9.9,11
9,9.86,11
9,9.84,11
9,9.8,11
9,9.84,11
8,9.74,11
8,9.72,11
8,9.82,11

3,8.86,14
7,10.68,14
7,10.86,14
8,11.52,14
9,12.16,14
9,12.8,15
9,12.68,15
9,12.66,15
9,12.78,15
9,12.68,15
9,12.64,15
9,12.2,15
9,9.32,10
9,9.32,10

4,8.86,14
5,10.08,16
8,10.5,16
9,10.96,14
9,10.98,14
9,10.86,15
9,10.42,11
9,10.42,11
9,10.36,11
9,10.2,11
10,10.0,10
10,10.0,10
10,10.0,10
10,10.0,10

5,8.96,15
8,10.84,15
6,11.32,14
10,11.96,14
7,11.1,15
7,9.18,11
7,9.2,11
7,9.14,11
7,9.16,11
7,9.3,11
7,9.2,11
7,9.2,11
7,9.24,11
7,9.28,11

4,9.02,15
7,10.76,15
7,11.2,15
7,10.98,15
7,9.82,14
7,10.12,14
9,10.46,13
9,10.48,13
9,10.44,13
9,10.4,13
9,10.48,13
9,10.52,13
9,10.56,13
9,10.58,13

4,9.24,15
6,10.14,15
7,10.5,15
6,10.54,15
7,10.04,13
7,10.4,13
7,10.48,13
7,10.5,13
7,10.72,13
7,10.74,13
7,10.64,13
7,10.6,13
7,10.44,13
7,9.66,13

4,9.2,13
4,9.6,13
6,10.38,13
7,11.2,13
7,10.22,11
7,9.9,11
7,9.92,11
7,9.9,11
7,9.8,11
7,9.78,11
7,9.74,11
6,9.76,12
7,9.94,12
7,9.94,12

4,9.92,16
6,11.06,16
6,10.7,15
6,10.62,14
6,10.56,14
6,9.28,11
6,9.24,11
6,8.76,11
8,8.0,8
8,8.0,8
8,8.0,8
8,8.0,8
8,8.0,8
8,8.0,8

4,9.24,14
7,9.56,13
7,10.48,14
7,10.76,14
9,11.48,15
12,13.08,15
12,13.14,15
12,13.26,15
12,13.22,15
12,13.26,15
12,13.3,15
12,13.28,15
12,13.3,15
12,13.26,15

4,8.52,12
6,9.76,15
5,10.46,15
5,10.5,14
6,9.36,13
6,9.28,13
6,6.92,13
8,9.84,14
8,9.88,14
8,9.98,14
8,10.04,14
8,10.08,12
10,10.92,12
11,11.0,11

4,8.92,13
6,9.9,13
6,10.0,13
7,9.92,12
7,9.94,13
6,8.7,10
6,7.54,10
6,6.0,6
6,6.0,6
6,6.0,6
6,6.0,6
6,6.0,6
6,6.0,6
6,6.0,6

4,8.54,13
5,9.96,16
7,11.1,16
7,12.24,16
9,13.38,16
9,13.42,16
9,13.46,16
9,13.22,16
9,13.08,16
9,12.66,16
9,9.24,10
9,9.26,10
9,9.28,10
9,9.26,10

5,8.84,15
5,10.22,15
6,10.84,16
7,10.86,16
7,10.68,16
9,9.8,13
9,9.82,13
9,9.94,13
9,9.9,13
9,9.92,13
9,9.94,13
9,9.86,12
9,9.9,12
10,10.0,10

5,8.66,14
8,11.0,14
8,10.52,14
7,10.26,13
7,9.04,13
7,8.68,11
7,8.62,11
7,8.64,10
7,8.7,11
7,8.66,11
7,8.72,10
7,8.64,10
6,8.56,10
6,8.66,11

5,9.06,13
6,9.3,13
6,9.64,13
8,11.02,14
8,10.44,13
9,10.86,12
9,10.94,12
9,10.9,12
9,10.9,12
9,10.92,12
9,11.0,13
9,10.94,12
9,10.98,12
9,10.92,12

4,8.94,14
8,11.0,14
