min,mean,max
5,9.4,16
5,10.02,16
6,9.32,13
5,8.74,11
5,8.52,11
6,8.08,10
6,8.12,10
6,8.22,10
6,8.14,10
6,8.1,10
6,8.22,10
6,8.36,10
6,8.42,10
6,8.36,10

4,9.04,16
7,10.02,14
7,10.72,14
7,11.38,14
7,11.24,14
7,11.18,15
7,11.28,15
7,11.3,15
7,11.5,15
7,11.4,15
7,11.32,15
7,11.32,15
7,11.26,15
7,11.16,14

5,9.6,14
6,10.12,15
5,10.88,15
6,9.46,14
4,7.2,11
5,7.86,10
6,8.22,10
8,8.74,9
8,8.72,9
8,8.7,9
8,8.7,9
8,8.7,9
8,8.7,9
8,8.68,9

6,9.34,14
6,10.44,15
5,9.76,15
6,9.22,15
7,8.98,13
7,8.52,11
7,8.46,11
7,8.4,11
7,8.44,11
7,8.44,11
7,8.5,11
7,8.46,11
7,8.46,11
7,8.52,11

4,9.34,14
5,9.92,14
5,8.88,14
5,8.8,12
5,8.66,12
4,8.4,12
6,8.46,10
6,8.5,10
6,8.4,10
6,8.48,10
6,8.4,10
6,8.38,10
6,8.32,10
6,8.4,10

5,9.64,14
6,9.82,15
5,9.42,16
6,9.22,16
6,8.78,13
6,8.84,13
6,8.68,13
6,8.52,13
6,8.68,13
6,8.62,13
6,8.62,13
6,8.62,13
6,8.88,13
6,8.76,13

4,9.14,13
4,9.94,15
5,9.62,15
4,7.82,12
4,7.3,11
4,7.52,11
4,7.32,11
4,7.22,11
4,7.14,11
4,7.12,11
3,7.12,11
3,7.1,11
3,7.04,11
3,6.82,11

4,9.14,14
5,9.74,14
5,8.74,14
5,7.24,11
5,6.76,11
5,7.62,10
5,7.62,10
5,7.72,10
5,7.88,10
5,7.78,10
5,7.88,10
5,7.88,10
5,7.94,10
4,7.7,10

3,9.5,14
3,10.02,14
3,10.48,15
3,8.98,14
3,5.4,9
3,4.98,7
3,5.04,7
3,5.02,7
3,5.06,7
3,5.14,7
3,5.24,7
3,5.16,7
3,5.18,8
3,5.16,8

1,9.88,14
6,9.36,14
5,9.52,14
5,10.08,14
5,9.84,14
4,7.18,13
4,6.14,7
4,6.06,8
4,6.16,8
4,6.18,8
4,6.2,8
4,6.3,8
4,6.3,8
4,6.42,8

4,9.76,15
6,10.1,16
4,8.72,15
4,7.92,12
5,8.0,12
5,7.1,11
5,7.24,11
5,7.28,11
5,7.3,11
5,7.32,11
5,7.26,11
4,7.24,11
4,7.32,11
4,7.26,11

5,9.38,14
3,10.3,13
8,10.78,16
8,10.98,16
6,10.68,15
6,10.86,17
6,11.0,16
6,11.06,16
6,11.36,16
6,10.92,15
6,11.14,15
6,10.98,15
6,10.9,15
6,11.14,15

4,9.16,13
5,9.94,15
2,8.9,13
4,7.9,11
5,8.18,11
8,8.72,9
8,8.72,9
8,8.7,9
8,8.68,9
8,8.66,9
8,8.66,9
8,8.66,9
8,8.66,9
8,8.66,9

5,9.06,15
5,9.18,13
5,9.14,14
5,8.48,11
7,10.12,13
7,8.9,11
7,8.9,11
7,8.92,11
7,9.02,11
7,9.04,11
7,9.02,11
7,9.02,11
7,8.88,11
7,8.9,11

6,9.64,14
4,9.48,14
4,9.08,14
4,8.04,12
5,7.84,12
4,7.0,10
4,7.1,9
4,6.86,9
4,6.96,10
4,6.8,10
4,6.88,10
4,6.86,10
4,6.86,10
4,6.82,10

5,9.2,13
5,9.12,14
5,8.12,11
4,7.86,11
5,9.36,13
5,9.34,12
5,9.36,12
5,9.3,12
5,9.16,12
5,9.14,12
5,9.04,12
5,9.06,12
5,9.2,12
5,9.08,12

5,9.78,14
5,9.48,13
5,9.26,13
4,7.96,11
3,7.96,12
3,8.16,12
3,8.3,12
3,8.28,12
3,8.36,12
3,8.36,12
3,8.08,12
3,8.02,12
3,8.08,12
3,8.12,13

5,9.58,15
5,9.38,13
4,7.7,13
4,7.3,11
5,7.12,10
5,7.28,11
5,7.26,11
5,7.24,11
5,7.3,11
5,7.32,11
5,7.28,11
5,7.3,11
5,7.3,11
5,7.2,11

5,9.68,16
8,11.46,16
8,11.64,16
8,11.58,15
6,11.9,15
5,10.46,15
4,5.4,8
3,5.4,8
3,5.36,8
3,5.34,7
3,5.3,7
3,5.36,7
3,5.32,7
3,5.34,7

3,9.22,15
5,9.2,15
5,8.84,12
6,9.22,13
4,7.92,14
4,5.78,9
4,5.82,9
4,5.96,9
4,5.94,9
4,5.9,9
4,5.92,9
4,5.98,9
4,5.96,9
4,5.84,9

5,9.68,15
5,9.74,16
5,8.0,12
4,8.26,13
6,8.32,12
5,7.22,11
5,7.28,11
5,7.32,11
5,7.22,11
5,7.44,11
5,7.4,11
5,7.42,11
5,7.4,11
5,7.52,11

4,9.56,14
5,9.32,16
5,9.3,13
7,10.56,16
7,10.44,16
7,10.4,16
7,10.34,16
7,10.26,13
6,10.06,13
6,10.18,14
6,10.3,15
6,10.34,15
6,10.1,14
6,10.24,14

5,9.44,13
4,9.34,14
3,8.24,12
4,7.92,11
4,7.2,10
4,7.42,10
4,7.22,9
4,7.22,9
4,7.32,9
4,7.24,9
4,7.24,9
4,7.34,9
4,7.2,9
4,7.26,9

5,9.22,14
5,10.32,16
5,10.38,15
6,10.24,14
7,10.28,14
8,10.04,11
8,9.98,11
8,10.02,11
8,9.96,11
8,9.84,11
8,9.78,11
8,9.84,11
8,9.84,11
8,9.78,11

4,9.66,14
4,9.52,14
4,8.24,13
4,7.92,11
6,7.78,10
6,7.66,10
6,7.78,10
6,7.84,10
6,7.86,10
6,7.88,10
6,7.94,10
6,7.94,10
6,7.92,10
6,7.96,10

6,9.56,14
5,8.86,13
6,8.76,13
4,8.2,12
5,9.26,12
5,8.96,12
5,8.0,12
3,5.1,6
3,5.02,6
3,5.02,6
3,5.06,6
3,5.08,6
3,5.12,6
3,5.16,6

6,9.62,13
6,10.54,14
7,10.98,15
7,11.0,15
5,8.9,13
2,8.38,13
2,8.44,13
2,8.32,13
2,8.08,13
2,8.02,12
2,7.68,11
2,7.64,11
2,7.58,11
2,7.62,11

5,9.16,13
5,9.62,15
5,8.5,15
2,6.88,10
6,8.02,11
5,8.4,11
5,8.42,11
5,8.42,11
5,8.48,11
5,8.48,11
5,8.5,11
5,8.46,11
5,8.5,11
5,8.5,11

6,9.5,15
4,10.12,15
4,10.2,15
4,10.04,15
4,9.44,15
4,6.66,9
4,5.94,9
4,6.12,9
4,6.08,9
4,6.26,9
4,6.26,9
4,6.16,9
3,6.1,9
3,6.02,9

5,9.84,14
6,9.72,13
6,9.36,12
6,9.32,12
6,9.06,13
5,6.88,9
5,6.94,9
5,6.94,9
5,6.94,9
5,6.92,9
5,6.94,9
5,6.9,9
5,6.98,9
5,6.92,9

