min,mean,max
6,9.58,13
6,10.2,14
7,9.98,14
6,8.7,11
5,7.36,9
6,7.62,10
8,9.08,10
8,9.08,10
8,9.08,10
8,9.08,10
8,9.06,10
8,9.06,10
8,9.1,10
8,9.08,10

4,9.18,13
5,9.88,13
6,10.22,15
6,10.12,14
6,9.96,13
8,9.6,13
6,8.92,13
8,8.58,9
8,8.54,9
8,8.58,9
8,8.56,9
8,8.58,9
8,8.58,9
8,8.6,9

6,9.7,15
5,9.86,14
4,9.06,13
5,8.08,12
5,7.82,10
5,6.54,8
5,6.58,8
5,6.58,8
5,6.6,8
5,6.78,8
5,6.7,8
5,6.72,8
5,6.76,8
5,6.72,8

5,9.66,14
6,9.84,14
6,9.34,14
7,9.32,14
5,7.42,9
5,6.28,8
4,5.04,6
4,5.08,6
4,5.04,6
4,4.98,6
4,5.0,6
4,5.0,6
4,5.0,6
4,5.0,6

5,9.38,12
7,10.06,14
7,9.98,15
6,9.6,13
5,8.46,10
7,9.04,10
6,7.1,8
7,7.42,8
7,7.4,8
7,7.42,8
7,7.44,8
7,7.44,8
7,7.42,8
7,7.4,8

3,9.54,14
5,10.14,14
6,9.9,14
5,9.44,13
5,7.44,11
5,6.1,7
4,5.22,6
4,5.14,6
4,5.16,6
4,5.16,6
4,5.16,6
4,5.16,6
4,5.16,6
4,5.16,6

5,9.68,15
6,10.0,14
5,9.38,14
5,8.44,13
4,6.86,11
6,7.22,8
6,6.92,8
6,6.92,8
6,6.9,8
6,6.98,8
6,6.96,8
6,7.02,8
6,7.02,8
6,7.0,8

6,9.82,15
7,10.44,14
6,10.18,15
7,10.06,14
5,10.14,13
7,10.4,12
11,11.12,12
11,11.12,12
11,11.12,12
11,11.14,12
11,11.16,12
11,11.18,12
11,11.2,12
11,11.18,12

5,9.76,15
5,9.34,14
5,9.02,12
5,8.56,11
3,7.06,9
3,6.26,8
3,5.32,7
6,6.28,7
6,6.26,7
6,6.3,7
6,6.32,7
6,6.3,7
6,6.32,7
6,6.3,7

4,9.64,13
5,9.98,13
7,10.18,14
6,9.4,12
7,8.7,11
7,7.18,8
7,7.16,8
7,7.16,8
7,7.16,8
7,7.18,8
7,7.22,8
7,7.2,8
7,7.18,8
7,7.16,8

4,9.34,14
5,10.0,14
4,8.96,13
5,7.84,11
6,7.8,10
6,8.32,9
8,8.72,10
8,8.72,10
8,8.74,10
8,8.68,10
8,8.7,10
8,8.7,10
8,8.7,10
8,8.7,10

6,9.66,14
4,10.04,15
5,9.92,13
3,10.08,14
6,9.6,12
6,9.22,11
6,7.48,11
6,6.16,7
6,6.18,7
6,6.18,7
6,6.2,7
6,6.2,7
6,6.14,7
6,6.14,7

5,9.68,14
6,9.28,13
6,9.06,14
5,8.06,12
6,7.52,10
5,7.14,8
5,7.12,8
5,7.16,8
6,7.3,8
6,7.26,8
6,7.22,8
6,7.2,8
6,7.24,8
6,7.16,8

5,10.04,15
7,9.44,12
6,8.98,12
6,8.52,12
3,6.66,9
4,6.1,9
4,5.22,6
4,5.14,6
4,5.1,6
4,5.16,6
4,5.12,6
4,5.16,6
4,5.14,6
4,5.14,6

2,9.5,14
7,10.64,15
7,10.22,14
5,8.84,12
5,7.7,10
6,8.24,10
7,7.56,8
7,7.54,8
7,7.58,8
7,7.62,8
7,7.62,8
7,7.64,8
7,7.64,8
7,7.68,8

2,9.58,15
6,9.68,15
5,8.38,12
4,7.84,11
5,6.36,8
4,5.2,6
4,5.22,6
4,5.16,6
4,5.1,6
4,5.12,6
4,5.08,6
4,5.06,6
4,5.06,6
4,5.08,6

7,10.14,14
6,10.78,14
6,10.66,15
6,10.94,14
6,9.9,14
5,6.76,8
6,6.84,8
6,6.88,8
6,6.76,8
6,6.74,8
6,6.72,8
6,6.72,8
6,6.74,8
6,6.78,8

4,9.48,13
4,8.8,14
4,9.34,14
5,9.1,13
6,9.4,12
8,10.96,12
11,11.42,12
11,11.4,12
11,11.4,12
11,11.42,12
11,11.38,12
11,11.38,12
11,11.36,12
11,11.36,12

4,9.18,14
4,9.16,14
4,8.74,14
4,6.82,11
5,7.5,10
6,6.76,8
6,6.26,7
6,6.28,7
6,6.3,7
6,6.34,7
6,6.26,7
6,6.24,7
6,6.22,7
6,6.22,7

5,9.8,14
4,9.56,15
4,9.16,14
4,9.2,13
7,8.54,11
8,9.2,10
