min,mean,max
13,20.66,26
17,21.3,27
17,21.52,26
17,22.06,27
17,21.82,28
17,22.26,30
17,21.56,27
16,20.12,25
16,20.1,24
16,19.58,24
14,18.18,22
14,17.78,22
14,17.68,22
15,18.16,23

12,20.44,26
16,21.8,27
16,21.6,27
16,22.86,28
16,23.26,31
19,24.7,30
19,24.56,31
19,24.22,31
20,24.1,28
20,23.86,27
19,24.38,29
20,24.44,28
20,24.28,28
20,23.8,28

11,19.54,27
17,21.66,27
17,21.78,31
17,23.22,30
16,21.5,26
18,22.04,28
17,21.6,26
17,21.58,26
17,21.74,27
17,21.6,27
17,21.28,27
17,21.04,25
17,21.1,25
17,21.6,26

14,20.54,28
14,21.4,30
14,20.86,30
16,21.6,30
16,20.44,28
17,20.04,24
16,20.08,23
14,19.74,23
14,19.58,24
14,19.16,23
14,18.62,22
14,18.68,22
14,18.6,23
11,17.42,22

14,20.42,30
15,21.44,26
15,22.0,29
16,21.58,29
17,21.8,28
15,21.2,28
16,21.52,28
16,20.8,27
16,20.5,24
17,21.4,25
15,20.86,25
15,20.16,25
15,19.86,23
15,20.02,23

11,19.82,27
14,20.72,27
14,21.2,27
14,22.32,30
17,22.9,30
17,21.08,27
16,20.34,28
16,22.14,28
18,23.2,28
18,23.0,28
18,22.96,28
18,22.68,28
18,22.4,27
18,22.32,27

13,20.02,27
17,22.52,28
19,23.16,29
15,22.78,30
16,22.5,28
18,22.22,28
16,21.26,25
18,21.32,25
17,20.66,25
16,19.56,25
16,19.32,24
16,19.42,24
16,19.68,24
17,20.2,26

15,20.96,29
16,21.38,28
16,20.9,26
15,20.66,27
14,19.88,24
18,21.46,25
18,21.5,25
18,21.62,26
16,21.88,26
16,21.26,26
18,21.58,26
18,21.84,26
18,22.4,26
18,22.9,26

14,20.56,27
13,22.34,31
13,21.24,31
13,22.04,32
16,20.68,27
16,19.56,24
13,20.08,24
15,19.76,24
15,18.9,24
15,18.42,23
15,18.28,23
14,18.02,23
14,18.1,24
14,17.64,24

11,20.78,30
14,22.16,31
16,23.0,31
17,23.76,28
16,24.26,30
20,23.12,27
19,22.84,28
17,22.66,28
17,22.34,28
18,22.34,28
20,23.48,28
20,23.88,27
20,23.78,27
18,22.96,27

14,20.58,27
18,22.06,26
17,21.64,27
17,21.14,27
15,21.2,26
14,21.04,28
