min,mean,max
4,9.26,13
4,9.32,13
6,9.9,14
6,9.04,12
6,8.12,10
8,8.5,9
9,9.0,9
9,9.0,9
9,9.0,9
9,9.0,9
9,9.0,9
9,9.0,9
9,9.0,9
9,9.0,9

5,8.9,14
5,9.1,14
5,9.22,14
5,9.26,14
6,7.58,10
6,6.54,8
6,6.5,7
6,6.48,7
6,6.44,7
6,6.52,7
6,6.5,7
6,6.48,7
6,6.5,7
6,6.48,7

4,9.16,17
5,9.32,14
5,8.96,11
5,8.58,12
5,7.08,10
6,6.58,7
6,6.6,7
6,6.6,7
6,6.62,7
6,6.66,7
6,6.66,7
6,6.66,7
6,6.7,7
6,6.7,7

6,9.18,13
6,9.5,13
6,9.84,12
6,8.54,11
6,7.26,11
6,7.46,10
6,7.64,9
6,7.64,9
6,7.74,9
6,7.76,9
6,7.78,9
6,7.94,9
6,7.92,9
6,7.96,9

6,9.28,15
6,10.72,15
6,10.74,14
6,9.36,12
7,8.4,10
7,8.64,10
7,8.68,11
7,8.66,11
7,8.6,11
7,8.48,10
7,8.44,10
7,8.42,10
7,8.38,10
7,8.44,10

2,9.0,13
4,9.28,14
5,9.66,14
6,9.48,11
5,7.8,10
5,7.8,10
7,7.0,7
7,7.0,7
7,7.0,7
7,7.0,7
7,7.0,7
7,7.0,7
7,7.0,7
7,7.0,7

4,9.06,13
4,9.44,15
6,10.18,14
7,9.82,13
6,8.46,11
7,7.76,9
7,7.4,9
7,7.0,7
7,7.0,7
7,7.0,7
7,7.0,7
7,7.0,7
7,7.0,7
7,7.0,7

5,9.06,14
5,9.0,14
5,8.86,13
5,8.24,11
5,7.06,11
5,7.32,9
5,7.44,9
5,7.62,9
5,7.76,10
5,7.66,9
5,7.66,9
5,7.66,9
5,7.6,9
5,7.64,9

3,9.12,13
3,9.26,13
7,11.16,15
6,9.18,13
7,8.84,11
8,8.92,10
8,8.26,10
8,8.3,10
8,8.3,10
8,8.3,10
8,8.32,10
8,8.32,10
8,8.3,10
8,8.32,10

5,9.16,13
5,9.24,13
5,9.74,13
5,9.12,12
4,8.42,11
7,8.4,9
7,7.58,9
7,7.52,9
7,7.56,9
7,7.6,9
7,7.56,9
7,7.6,9
7,7.66,9
7,7.6,9

5,8.84,14
5,9.02,14
6,9.74,14
4,8.8,12
6,8.12,10
8,9.4,10
8,8.54,9
9,9.0,9
9,9.0,9
9,9.0,9
9,9.0,9
9,9.0,9
9,9.0,9
9,9.0,9

4,8.84,13
6,9.62,15
6,9.52,14
5,8.1,11
5,7.64,11
6,6.68,7
