min,mean,max
9,16.86,22
9,16.1,22
11,16.46,22
11,16.14,20
11,16.2,21
11,15.64,20
11,15.56,20
11,15.66,20
11,15.64,20
11,15.54,20
11,15.5,20
11,15.56,20
11,15.56,20
11,15.62,20

8,16.28,22
11,17.28,24
12,16.8,22
12,16.68,22
13,16.88,22
12,17.06,22
12,16.72,22
12,16.56,22
12,16.2,22
10,15.62,22
9,12.22,16
9,11.06,13
9,11.3,13
9,11.38,13

12,16.88,22
12,16.98,22
12,17.76,22
11,16.24,22
11,14.5,21
9,12.82,18
9,11.82,15
9,11.82,15
9,11.8,15
9,11.64,15
9,11.5,15
8,11.3,15
8,11.06,14
8,10.9,13

12,17.84,24
11,17.76,23
11,17.98,23
10,16.3,21
10,16.46,20
11,15.36,20
10,13.6,17
10,13.38,17
10,13.38,17
10,13.38,17
10,13.4,17
10,13.4,17
10,13.48,17
10,13.52,17

10,16.58,24
10,16.82,23
10,17.0,23
12,16.32,23
12,16.26,23
10,13.88,18
10,13.62,17
10,13.5,17
10,13.58,17
10,13.64,18
10,13.7,18
10,13.72,18
10,13.8,18
10,13.76,18

10,16.34,22
12,16.2,22
10,15.54,22
10,14.44,22
9,13.34,17
9,13.68,18
9,13.76,18
9,13.78,18
9,13.8,18
9,13.86,18
9,13.68,18
9,13.68,18
9,13.48,18
9,13.5,18

10,16.64,22
11,17.02,23
11,16.82,23
11,16.88,23
12,15.88,20
11,14.8,19
11,14.6,19
9,13.54,19
9,11.66,14
9,11.7,14
9,11.66,14
9,11.64,14
9,11.64,14
9,11.64,14

11,16.82,22
12,17.1,21
12,17.34,22
12,17.46,22
11,16.34,21
12,15.5,19
11,15.38,22
11,14.66,22
10,13.44,17
10,13.38,16
10,13.28,16
10,13.26,16
10,13.16,16
10,13.16,16

11,16.86,22
11,17.02,22
11,17.06,22
12,17.56,24
9,16.14,24
9,12.34,17
8,12.56,17
7,12.64,16
8,12.46,15
8,12.62,15
8,12.88,15
8,13.08,17
10,13.38,17
10,13.38,17

11,16.98,23
12,17.2,23
10,16.46,22
10,15.98,21
10,14.9,19
8,14.34,18
10,13.94,17
10,13.86,17
10,13.88,17
10,14.02,17
10,13.94,17
10,13.94,17
10,13.88,17
10,13.88,17

10,16.98,22
12,17.92,27
13,17.78,24
11,16.64,22
13,17.0,21
12,16.0,22
12,15.98,22
12,15.98,22
12,15.98,22
12,16.12,22
12,15.9,22
12,15.94,22
12,15.98,22
12,15.8,20

10,16.86,24
13,17.8,22
12,17.82,22
12,17.58,22
12,17.52,23
12,17.86,23
11,17.5,24
7,14.5,24
8,12.08,16
8,10.96,15
8,10.9,15
8,10.96,15
8,10.9,15
8,10.88,15

7,16.58,22
11,17.14,23
12,17.64,22
12,17.14,22
10,14.44,20
9,12.68,17
9,12.38,16
9,12.08,15
9,12.0,15
9,12.14,15
9,12.3,15
9,12.08,15
9,12.04,15
9,11.96,15

7,16.22,25
8,16.66,25
8,15.92,22
8,14.34,20
9,13.34,18
10,13.48,18
10,13.72,18
10,13.76,17
10,13.7,17
10,13.7,17
10,13.7,17
10,13.7,17
10,13.64,17
10,13.62,17

12,17.58,25
12,18.74,25
14,18.68,24
12,17.8,23
12,16.8,23
10,13.58,18
10,13.54,18
10,13.54,18
10,13.66,18
10,13.56,18
10,13.58,18
10,13.64,18
10,13.6,18
10,13.6,18

10,17.44,23
10,17.04,22
10,15.98,22
9,15.24,20
9,14.84,21
9,14.76,21
9,14.62,21
9,14.62,21
9,14.52,21
9,14.66,21
10,14.78,21
10,14.58,21
10,14.58,21
10,14.52,21

9,17.64,24
11,18.48,24
12,19.1,26
