min,mean,max
19,30.56,41
22,29.92,39
21,29.92,40
22,29.64,40
27,31.86,39
24,29.72,36
26,29.4,34
22,28.04,34
22,27.98,34
22,27.56,34
19,27.66,34
19,27.48,33
19,27.4,33
19,27.86,33

23,30.68,40
26,31.78,40
26,32.76,42
26,33.5,46
26,32.86,46
24,32.36,42
23,32.6,39
24,31.08,39
24,29.12,40
23,28.44,34
23,28.0,33
23,28.12,34
24,28.36,34
24,28.44,34

21,31.06,43
22,32.48,43
23,31.14,41
23,30.1,41
24,30.28,38
23,30.46,37
23,30.5,38
23,31.92,37
23,31.82,37
23,31.82,37
23,31.68,37
23,30.86,37
23,30.12,35
24,29.52,34

24,30.08,37
23,30.1,41
23,29.42,36
21,29.74,36
22,28.08,35
24,28.8,34
21,27.5,34
21,26.9,33
20,25.74,32
20,25.38,30
19,25.16,32
19,24.98,31
19,24.88,31
19,25.02,31

22,30.38,41
24,30.86,39
24,31.52,38
24,30.32,36
26,31.8,38
25,30.78,39
25,31.1,36
25,30.78,36
25,30.74,36
22,29.58,36
24,29.02,36
24,29.1,36
24,29.2,36
24,29.36,36

23,30.2,39
23,31.38,40
23,31.84,39
23,31.44,39
18,28.72,36
24,28.96,36
21,28.18,36
21,27.94,36
21,26.86,34
21,26.0,33
20,25.36,32
20,24.6,32
20,25.14,33
20,26.0,34

23,30.5,42
25,31.72,42
26,32.54,41
26,32.4,43
26,32.36,40
24,31.18,36
24,30.36,36
24,29.46,36
20,28.28,36
19,26.44,37
19,26.66,37
19,25.74,31
19,25.7,31
19,25.72,31

21,29.7,36
24,31.2,39
22,31.46,38
26,31.96,40
27,32.66,38
22,33.04,40
22,31.22,38
23,30.42,37
23,30.4,37
23,29.82,37
23,29.26,37
23,28.06,34
22,26.8,33
23,27.14,33

22,29.78,38
20,30.72,37
20,30.4,36
21,29.76,38
23,29.18,36
21,28.38,41
22,27.0,34
19,25.24,32
19,25.26,32
19,25.5,31
20,26.42,34
20,26.36,34
20,26.7,34
20,26.34,34

19,29.34,38
20,30.96,40
20,30.52,39
24,31.44,39
26,32.72,40
28,33.14,37
24,32.48,38
24,32.58,38
24,32.38,39
24,31.98,39
22,31.64,39
22,29.34,38
22,28.68,36
22,28.32,36

21,30.06,40
21,30.2,38
20,29.42,39
23,30.3,39
20,29.18,36
21,27.56,34
21,27.24,37
21,27.36,36
21,26.62,33
21,25.9,33
21,25.8,33
21,25.78,33
21,25.94,33
21,26.0,33

21,29.62,37
21,29.88,37
21,29.68,37
21,29.3,36
21,29.0,35
23,27.74,39
20,27.66,35
20,26.3,33
18,26.88,33
18,27.68,33
18,28.1,35
18,28.7,35
18,28.7,35
18,28.84,35

20,30.54,38
24,30.8,38
25,30.86,38
25,31.44,42
24,31.66,39
25,31.28,38
23,30.86,38
24,30.7,38
25,31.36,41
25,31.18,41
25,31.0,38
24,30.26,38
23,28.4,35
23,28.4,34

25,30.86,39
25,32.22,40
23,31.94,41
24,31.1,38
19,31.02,36
24,31.1,38
23,30.14,39
23,30.06,39
23,29.48,39
23,29.54,39
23,29.22,39
22,28.6,39
20,27.22,34
22,27.32,34

22,29.96,44
26,32.08,44
24,32.02,39
26,31.76,38
27,32.34,42
25,30.68,38
21,29.4,37
22,30.34,37
22,31.12,37
22,30.8,37
22,30.36,37
22,29.9,37
22,29.72,37
22,29.2,37

22,30.06,38
23,30.4,39
23,30.78,39
23,30.64,36
25,30.7,38
23,29.78,36
23,28.56,36
22,27.68,34
22,27.68,36
21,26.7,36
21,26.38,31
21,25.86,31
20,25.24,31
19,24.8,31

21,30.04,42
24,30.34,42
23,31.8,42
22,31.34,40
22,32.86,40
21,31.26,39
21,28.78,36
