min,mean,max
4,10.54,15
7,10.54,15
5,10.46,15
5,10.48,15
5,9.28,14
3,6.16,8
3,5.0,7
3,5.18,7
3,5.08,7
3,5.06,7
3,5.08,7
3,5.02,7
3,5.0,7
3,5.04,7

7,11.12,16
7,11.0,15
7,10.76,15
7,10.1,13
7,9.3,11
4,6.4,8
4,5.66,7
4,5.56,6
4,5.54,6
4,5.48,6
4,5.48,6
4,5.48,6
4,5.5,6
4,5.54,6

5,10.94,16
6,11.34,16
6,12.12,16
6,12.18,16
6,12.38,16
6,12.58,16
6,12.76,16
9,12.96,16
9,13.04,17
9,13.12,17
9,13.22,17
9,13.3,17
9,13.46,17
9,13.42,17

7,10.94,15
6,10.88,15
6,10.64,15
6,11.1,15
6,10.4,15
6,10.58,15
6,10.52,15
6,10.38,15
6,10.46,15
6,10.3,15
6,10.44,15
6,10.38,14
6,10.44,14
6,10.46,14

6,11.2,18
5,10.76,15
8,12.36,16
8,12.12,16
8,12.04,16
10,13.06,16
11,13.22,16
11,13.28,16
11,13.42,16
11,13.32,16
11,13.32,16
11,13.28,16
11,13.2,16
11,13.14,16

7,11.3,18
7,11.06,16
7,10.92,15
6,10.08,15
6,8.58,11
4,7.0,11
5,9.72,11
9,10.08,11
9,10.0,11
9,10.04,11
9,10.06,11
9,10.06,11
9,10.12,11
9,10.1,11

4,10.92,16
9,11.38,15
8,11.38,14
8,11.58,16
8,11.88,16
5,11.32,16
6,10.68,16
6,7.82,10
6,7.86,10
6,7.84,10
6,7.72,10
6,7.78,10
6,7.88,10
6,7.84,10

6,11.16,17
6,12.08,17
6,12.58,18
8,12.86,18
8,12.62,18
8,12.9,18
8,13.14,18
8,12.94,18
8,13.38,18
8,13.22,18
8,13.16,18
8,13.1,18
8,13.34,20
9,13.92,20

6,11.3,15
6,11.66,16
8,11.66,16
8,10.84,14
8,10.84,14
8,10.72,14
8,10.68,14
8,10.68,14
8,10.68,14
7,10.6,14
7,10.68,14
7,10.58,14
7,10.38,14
7,10.36,14

7,10.72,17
7,11.62,17
7,11.6,17
7,11.2,17
5,8.96,13
5,8.5,12
6,7.54,11
6,7.14,8
6,7.14,8
6,7.16,8
6,7.14,8
6,7.16,8
6,7.12,8
6,7.2,8

7,11.48,17
5,11.04,17
7,10.84,17
6,10.26,17
5,7.46,11
4,7.28,11
3,4.84,7
3,4.78,7
3,4.86,7
3,4.9,7
3,4.88,7
3,4.96,7
3,5.0,7
3,5.02,7

5,11.0,16
6,11.3,16
8,10.82,14
8,10.76,14
6,9.08,13
4,7.38,10
4,5.74,7
5,5.7,6
5,5.7,6
5,5.7,6
5,5.7,6
5,5.68,6
5,5.66,6
5,5.68,6

6,11.04,16
6,11.02,16
8,11.84,16
9,11.36,15
8,11.82,17
8,12.0,16
8,12.14,16
8,12.26,16
8,12.24,16
8,12.28,16
8,12.46,16
8,12.54,16
8,12.6,16
8,12.8,16

6,10.86,15
8,11.5,15
6,12.22,18
8,13.1,18
8,11.12,15
8,11.14,15
8,11.12,15
8,11.08,15
8,11.04,15
8,10.9,15
8,11.02,15
8,11.04,15
8,11.12,15
8,11.0,15

5,10.92,17
7,10.82,15
8,11.36,17
8,11.14,17
7,10.78,17
7,10.28,15
6,8.48,15
6,8.48,15
6,8.54,15
6,8.48,15
6,8.48,15
6,8.5,15
6,8.5,15
6,8.44,15

5,11.74,15
5,12.06,16
7,11.7,16
7,10.48,14
6,7.8,10
4,7.2,10
4,7.2,10
4,7.18,10
4,7.22,10
4,7.1,10
4,7.04,10
5,7.06,10
5,6.94,10
4,6.9,10

6,11.18,14
7,11.72,15
8,12.04,15
8,11.74,15
8,11.52,15
8,12.0,17
6,11.46,17
5,7.92,10
5,7.92,10
5,7.96,10
5,8.0,10
5,7.96,10
5,7.9,10
5,8.1,10

7,11.6,16
6,12.36,17
8,12.72,17
7,12.1,19
7,12.3,19
7,12.54,19
7,12.16,18
7,12.12,18
7,11.64,16
7,11.36,15
7,10.88,15
6,10.7,15
6,10.76,15
5,10.8,15

5,11.06,17
7,12.3,17
6,11.98,17
7,11.82,15
6,11.52,15
7,11.52,15
7,11.54,15
7,11.54,15
7,11.4,15
7,11.1,15
7,10.88,15
7,11.0,15
7,11.02,15
7,11.12,15

5,10.86,18
5,11.74,18
5,11.5,18
5,11.54,18
5,11.18,18
5,9.42,14
6,8.1,11
6,8.16,11
6,7.82,11
7,7.72,9
7,7.72,9
7,7.76,9
7,7.78,9
7,7.9,9

7,11.0,16
7,11.12,16
6,11.26,16
6,10.94,16
6,9.12,13
3,5.98,9
3,5.28,7
3,5.3,7
3,5.22,7
3,5.16,7
3,5.22,7
3,5.2,7
4,5.38,7
4,5.4,7

4,9.92,16
7,11.04,16
7,10.78,16
6,9.96,15
5,8.82,12
3,5.62,7
4,5.5,6
4,5.62,6
4,5.6,6
4,5.6,6
4,5.6,6
4,5.58,6
4,5.6,6
4,5.62,6

6,11.6,17
5,10.52,16
8,11.24,16
8,12.06,16
7,11.96,16
7,11.94,16
8,12.3,16
8,12.28,16
9,12.44,16
9,12.54,16
9,12.44,15
9,12.54,15
9,12.64,15
9,12.78,15

5,10.52,17
3,11.12,16
5,11.52,15
6,11.84,16
6,9.6,13
6,9.34,13
6,9.28,13
6,9.24,13
6,9.28,13
6,9.26,13
6,9.14,13
6,9.12,13
6,9.34,13
6,9.26,13

7,11.58,19
6,11.32,16
7,11.66,16
7,12.06,17
7,11.92,17
10,13.06,15
10,13.12,15
10,13.12,15
10,13.02,15
10,13.0,15
10,13.0,15
10,13.1,15
10,13.08,15
10,13.16,15

6,10.86,16
6,10.88,16
6,11.06,16
6,10.06,14
6,8.14,12
5,6.48,9
5,6.44,9
5,6.6,9
5,6.64,9
5,6.64,9
5,6.5,9
5,6.58,9
5,6.52,9
5,6.6,9

5,10.7,16
7,11.28,16
8,12.04,16
8,12.14,16
7,11.98,16
7,11.98,16
5,10.3,16
3,6.9,10
3,7.1,10
3,7.04,10
3,7.0,10
3,6.92,10
3,7.1,10
3,7.28,10

8,11.6,16
8,12.12,16
7,11.64,16
7,11.8,16
7,11.62,16
7,11.7,16
7,11.88,16
7,12.22,19
7,11.64,19
7,9.5,12
9,9.04,11
9,9.04,11
9,9.04,11
9,9.04,11

7,10.84,15
7,11.8,16
7,11.3,16
7,11.08,16
6,10.6,14
6,10.7,15
6,10.74,15
6,10.86,15
6,10.84,15
5,10.76,15
5,10.86,15
6,10.94,15
6,11.16,15
6,10.72,15

7,11.34,16
7,12.28,18
7,12.16,18
7,12.08,18
6,9.64,18
6,7.9,11
5,6.98,11
7,7.74,9
7,7.76,9
7,7.72,9
7,7.7,9
7,7.68,9
7,7.66,9
7,7.7,9

