min,mean,max
135,154.26,170
138,154.76,172
138,154.74,172
138,153.92,172
134,151.06,171
135,146.78,169
132,146.64,169
132,146.54,169
132,146.56,169
132,146.78,169
132,146.62,169
132,146.48,169
135,146.56,169
135,147.16,169

129,153.66,176
129,153.72,182
129,154.38,183
133,155.12,171
133,152.46,167
136,152.4,167
137,151.0,166
132,145.36,164
131,144.54,162
126,142.14,162
126,140.88,155
124,140.7,155
126,140.92,155
126,140.84,155

133,155.66,175
133,156.54,174
133,156.16,174
140,154.82,170
138,150.32,163
126,146.44,163
127,140.24,154
127,140.1,153
127,140.18,158
127,139.3,153
127,139.58,153
121,138.98,153
121,139.82,153
121,139.48,153

143,155.3,172
139,157.38,180
139,155.84,180
140,156.56,180
138,154.16,175
138,154.5,175
137,153.68,175
137,152.14,168
136,150.2,163
136,146.48,158
136,146.56,158
136,146.58,161
137,146.88,161
137,146.82,161

137,156.0,175
138,155.12,170
140,156.6,170
140,156.56,170
140,156.0,170
140,156.16,170
140,154.66,170
137,153.86,170
137,153.74,170
137,153.14,170
134,151.9,170
129,149.18,165
129,149.02,165
129,148.96,165

134,156.28,176
134,157.06,178
134,157.68,178
134,157.44,178
129,153.68,178
131,140.36,158
131,140.3,158
116,140.26,158
116,140.3,158
116,139.04,158
116,138.04,154
116,135.5,154
119,135.58,150
119,135.0,149

136,154.06,177
134,155.48,172
134,156.02,172
137,156.3,174
139,154.88,173
133,146.94,161
133,146.64,161
133,146.78,161
133,146.06,161
133,146.02,161
133,145.96,161
133,146.38,161
134,145.94,161
134,146.24,161

143,154.66,171
140,155.6,177
140,155.92,177
140,155.12,177
132,151.26,175
127,146.74,163
127,146.48,163
127,147.1,163
127,146.58,163
127,146.5,163
122,144.42,163
122,140.86,163
109,136.26,152
109,135.38,152

135,154.72,180
135,154.58,183
139,155.2,183
143,154.1,171
137,152.58,171
139,152.36,165
139,152.1,165
139,151.5,165
139,151.58,165
139,151.2,165
139,151.54,165
139,151.12,165
139,152.54,172
139,152.28,172

136,154.68,175
134,156.3,179
138,156.62,179
131,155.82,175
138,153.5,170
138,153.08,170
138,152.78,170
138,153.46,176
138,152.24,176
135,152.74,176
124,150.5,176
118,134.86,150
116,136.72,150
116,135.88,149

138,155.32,184
138,159.38,184
138,158.8,184
132,156.6,184
132,153.86,174
129,149.14,174
129,146.02,168
129,146.08,161
129,145.68,161
129,145.4,161
129,145.48,161
129,145.86,160
129,146.44,160
129,146.16,160

136,156.5,173
140,157.0,173
139,154.94,173
131,152.02,173
122,147.38,162
122,145.76,173
122,146.28,173
122,146.7,173
121,145.84,173
132,142.66,154
130,142.52,154
125,137.78,151
125,138.16,153
125,138.16,153

132,153.98,171
124,152.98,170
124,152.3,170
125,146.36,163
125,142.88,160
125,139.98,170
126,139.46,162
124,138.4,154
124,138.32,154
124,138.24,154
124,138.6,154
124,137.94,152
124,138.1,154
124,137.54,149

137,154.24,170
138,153.86,171
133,152.4,171
126,151.24,166
138,151.54,166
138,151.06,164
138,151.16,164
139,151.2,164
131,148.8,163
130,141.36,159
130,141.36,159
130,141.44,159
130,141.2,159
130,140.76,159

131,155.68,178
140,157.06,175
142,157.9,177
141,157.2,177
141,157.14,177
141,157.6,177
138,155.76,180
138,156.02,180
138,155.04,180
138,155.52,180
138,155.36,180
138,155.24,180
138,155.22,180
138,155.18,180

134,155.26,169
138,154.58,172
138,154.24,172
128,152.42,169
126,142.76,167
126,142.86,162
126,144.0,162
126,145.08,163
126,145.8,159
131,147.9,161
131,147.88,161
131,147.22,159
131,146.68,159
131,146.82,159

133,153.82,176
125,150.3,174
130,151.38,174
129,150.5,164
129,150.84,163
129,148.2,163
127,142.12,160
127,141.56,160
127,141.68,160
126,140.5,160
126,140.5,160
126,140.44,160
126,140.44,160
119,139.8,160

136,154.58,178
138,158.62,178
141,158.66,176
141,158.46,176
139,156.28,170
139,156.46,170
142,156.56,171
142,157.0,171
142,156.4,171
142,155.84,171
142,155.62,171
142,155.34,171
135,151.34,171
127,143.62,166

132,154.76,183
132,155.6,183
130,152.62,168
130,153.2,175
132,154.4,173
133,150.94,169
133,150.64,169
133,150.98,169
133,150.98,169
130,151.44,169
130,151.86,169
133,153.12,169
133,153.1,166
133,152.14,165

136,153.16,175
138,152.56,173
136,154.08,182
135,153.0,182
130,147.74,171
125,146.8,171
131,141.38,156
124,141.68,158
125,140.16,156
125,139.78,156
125,138.9,153
130,140.22,153
126,138.56,153
126,138.56,153

136,155.26,181
139,156.24,181
139,156.8,181
139,156.88,181
141,156.5,171
141,157.92,176
141,157.8,176
141,155.76,176
136,152.54,169
136,152.54,169
135,151.66,169
135,151.44,169
135,151.12,169
135,151.78,169

134,153.48,179
134,153.4,183
136,156.16,183
138,154.08,183
128,149.96,167
128,149.78,167
136,150.28,169
136,149.6,169
133,149.38,169
134,146.88,162
125,140.78,152
124,140.8,157
123,140.48,157
123,140.48,157

135,154.92,173
134,153.48,171
134,153.04,171
138,151.38,166
134,152.02,165
128,149.24,166
