min,mean,max
2,6.48,11
4,7.68,10
4,7.22,11
5,7.8,11
5,7.98,11
5,7.88,11
5,8.02,11
5,8.06,11
5,8.14,11
5,8.1,11
5,8.0,11
5,8.16,11
6,8.38,12
6,8.36,12

3,6.46,12
4,7.58,12
4,7.28,12
5,7.68,11
5,7.7,11
5,7.68,11
5,7.54,11
5,7.4,11
5,7.5,11
5,7.5,11
5,7.58,11
5,7.66,11
5,7.72,11
4,7.46,11

3,6.36,10
4,7.48,11
4,8.02,11
4,7.2,9
4,7.18,9
4,7.24,9
4,7.34,9
4,7.26,9
4,7.3,9
4,7.42,9
4,7.3,9
5,7.28,9
5,7.22,9
5,7.2,9

2,6.46,10
5,7.86,11
6,8.14,11
5,8.08,11
5,8.54,11
5,8.46,10
5,8.34,10
5,8.18,10
5,8.3,10
5,8.34,10
5,8.32,10
5,8.34,10
5,8.42,10
5,8.24,10

2,6.28,9
4,7.04,10
4,6.74,10
4,6.68,10
4,6.72,10
4,6.94,10
4,7.18,11
4,7.12,11
4,7.02,10
4,7.06,10
4,7.08,10
4,6.94,10
4,6.88,10
4,6.86,10

3,6.44,10
4,7.48,11
5,7.86,11
5,7.84,11
5,7.96,11
5,8.06,11
5,8.12,11
5,8.36,11
5,8.2,11
5,8.18,11
5,8.18,11
5,8.22,12
5,8.1,11
5,8.14,11

2,6.38,10
4,7.38,10
5,7.64,10
5,7.74,10
5,7.66,10
5,7.76,10
5,7.76,10
4,7.6,10
4,7.7,11
5,7.8,11
5,7.94,11
5,7.88,11
5,8.08,11
5,7.98,11

3,6.62,10
6,7.92,12
6,7.88,12
6,7.9,12
6,8.02,12
6,7.96,12
6,8.0,12
6,8.2,11
6,8.28,11
6,8.24,11
6,8.4,11
6,8.38,11
5,8.4,11
5,8.78,12

2,6.3,10
4,8.04,12
5,8.34,12
5,8.34,12
5,8.24,12
5,8.18,12
5,8.06,11
5,8.34,12
5,8.56,12
5,8.44,12
5,8.38,12
5,7.9,10
5,7.92,10
5,8.0,11

1,6.06,9
5,7.3,11
5,7.18,11
4,6.64,10
4,5.98,10
4,5.06,6
4,5.06,6
4,4.98,6
4,4.94,6
4,5.02,6
4,5.0,6
4,5.08,6
4,5.12,6
4,5.06,6

3,6.6,13
3,7.7,13
4,8.38,13
6,9.12,13
6,8.94,12
6,9.06,13
6,9.14,13
6,9.18,13
6,9.32,13
6,9.42,13
7,9.36,12
7,9.32,12
7,9.28,12
7,9.2,12

3,6.44,11
3,7.02,10
3,6.76,11
4,6.64,10
4,6.8,10
4,6.74,10
5,6.9,10
4,6.92,10
4,7.08,10
