dataset,best_solution,sfs_solution,no+5fold_solution
Biodegradeable,0.045919861784443426,0.07202964307320023,0.04713312216126322
Breastcancer,0.02863777346535967,0.09339044097664785,0.054860707619328326
Clean2,0.060254204955809784,0.11215682156672954,0.06472533784714846
Climate,0.2529939792008757,0.43319740923189237,0.3194708994708989
German_credit,0.08080366100757515,0.09348220342653031,0.08287984530456731
Hepatitis,0.023577718241965084,0.20743640710972883,0.10826064202652232
Ionosphere,0.09629696668743323,0.22839166317868143,0.12503604051271394
Madelon,0.01777243151268916,0.19231507490391062,0.019800772142712586
Uci_imageseg,0.15842316519267516,0.3056997378503729,0.17262408895802714
Uci_parkinsons,0.04641239986067569,0.07362110431075947,0.01673276276724553
Uci_voice,0.004135009889139279,0.13360406358330573,0.006252206808851329
Urbanland,0.03867251411290802,0.1348598773082842,0.04352277810471392
Wine,0.09686707928087235,0.3151812555260828,0.1876127320954907
