dataset,run,best_solution,best_solution_size,validation_fitness,F1_test,CAC_test,best_test_fitness,best_solution_test_sensitivity,sfs_solution,sfs_validation_fitness,sfs_test_CAC,sfs_test_F1,sfs_size,sfs_test_sensitivity,no+5fold_solution,no+5fold_validation_fitness,no+5fold_test_CAC,no+5fold_test_F1,no+5fold_size,no+5fold_test_sensitivity
Biodegradeable,0,"1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0",17,0.9102549575070822,0.8028443405415936,0.8257575757575758,0.8239217429968875,0.7995505617977527,"1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0",0.8852672750977836,0.8068181818181818,0.7867426942266572,18,0.7907865168539325,"1,0,0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1",0.9067736757624398,0.8371212121212122,0.8192558154345854,20,0.8219261637239166
Biodegradeable,1,"0,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0",23,0.9017078106029948,0.7675721534792143,0.7916666666666666,0.8333306353702954,0.768314606741573,"0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,0,1,0",0.9011316453635105,0.7992424242424242,0.7747839103771308,19,0.7740288924558587,"0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0",0.9011316453635105,0.7954545454545454,0.7711717495987159,19,0.7711717495987159
Biodegradeable,2,"1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0",18,0.90625,0.8415065722952477,0.8560606060606061,0.8406911008067077,0.847255216693419,"1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1",0.90625,0.8560606060606061,0.8415065722952477,19,0.847255216693419,"1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1",0.90625,0.8560606060606061,0.8415065722952477,20,0.847255216693419
Biodegradeable,3,"1,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1",20,0.9033228780231504,0.8041898106179228,0.8295454545454546,0.823756411300171,0.7968860353130016,"1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,1",0.8735632183908046,0.8181818181818182,0.79427235534775,20,0.7910754414125201,"1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1",0.9033228780231504,0.8257575757575758,0.7992063492063493,20,0.7912680577849117
Biodegradeable,4,"1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1",19,0.8858990571625235,0.8192558154345854,0.8371212121212122,0.826735605320869,0.8219261637239166,"1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1",0.8858990571625235,0.8371212121212122,0.8192558154345854,16,0.8219261637239166,"1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1",0.8858990571625235,0.8446969696969697,0.8276625216934419,19,0.8304012841091493
Biodegradeable,5,"1,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1,0",21,0.8870990734141126,0.8611896155110088,0.8787878787878788,0.8360692279522983,0.8533547351524879,"1,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,1,1,1,1,0",0.8870990734141126,0.8787878787878788,0.8611896155110088,21,0.8533547351524879,"1,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,0,1,1,0,0,1,1,1,1,1,1",0.8870990734141126,0.875,0.8572902845348667,23,0.850497592295345
Biodegradeable,6,"1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0",25,0.9102549575070822,0.8671948688926618,0.8787878787878788,0.8436394487041988,0.8754414125200642,"1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0",0.9017078106029948,0.8674242424242424,0.8557849885283513,20,0.8668699839486356,"1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0",0.90625,0.8712121212121212,0.8595744680851064,23,0.8697271268057785
Biodegradeable,7,"1,0,1,1,0,1,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0",17,0.9351319475158484,0.8398467432950192,0.8560606060606061,0.851272393645275,0.8417335473515248,"1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0",0.9305948077555044,0.8522727272727273,0.8360692279522983,17,0.8388764044943819,"1,0,1,1,0,1,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0",0.9314241184492499,0.8409090909090909,0.8265331664580726,17,0.8358266452648475
Biodegradeable,8,"1,0,1,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0",22,0.8931606636989073,0.8482758620689654,0.8636363636363636,0.8444759342111547,0.8502086677367576,"1,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0",0.8799922072861874,0.875,0.8597711140084021,21,0.8587800963081862,"1,0,1,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0",0.8925343971342505,0.8674242424242424,0.851272393645275,24,0.8503049759229534
Biodegradeable,9,"0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1",27,0.8781027592465808,0.8526785714285714,0.8636363636363636,0.8658451375214381,0.8667736757624398,"0,1,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0",0.8536469470182941,0.8674242424242424,0.8550974642056236,18,0.8641091492776887,"0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,1,1,0",0.8735632183908046,0.8598484848484849,0.84824521882331,25,0.8611556982343499
