dataset,best_solution,sfs_solution,no+5fold_solution
Biodegradeable,0.19852597117539297,0.23759690409929843,0.2313945777800593
Breastcancer,0.1913713872334562,0.23215297473918184,0.2627165299579092
Clean2,0.10706495530597421,0.15433601109413675,0.1095871525947069
Climate,0.09410326582740376,0.31184820288268567,0.13491242474001108
German_credit,0.07012277324375209,0.10520679620317645,0.09206204031373921
Hepatitis,0.10196540201077399,0.09663180940857896,0.07989000278473958
Ionosphere,0.1296190836809498,0.284464481503021,0.1818500810285799
Madelon,0.010777369004632881,0.03578950728083761,0.012715243455061519
Uci_imageseg,0.2449949106482681,0.47341375469324526,0.2976507360354909
Uci_parkinsons,0.24994957788061217,0.26352341145444524,0.24003615796719202
Uci_voice,0.006309513436686325,0.18269141427208102,0.009969563010508308
Urbanland,0.05029622428436575,0.15932220550402557,0.060063391291518636
Wine,0.1542351900972591,0.2914913056292365,0.3196993810786917
