dataset,best_solution,union_solution,sfs_intersection_solution,intersection_solution,majority_voting
Biodegradeable,0.0875334558299143,0.19134700625639872,0.11650697893940264,0.1457319695383982,0.10073086860937691
Breastcancer,0.10468918055124952,nan,0.20625066504376857,0.6342145593869746,0.16433914744259556
Clean2,0.07401458928987602,0.20386861556951855,0.17573464207445208,0.18692991630111308,0.09887312598291369
Climate,0.31519795657726685,nan,0.5450556467797829,0.831417624521073,0.4554698047801496
German_credit,0.08438830308309782,0.11655208987026676,0.0919420924581917,0.12240815890440625,0.08973186099040753
Hepatitis,0.17985860244480967,nan,0.32668625586955924,nan,0.28424264684700257
Ionosphere,0.24488289488289497,0.26479269059390775,0.28403299352589406,0.40855329104821936,0.25051245914329073
Sonar,0.1049710723070249,0.2549886478697848,0.11904910420748101,0.12631930382544243,0.10470494086968614
Spect,0.2815941019389297,0.40184604667363255,0.294131711200677,nan,0.30786891907581615
Uci_imageseg,0.3868825800132508,0.4914230979748211,0.43983406792843976,0.8105868118572301,0.462414369256474
Uci_libras,0.12254967985031244,0.24858352343267592,0.10517900967663153,0.11601007860263304,0.13340120638056752
Uci_parkinsons,0.19954885472126863,0.6377464298153962,0.33023784644474324,0.7226750261233039,0.23342215256008347
Uci_voice,0.022921250905569995,0.08662285168706066,0.15510008652596355,0.17748847813691088,0.035121463723242256
Urbanland,0.0961502769380625,0.20829067779636729,0.13292403739816014,0.1402352630082544,0.10278943704675814
Wine,0.11342175066313007,nan,0.22498673740053077,nan,0.45379899793692763
