dataset,best_solution,union_solution,sfs_intersection_solution,intersection_solution,majority_voting
Biodegradeable,0.14207336342387522,nan,0.22968620346990054,nan,0.21267580341339548
Breastcancer,0.2253032854756991,nan,0.32429392446633787,nan,0.3477478077478076
Clean2,0.043901266002510195,nan,0.3317579446163838,0.9940476190476087,0.13508710474759225
Climate,0.09880131362889977,nan,0.5372924648786691,nan,0.39706805327494976
German_credit,0.10891892038748834,0.9836065573770565,0.1734359218446274,nan,0.19442830704165445
Hepatitis,0.17059948722380675,0.8421052631578997,0.057392619479733946,nan,nan
Ionosphere,0.17027039521968534,nan,0.41357695568649033,nan,0.3604547146940658
Madelon,0.011870013654201813,nan,0.12621776410247235,nan,0.05126699264036867
Sonar,0.08858517026453076,nan,0.25372628010559045,nan,0.2246472800393215
Spect,0.3117229768953906,nan,0.5735701846046669,nan,0.3514002089864156
Uci_imageseg,0.34050538222952,nan,0.5660617059891074,nan,0.4205840751303542
Uci_libras,0.03129940959270774,nan,0.09514420848359156,nan,0.1839889025638598
Uci_parkinsons,0.26110936955764585,nan,0.4453848833159182,nan,0.49893217893217845
Uci_voice,0.024219734426382037,nan,0.12545411513962051,nan,0.13156752092633095
Urbanland,0.036386004983462665,nan,0.17507532802203768,nan,0.1685019121733477
Wine,0.357559681697613,nan,0.33921603300913694,nan,0.453115237253168
