dataset,best_solution,union_solution,sfs_intersection_solution,intersection_solution,majority_voting
Biodegradeable,0.1328172387483228,0.22640938042115502,0.10970044545272965,0.09227490742553343,0.13179575384849096
Breastcancer,0.0382754474133784,nan,0.05992551509792884,0.0581377626205213,0.04098878771292563
Clean2,0.08932489804466347,0.06474226208914623,0.14741326413704225,0.13690429811326613,0.08576261057701219
Climate,0.19856230614851292,nan,0.2154752782338984,0.39266922094508316,0.20132822477650072
German_credit,0.049716683967384476,0.06337178670761967,0.04552641826032827,0.04380584106155843,0.04890203215917875
Hepatitis,0.12783793775626823,nan,0.208754837284783,nan,0.1415609425863511
Ionosphere,0.1957574294085452,0.07307246843757997,0.2588550822627901,nan,0.20855758395312196
Sonar,0.05155234164024735,0.08273753939815641,0.03879252282104709,0.03845944642962419,0.0565039009872248
Spect,0.10286062596407435,nan,0.1480547677099401,0.16777910467565643,0.14150868288799326
Uci_imageseg,0.17996269409155063,0.5055474894131868,0.22854137258855933,0.2752415521562529,0.1792988697798135
Uci_libras,0.03771797848559972,0.040783004994724516,0.029665244638301478,0.025092162002211493,0.03819072834099024
Uci_parkinsons,0.06620308172032309,nan,0.11741661276144019,0.15041531903600874,0.05577391318770625
Uci_voice,0.01629773172084459,0.02075837178913061,0.02593135761759307,0.02446102548826072,0.01598596667815267
Urbanland,0.07792050329352901,0.07652429678648992,0.08014389935182419,0.07233667612333111,0.07927428959672374
Wine,0.2447214854111409,nan,0.2071912761567938,nan,0.27317418213969924
