dataset,best_solution,union_solution,sfs_intersection_solution,intersection_solution,majority_voting
Biodegradeable,0.0424750399473675,0.07190714270328881,0.05995559040854279,0.07655592733089113,0.0435263876846092
Breastcancer,0.09344718499890917,0.13834519248312344,0.10307543031680966,0.20809449171518127,0.09692004036831631
Clean2,0.03417038378883659,0.034213439691878546,0.034986515025263766,0.03243438109113644,0.03496509796828332
Climate,0.19037128261266198,nan,0.3397372742200326,nan,0.1953512132822475
German_credit,0.037478076641686224,0.05449499371736446,0.045822727847356,0.0385558654295444,0.03811946363067528
Hepatitis,0.09931471398803521,nan,0.3197966659944883,0.4323351482153635,0.10436791211745831
Ionosphere,0.11078844358256139,0.11219929101774945,0.1635113136431593,0.19678281901405614,0.12729490646833444
Sonar,0.04436823211203262,0.06700210930963979,0.039585611738500816,0.04106336724596477,0.0464568078682228
Spect,0.11873364183709019,nan,0.13172612827785243,0.21326367119470557,0.13680408352822143
Uci_imageseg,0.22915166268160791,0.41878546942067674,0.2463850238623377,0.4663561201855201,0.22145353805970866
Uci_libras,0.03848293928884354,0.04692513767192316,0.04054718110171612,0.03372040535965352,0.03978517376547454
Uci_parkinsons,0.10909240185102251,0.3436522864109067,0.1956447894378929,0.3347186147186149,0.11542435852780693
Uci_voice,0.008452919196759511,0.009498993258067287,0.021164449467979723,0.016534779984102996,0.00954540646789769
Urbanland,0.03737591233676151,0.045642808034376106,0.03974849242628389,0.038878180183438055,0.03777526541604693
Wine,0.09544061302682004,nan,0.150551134689066,nan,0.15207780725022116
