dataset,best_solution,union_solution,sfs_intersection_solution,intersection_solution,majority_voting
Biodegradeable,0.30876079496205394,0.5753303035935503,0.2047971630252966,0.2089052429520653,0.319764601258813
Breastcancer,0.2474930816310128,0.6228927203065141,0.2024802911009808,0.32675820348234114,0.31130060233508516
Clean2,0.10694681098245971,0.10118975811984898,0.13876216725261553,0.1339633261593869,0.10513630138668979
Climate,0.30646323663565006,0.8033844189016628,0.44965334792921074,nan,0.37505473453749294
German_credit,0.15723912067277082,0.2201820217222831,0.15619920266434043,0.1834626700930964,0.1642766000708137
Hepatitis,0.15562757468383612,0.7646803791086908,0.137047359778757,nan,0.18602286367259138
Ionosphere,0.25616211918950266,0.34162718638884915,0.2929515353551863,0.3675256769374413,0.2683190560472506
Madelon,0.1772057983252987,0.30368221004282187,0.1464887450224929,0.15237462741713365,0.18242342432538336
Sonar,0.14895372005859567,0.37611194691635313,0.1406502965778254,nan,0.1523135150640986
Spect,0.20326309067688372,0.6485099766134251,0.22092294040569926,nan,0.24623791278963683
Uci_imageseg,0.2899326381086815,0.5619782214156066,0.37401665082245744,nan,0.27128606958008056
Uci_libras,0.17633562078359405,0.3497945686360972,0.12186289815619528,0.13034713213252588,0.18258774721028262
Uci_parkinsons,0.20274203446617237,0.4874406627854909,0.22913229171849847,0.3259725332139127,0.19418113814665544
Uci_voice,0.16489492926837584,0.2601777008324715,0.14136888655531002,0.14109544796329626,0.17326134861453868
Urbanland,0.18760306732293042,0.23680438518009297,0.17862391606474576,0.15773792427940972,0.1899321210007083
Wine,0.3778455643972887,0.87135278514589,0.2344473916887714,nan,0.3579162982611261
