dataset,run,best_solution,best_solution_size,validation_fitness,F1_test,CAC_test,best_test_fitness,best_solution_test_sensitivity,majority_voting,majority_voting_validation_fitness,majority_voting_test_CAC,majority_voting_test_F1,majority_voting_size,majority_voting_test_sensitivity,sfs_intersection_solution,sfs_intersection_validation_fitness,sfs_intersection_test_CAC,sfs_intersection_test_F1,sfs_intersection_size,sfs_intersection_test_sensitivity,duration,intersection_solution,intersection_validation_fitness,intersection_test_CAC,intersection_test_F1,intersection_size,intersection_test_sensitivity,union_solution,union_validation_fitness,unions_test_CAC,unions_test_F1,union_size,union_test_sensitivity
Biodegradeable,0,"1,0,1,1,0,1,0,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1",29,0.85438499724214,0.7961389961389962,0.8143939393939394,0.8127807107398944,0.8020224719101123,"1,0,1,1,0,1,0,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1",0.85438499724214,0.8143939393939394,0.7961389961389962,29,0.8020224719101123,"1,0,1,1,1,1,0,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0",0.8505942275042445,0.8106060606060606,0.792491982644784,28,0.7991653290529694,0.7851769924163818,"1,0,1,1,0,1,0,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0",0.8468173193030878,0.803030303030303,0.7841916619505753,24,0.7906902086677368,"1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1",0.8505942275042445,0.8333333333333334,0.8164812942366027,34,0.8218298555377207
Biodegradeable,1,"1,0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1",29,0.8581900910010112,0.809831761937539,0.8295454545454546,0.8135473515248797,0.8106902086677368,"1,0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1",0.8536469470182941,0.8295454545454546,0.8087787918296393,29,0.8079293739967898,"1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,1",0.8557849885283513,0.7840909090909091,0.7616535994297933,21,0.7653611556982343,1.3793208599090576,"1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0",0.8063398417380718,0.7727272727272727,0.7533478667081906,14,0.7623113964686998,"1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1",0.8415065722952477,0.8257575757575758,0.8061302681992337,35,0.8078330658105939
Biodegradeable,2,"1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1",20,0.8520913703958637,0.7917813511033849,0.8143939393939394,0.8076891946580331,0.7909791332263243,"1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1",0.8520913703958637,0.8143939393939394,0.7917813511033849,19,0.7909791332263243,"1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1",0.8406911008067077,0.8333333333333334,0.8114163257354374,19,0.8080256821829855,1.1382579803466797,"1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0",0.8323064219017977,0.8333333333333334,0.8091357213276371,14,0.8025040128410914,"1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1",0.8323064219017977,0.8371212121212122,0.818283683629204,32,0.8191653290529695
Biodegradeable,3,"1,0,1,1,1,1,0,1,0,1,1,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1",29,0.8602304578013079,0.7675721534792143,0.7916666666666666,0.8201948206224756,0.768314606741573,"1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1",0.8564481799679959,0.7992424242424242,0.7760240751708793,30,0.7767897271268058,"1,0,1,1,0,1,0,1,0,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1",0.8265331664580726,0.8143939393939394,0.7940356966580158,27,0.7965008025682183,1.1282532215118408,"1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1",0.8505942275042445,0.7878787878787878,0.767591020562158,23,0.7737399678972713,"1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1",0.8452839154193394,0.8295454545454546,0.8118317890235209,37,0.8162118780096308
Biodegradeable,4,"1,0,0,1,0,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1",26,0.8452839154193394,0.7929279185542091,0.8143939393939394,0.8108491091757288,0.7937399678972712,"1,0,0,1,0,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1",0.8452839154193394,0.8143939393939394,0.7929279185542091,26,0.7937399678972712,"1,0,0,1,0,1,0,0,1,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,1,1,1,0",0.7930493859419911,0.803030303030303,0.775803501437157,20,0.7713643659711076,1.5743656158447266,"1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0",0.809831761937539,0.7992424242424242,0.7747839103771308,12,0.7740288924558587,"1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1",0.8369208838203849,0.8295454545454546,0.8108491091757288,37,0.8134510433386838
Biodegradeable,5,"1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1",32,0.8536469470182941,0.8239217429968875,0.8409090909090909,0.8314176245210728,0.8275441412520064,"1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1",0.8536469470182941,0.8409090909090909,0.8239217429968875,32,0.8275441412520064,"0,0,0,1,1,0,0,1,1,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,0",0.8219768845954804,0.803030303030303,0.7841916619505753,24,0.7906902086677368,1.2962846755981445,"0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,1,0",0.8109000311429462,0.7803030303030303,0.7604505632040051,19,0.7680256821829856,"1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1",0.8415065722952477,0.8409090909090909,0.8239217429968875,37,0.8275441412520064
Biodegradeable,6,"1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1",31,0.8581900910010112,0.8164812942366027,0.8333333333333334,0.8239217429968875,0.8218298555377207,"1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1",0.8505942275042445,0.8333333333333334,0.8164812942366027,32,0.8218298555377207,"1,0,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,1,1,1",0.846064139941691,0.7803030303030303,0.7604505632040051,24,0.7680256821829856,1.5373563766479492,"1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0",0.8155370640919775,0.7765151515151515,0.7545347096367504,14,0.7596468699839486,"1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1",0.8437869822485207,0.8333333333333334,0.8114163257354374,37,0.8080256821829855
Biodegradeable,7,"1,0,1,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0",21,0.8640258463267313,0.7545347096367504,0.7765151515151515,0.7687108886107634,0.7596468699839486,"1,0,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0",0.8595744680851064,0.7840909090909091,0.7628555669371996,23,0.7681219903691814,"1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0",0.8595744680851064,0.7878787878787878,0.7687108886107634,23,0.7765008025682183,0.6081383228302002,"1,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0",0.85438499724214,0.7878787878787878,0.7687108886107634,17,0.7765008025682183,"1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,1,0",0.8595744680851064,0.7916666666666666,0.7722960151802656,25,0.7793579454253612
Biodegradeable,8,"1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1",32,0.8490757797116179,0.8155370640919775,0.8333333333333334,0.8276625216934419,0.8190690208667737,"1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1",0.8490757797116179,0.8333333333333334,0.8155370640919775,33,0.8190690208667737,"1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1",0.8415065722952477,0.8257575757575758,0.8061302681992337,31,0.8078330658105939,1.294294834136963,"1,0,1,1,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,1,0,0,1,1,0,1,1,1",0.8265331664580726,0.7803030303030303,0.7568443117576065,24,0.7597431781701445,"1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1",0.8452839154193394,0.8333333333333334,0.8155370640919775,38,0.8190690208667737
Biodegradeable,9,"1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0",22,0.8620099786172488,0.7747724974721941,0.7954545454545454,0.8087787918296393,0.779454253611557,"1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,0,0,1,1,0,0,0,1,0,1,1,0,1,1,0",0.8581900910010112,0.7916666666666666,0.7711764242376487,24,0.7765971107544141,"1,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,1,0",0.8422939068100359,0.8068181818181818,0.7867426942266572,20,0.7907865168539325,1.3793234825134277,"0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0",0.8219768845954804,0.7803030303030303,0.7528409090909091,13,0.7514606741573033,"1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1",0.8422939068100359,0.8295454545454546,0.809831761937539,34,0.8106902086677368
