dataset,run,best_solution,best_solution_size,validation_fitness,F1_test,CAC_test,best_test_fitness,best_solution_test_sensitivity,sfs_solution,sfs_validation_fitness,sfs_test_CAC,sfs_test_F1,sfs_size,sfs_test_sensitivity,no+5fold_solution,no+5fold_validation_fitness,no+5fold_test_CAC,no+5fold_test_F1,no+5fold_size,no+5fold_test_sensitivity
Biodegradeable,0,"1,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1",21,0.8843554443053818,0.7841916619505753,0.803030303030303,0.8050722311396469,0.7906902086677368,"1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0",0.8722667041251112,0.8295454545454546,0.8108491091757288,19,0.8134510433386838,"1,1,0,1,0,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0",0.8799378989132309,0.8143939393939394,0.7951057258256118,22,0.7992616372391653
Biodegradeable,1,"0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1",21,0.9117295842820068,0.7685563997662186,0.7954545454545454,0.818283683629204,0.7656500802568218,"0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0",0.8793475691434876,0.7954545454545454,0.7711717495987159,18,0.7711717495987159,"0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1",0.9077685320459887,0.7954545454545454,0.7698863636363636,22,0.7684109149277689
Biodegradeable,2,"1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,0,1,0",22,0.8920958309752877,0.808139534883721,0.8257575757575758,0.8172775121927665,0.8133547351524879,"1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,1,0",0.8536469470182941,0.821969696969697,0.8044598534394454,20,0.8104975922953451,"1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,0,1,0",0.8920958309752877,0.8257575757575758,0.808139534883721,22,0.8133547351524879
Biodegradeable,3,"0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1",15,0.8977272727272727,0.7967467688829917,0.821969696969697,0.8166666666666667,0.7911717495987158,"0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0",0.8605432920875287,0.8295454545454546,0.8041898106179228,18,0.7968860353130016,"0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0,1,1,0,1",0.8892045454545454,0.7916666666666666,0.7591520559988058,21,0.7517495987158909
Biodegradeable,4,"1,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,1",24,0.8806818181818182,0.8061302681992337,0.8257575757575758,0.8071523851870673,0.8078330658105939,"1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0",0.8285602961231249,0.8143939393939394,0.797136449887873,18,0.8047833065810595,"1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0",0.8667426524464708,0.8068181818181818,0.7867426942266572,19,0.7907865168539325
Biodegradeable,5,"1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0",18,0.9022647158240379,0.8204588053809279,0.8446969696969697,0.8285602961231249,0.8110754414125201,"1,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1",0.8799922072861874,0.8333333333333334,0.8066963988550888,19,0.7969823434991974,"1,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1",0.8943509788541883,0.8446969696969697,0.8192837465564737,19,0.8083146067415731
Biodegradeable,6,"1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1",19,0.9072796934865901,0.7890336857634621,0.803030303030303,0.8399921372057595,0.8044943820224719,"1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0",0.8728731942215089,0.821969696969697,0.8072304130998804,15,0.8187800963081862,"1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0",0.9028029005458533,0.8295454545454546,0.8162555100146933,18,0.830016051364366
Biodegradeable,7,"1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1",17,0.8909991742361685,0.749747219413549,0.7727272727272727,0.8135473515248797,0.7540288924558587,"1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1",0.8813483146067416,0.7765151515151515,0.7580126462317648,19,0.7679293739967897,"1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0",0.8858990571625235,0.7575757575757576,0.7343897377853235,17,0.7398394863563402
Biodegradeable,8,"1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0",17,0.8753399006757308,0.8314176245210728,0.8484848484848485,0.8061302681992337,0.8332584269662922,"1,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0",0.8380681818181819,0.8712121212121212,0.8551136363636365,17,0.8531621187800963,"1,0,1,0,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1",0.8667426524464708,0.8598484848484849,0.8418777822743828,20,0.8390690208667737
Biodegradeable,9,"1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0",18,0.857460458616528,0.7888563049853373,0.8068181818181818,0.8050722311396469,0.7963081861958267,"1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0",0.8199404761904763,0.7992424242424242,0.7845229845229844,14,0.798876404494382,"1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,1,1,1",0.8536469470182941,0.8106060606060606,0.7944565555901589,19,0.8046869983948636
