dataset,best_solution,union_solution,sfs_intersection_solution,intersection_solution,majority_voting
Biodegradeable,0.058617983971527864,0.26354772583115715,0.08825993221565885,0.16859192103725307,0.05756093612018142
Breastcancer,0.03140061726268621,nan,0.0791132366994437,nan,0.05770853667405393
Clean2,0.05827065911671893,0.45273019829729394,0.13033936956656983,nan,0.09157157925718146
Climate,0.2508939974457217,nan,0.46879127896369327,0.8273307790549177,0.30360426929392437
German_credit,0.09172810215868388,nan,0.14654711494059436,nan,0.12531748023338174
Hepatitis,0.03419386589078058,nan,0.09582106607514966,nan,0.051930352701677535
Ionosphere,0.1316369386754783,0.04107449721039983,0.22185104693218288,nan,0.15475845392681092
Madelon,0.02064825573128067,nan,0.6462769240750982,nan,0.03242107780596249
Uci_imageseg,0.17254582817196254,nan,0.28508589481366237,0.4815285339786245,0.2243779467826656
Uci_parkinsons,0.03747018626328972,nan,0.10092816506609605,0.2224834552420745,0.055395747292299055
Uci_voice,0.0018526172012571767,nan,0.11317449811493048,nan,0.005868963303946649
Urbanland,0.039221565813169046,nan,0.17728178292143754,nan,0.06537563679065055
Wine,0.1095549661066904,nan,0.19555850279988232,nan,0.23072207486000595
