dataset,best_solution,union_solution,sfs_intersection_solution,intersection_solution,majority_voting
Biodegradeable,0.1873232915040038,0.4426251999254525,0.23029358736292374,0.4945045189368163,0.20793947701203833
Breastcancer,0.17118333135574523,nan,0.2753511303511305,nan,0.20699070405966968
Clean2,0.0876764982578778,nan,0.16669167439906157,nan,0.15081668285882063
Climate,0.09120780879401569,nan,0.3463592410144133,0.6189910600255443,0.11047710271848202
German_credit,0.06893984160587155,0.17026899183767452,0.15445471229564575,0.26792867162567563,0.0896219181577806
Hepatitis,0.10476267296593965,0.35730706075533614,0.09984271022383572,nan,0.1446002938380434
Ionosphere,0.13252764664529373,nan,0.2624075166062995,0.4324250619788127,0.18817801573379694
Madelon,0.011831548749350582,nan,0.07044101945451603,nan,0.022639951588736683
Uci_imageseg,0.25181238536955425,0.5950453720508158,0.3927799863643778,nan,0.3670294510221914
Uci_parkinsons,0.2763537675606634,0.1336423346768174,0.35412051549982465,nan,0.3639463601532561
Uci_voice,0.006520817090875831,nan,0.13135529851198477,nan,0.018687606996839363
Urbanland,0.04432039205909273,nan,0.15174002431577044,nan,0.07958545194451543
Wine,0.14245505452402019,nan,0.3040170940170943,nan,0.2549778956675507
