dataset,best_solution,sfs_solution,no+5fold_solution
Biodegradeable,0.08774488424178435,0.16971187187019476,0.11556254712844259
Breastcancer,0.04258875224392469,0.14972705455464086,0.053463854153509294
Clean2,0.07929524844576305,0.15096839326221928,0.09045640208107329
Climate,0.28514869549352234,0.46625524539317686,0.3520735267286979
German_credit,0.0780660750354699,0.21826875510175042,0.10999773291536923
Hepatitis,0.15270556659848852,0.2001820643562931,0.2356574386156963
Ionosphere,0.10764955951568525,0.19408083802607118,0.15581372650338154
Madelon,0.008264699362759538,0.22461932519805963,0.01618754704863494
Uci_imageseg,0.17264929565292553,0.30807497671381506,0.2051548891385553
Uci_parkinsons,0.09417947952430697,0.23724237448375338,0.12311655139241337
Uci_voice,0.019052577273038558,0.2303538720537827,0.021559713358419892
Urbanland,0.033601919732996595,0.3419920122943601,0.05480074387499787
Wine,0.08723253757736518,0.2939935160624815,0.19483348069554965
