dataset,run,best_solution,best_solution_size,validation_fitness,F1_test,CAC_test,best_test_fitness,best_solution_test_sensitivity,sfs_solution,sfs_validation_fitness,sfs_test_CAC,sfs_test_F1,sfs_size,sfs_test_sensitivity,no+5fold_solution,no+5fold_validation_fitness,no+5fold_test_CAC,no+5fold_test_F1,no+5fold_size,no+5fold_test_sensitivity
Biodegradeable,0,"1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0",17,0.8999192365380495,0.7979098715303202,0.8257575757575758,0.8016528925619835,0.7885072231139647,"1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0",0.8581454042172109,0.8257575757575758,0.8039772727272727,16,0.8023113964686999,"1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0",0.8918865791930808,0.8106060606060606,0.7831087742359514,18,0.7770786516853933
Biodegradeable,1,"0,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,0,1,1,1,0,1",25,0.8706558662137444,0.828099173553719,0.8522727272727273,0.8706558662137444,0.8167897271268058,"0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0.832353659529431,0.8371212121212122,0.8162363415621205,17,0.8136436597110754,"0,1,1,0,0,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0",0.8659393581994201,0.8333333333333334,0.807936507936508,23,0.7997431781701445
Biodegradeable,2,"1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0",18,0.9074380165289255,0.7744331252053893,0.803030303030303,0.8659393581994201,0.7686035313001605,"1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,1",0.8979410034456676,0.8257575757575758,0.7992063492063493,17,0.7912680577849117,"1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0",0.8986225895316804,0.8181818181818182,0.7917844232665134,17,0.785553772070626
Biodegradeable,3,"0,0,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0",16,0.8760951188986232,0.8028443405415936,0.8257575757575758,0.8390005109525145,0.7995505617977527,"1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0",0.8050722311396469,0.8371212121212122,0.8117006983263391,15,0.8026003210272874,"0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0",0.8651340996168582,0.8787878787878788,0.8594155628037008,17,0.8478330658105939
Biodegradeable,4,"1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1,0,1,1",23,0.8506290354789323,0.8166666666666667,0.8409090909090909,0.8594155628037008,0.8082182985553772,"1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1",0.8104683195592286,0.8371212121212122,0.8128924857015707,17,0.8053611556982343,"1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0",0.8477031860361623,0.8295454545454546,0.8053958425475454,20,0.7996468699839486
Biodegradeable,5,"1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,0",20,0.8714202220923437,0.8385869565217392,0.8636363636363636,0.8457042665108123,0.8226003210272874,"1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0",0.8542762517046562,0.8712121212121212,0.8496381667113374,15,0.8365971107544141,"1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,0",0.8714202220923437,0.8636363636363636,0.8385869565217392,20,0.8226003210272874
Biodegradeable,6,"0,1,0,0,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1",18,0.8945616721027757,0.826735605320869,0.8446969696969697,0.8738112112871059,0.8276404494382023,"0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0",0.8620329239613274,0.8522727272727273,0.8351875270125338,16,0.836115569823435,"0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1",0.8865079365079365,0.8484848484848485,0.8314176245210728,22,0.8332584269662922
Biodegradeable,7,"1,1,1,0,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1",20,0.9183261418220305,0.8028443405415936,0.8257575757575758,0.8659393581994201,0.7995505617977527,"1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0",0.9051476352234125,0.8257575757575758,0.8016723281944083,15,0.7967897271268057,"1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0",0.9142801480615624,0.8409090909090909,0.8199883109292812,22,0.8165008025682183
Biodegradeable,8,"1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0",24,0.8912165614544016,0.8628482368984999,0.8787878787878788,0.840950907758691,0.858876404494382,"1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1",0.8698652645415708,0.875,0.8589720760825577,19,0.8560192616372391,"1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1",0.8872165626026948,0.875,0.8581454042172109,16,0.8532584269662922
Biodegradeable,9,"0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,1,1,0,1,1",22,0.8584829804342,0.8504249291784702,0.8674242424242424,0.8564058611198102,0.8475441412520064,"0,1,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0",0.843838317449885,0.8598484848484849,0.8427736732821478,16,0.8418298555377207,"0,1,0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1",0.8554912335992835,0.8674242424242424,0.8520913703958637,18,0.8530658105939004
