dataset,best_solution,sfs_solution,no+5fold_solution
Biodegradeable,0.021166271770390536,0.0495272802878252,0.03244449839507213
Breastcancer,0.020814281503936684,0.06290225738501606,0.02526370181542596
Clean2,0.021783987330232863,0.025650660894955265,0.023397826778311526
Climate,0.15755792738551364,0.3534437146506112,0.21780970625798207
German_credit,0.03526112785222803,0.03988343843121204,0.041143751170346965
Hepatitis,0.02421355111917725,0.12229145661087565,0.047664995822890584
Ionosphere,0.06385208510969165,0.13999195568161088,0.08728411210155633
Madelon,0.006994108592952351,0.00735030346013522,0.007102394825192624
Uci_imageseg,0.12959573262658555,0.18187993931188148,0.12317926041156528
Uci_parkinsons,0.008508400922194027,0.04182456751422274,0.009539234711648505
Uci_voice,0.0029306893490943326,0.013022744625688322,0.004640311344248974
Urbanland,0.015789066613893822,0.017442352359014764,0.01648409701474812
Wine,0.10632478632478634,0.24501326259946946,0.15337164750957874
