dataset,best_solution,sfs_solution,no+5fold_solution
Biodegradeable,0.10181031732397834,0.10181924904178961,0.11234986624344569
Breastcancer,0.12505316522557916,0.17976041838110804,0.15443172408689654
Clean2,0.041816439837019305,0.04882414954903526,0.04354374215717723
Climate,0.1029885057471264,0.2500401386608283,0.12133004926108382
German_credit,0.043966540397672775,0.06151319144707389,0.048423581217536704
Hepatitis,0.041934529811117796,0.08470976291302965,0.03802254678842706
Ionosphere,0.07581827157892064,0.16274900743460585,0.09678467783437372
Madelon,0.004120762778526136,0.005599174381239769,0.004088166831529356
Uci_imageseg,0.19821594215423616,0.3129387165231079,0.25534597989225954
Uci_parkinsons,0.17963137118309538,0.22250385629695954,0.2290804597701151
Uci_voice,-0.000492459394498413,0.09660646307793833,0.004018830618775213
Urbanland,0.023351451454172886,0.028853458425353976,0.027203897497359436
Wine,0.12450928381962877,0.29250810492189805,0.25574712643678216
