dataset,run,best_solution,best_solution_size,validation_fitness,F1_test,CAC_test,best_test_fitness,best_solution_test_sensitivity,majority_voting,majority_voting_validation_fitness,majority_voting_test_CAC,majority_voting_test_F1,majority_voting_size,majority_voting_test_sensitivity,sfs_intersection_solution,sfs_intersection_validation_fitness,sfs_intersection_test_CAC,sfs_intersection_test_F1,sfs_intersection_size,sfs_intersection_test_sensitivity,duration,intersection_solution,intersection_validation_fitness,intersection_test_CAC,intersection_test_F1,intersection_size,intersection_test_sensitivity,union_solution,union_validation_fitness,unions_test_CAC,unions_test_F1,union_size,union_test_sensitivity
Biodegradeable,0,"1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,1,1,0,0,1,0",23,0.8879017507185786,0.843838317449885,0.8636363636363636,0.8486412108703131,0.8364044943820225,"1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,1,1,0,0,1,0",0.8879017507185786,0.8636363636363636,0.843838317449885,23,0.8364044943820225,"1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0",0.872176308539945,0.8522727272727273,0.832353659529431,19,0.8278330658105939,0.7041599750518799,"1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0",0.8673277941570623,0.8371212121212122,0.815159163070911,14,0.8108828250401284,"1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1",0.8564058611198102,0.8257575757575758,0.7965692843741623,28,0.7857463884430176
Biodegradeable,1,"0,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,1,0",25,0.8534099817089105,0.7862780813600486,0.8181818181818182,0.8447870394564932,0.7745104333868379,"1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,0,1,0",0.8477031860361623,0.8371212121212122,0.8091940499201613,25,0.7970786516853933,"0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,0",0.8399921372057595,0.8257575757575758,0.79375,22,0.7802247191011236,0.9862234592437744,"0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,1,0",0.826487019388761,0.803030303030303,0.7700348432055748,15,0.7603210272873194,"1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1",0.8379750194901057,0.8181818181818182,0.78323640095792,34,0.7689887640449438
Biodegradeable,2,"1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1",24,0.8898071625344353,0.7735006070416836,0.7992424242424242,0.8275411549516591,0.7712680577849117,"1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1",0.8898071625344353,0.7992424242424242,0.7735006070416836,24,0.7712680577849117,"1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1",0.8654891304347826,0.7878787878787878,0.7555555555555555,19,0.748892455858748,0.7751796245574951,"1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0",0.851510967939868,0.7613636363636364,0.7307648725212466,12,0.728892455858748,"1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1",0.8890663080931172,0.7992424242424242,0.7721729219246112,28,0.7685072231139647
Biodegradeable,3,"0,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0",21,0.8534099817089105,0.8129933211900424,0.8409090909090909,0.8506290354789323,0.799935794542536,"0,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0",0.8534099817089105,0.8409090909090909,0.8129933211900424,21,0.799935794542536,"0,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,0",0.8399921372057595,0.8598484848484849,0.8369146005509642,18,0.8252648475120385,0.7121617794036865,"0,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0",0.8247834884662081,0.8295454545454546,0.7975149562816382,14,0.7830818619582665,"0,0,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0",0.8295454545454546,0.8371212121212122,0.8078765210621626,28,0.7943178170144463
Biodegradeable,4,"0,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0",19,0.833512297387125,0.818068745272712,0.8446969696969697,0.8620329239613274,0.8055537720706261,"0,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0",0.833512297387125,0.8446969696969697,0.818068745272712,19,0.8055537720706261,"0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,1,0,0",0.7688464641955809,0.8257575757575758,0.8004600722970752,17,0.7940288924558587,0.9872236251831055,"0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0",0.7914446592150601,0.7992424242424242,0.7679101630533947,8,0.7602247191011235,"0,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0",0.8054140980970248,0.8295454545454546,0.8053958425475454,29,0.7996468699839486
Biodegradeable,5,"1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,1,0,1",19,0.8628482368984999,0.8362282878411911,0.8636363636363636,0.8534099817089105,0.8170786516853932,"1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,1,0,1",0.8628482368984999,0.8636363636363636,0.8362282878411911,19,0.8170786516853932,"1,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0",0.8581454042172109,0.8674242424242424,0.8401798841131195,20,0.8199357945425361,0.8471918106079102,"1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0",0.7992063492063493,0.8295454545454546,0.7913116798707116,13,0.7720385232744784,"1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,0,1",0.8495481559879507,0.8484848484848485,0.8180314309346568,30,0.8001284109149278
Biodegradeable,6,"1,1,0,0,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1,0,1,1,1,0,0,1,0,1,0,0,1,1,0",24,0.8682020901284697,0.8390005109525145,0.8598484848484849,0.8253968253968255,0.8307865168539326,"1,1,0,0,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1,0,1,1,1,0,0,1,0,1,0,0,1,1,0",0.8682020901284697,0.8598484848484849,0.8390005109525145,24,0.8307865168539326,"1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,1,0",0.8642493406538723,0.8598484848484849,0.8390005109525145,25,0.8307865168539326,0.5211179256439209,"1,0,0,0,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0",0.8682020901284697,0.8598484848484849,0.8399921372057595,21,0.8335473515248796,"1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1,0",0.8564058611198102,0.8560606060606061,0.8351626684193231,30,0.8279293739967897
Biodegradeable,7,"1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0",22,0.9057081628677187,0.8333306353702954,0.8522727272727273,0.8620329239613274,0.8305939004815409,"1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0",0.9057081628677187,0.8522727272727273,0.8333306353702954,22,0.8305939004815409,"1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0",0.8931606636989073,0.8257575757575758,0.8039772727272727,21,0.8023113964686999,0.7781763076782227,"1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0",0.8858990571625235,0.8522727272727273,0.8360692279522983,16,0.8388764044943819,"1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1",0.8825138863707538,0.8295454545454546,0.8087787918296393,31,0.8079293739967898
Biodegradeable,8,"1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,0",17,0.8817655547630501,0.8495481559879507,0.8674242424242424,0.8333306353702954,0.8447833065810594,"1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,0",0.8817655547630501,0.8674242424242424,0.8495481559879507,17,0.8447833065810594,"1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0",0.8603174603174604,0.8787878787878788,0.8611896155110088,14,0.8533547351524879,0.8191852569580078,"1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0",0.8496381667113374,0.8560606060606061,0.8361640972040763,10,0.8306902086677368,"1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1,0,1",0.8620329239613274,0.8712121212121212,0.8534099817089105,27,0.8476404494382023
Biodegradeable,9,"1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,1,1,1,1,1,0",27,0.8269434406252627,0.8371322813169686,0.8560606060606061,0.8495481559879507,0.8334510433386837,"1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,1,1,1,1,1,0",0.8269434406252627,0.8560606060606061,0.8371322813169686,27,0.8334510433386837,"1,0,1,1,0,1,1,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0",0.8269434406252627,0.8522727272727273,0.8333306353702954,19,0.8305939004815409,0.9122059345245361,"1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0",0.8142589118198874,0.8522727272727273,0.831343063541206,14,0.8250722311396469,"1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1",0.8231037255427499,0.8484848484848485,0.8275411549516591,32,0.822215088282504
