dataset,run,best_solution,best_solution_size,validation_fitness,F1_test,CAC_test,best_test_fitness,best_solution_test_sensitivity,majority_voting,majority_voting_validation_fitness,majority_voting_test_CAC,majority_voting_test_F1,majority_voting_size,majority_voting_test_sensitivity,sfs_intersection_solution,sfs_intersection_validation_fitness,sfs_intersection_test_CAC,sfs_intersection_test_F1,sfs_intersection_size,sfs_intersection_test_sensitivity,duration,intersection_solution,intersection_validation_fitness,intersection_test_CAC,intersection_test_F1,intersection_size,intersection_test_sensitivity,union_solution,union_validation_fitness,unions_test_CAC,unions_test_F1,union_size,union_test_sensitivity
Biodegradeable,0,"0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0",13,0.8542762517046562,0.7867844604506271,0.8143939393939394,0.8164812942366027,0.779935794542536,"1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0",0.8447870394564932,0.7992424242424242,0.7707995478893312,14,0.7657463884430176,"0,1,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0",0.8220224719101124,0.7840909090909091,0.7577864696508764,19,0.7570786516853932,2.1344830989837646,"0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0",0.7604505632040051,0.7159090909090909,0.6847485152928813,5,0.6863242375601926,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",0.8117559523809523,0.8257575757575758,0.8061302681992337,40,0.8078330658105939
Biodegradeable,1,"1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1",26,0.8748736097067745,0.7628555669371996,0.7840909090909091,0.809831761937539,0.7681219903691814,"1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,1,1,0,1,1,1,1,0,0,1",0.8678347934918648,0.7954545454545454,0.7711717495987159,23,0.7711717495987159,"1,0,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1",0.8710267118430384,0.803030303030303,0.7841916619505753,23,0.7906902086677368,1.2232773303985596,"1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0",0.8302570294980163,0.7992424242424242,0.7783796626277025,12,0.7823113964686998,"1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1",0.8710267118430384,0.7765151515151515,0.7545347096367504,30,0.7596468699839486
Biodegradeable,2,"1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1",20,0.8754951895868704,0.8061302681992337,0.8257575757575758,0.7881219903691814,0.8078330658105939,"1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1",0.8678347934918648,0.8333333333333334,0.8125,19,0.8107865168539325,"1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,1,1,1,1,0,1,1,1",0.8633776091081593,0.8257575757575758,0.8071523851870673,21,0.8105939004815409,0.7581698894500732,"0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1",0.7835898229061944,0.8068181818181818,0.7867426942266572,13,0.7907865168539325,"1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,1,1,1,1,0,1,1,1",0.8550974642056236,0.8409090909090909,0.8229885057471265,24,0.8247833065810595
Biodegradeable,3,"0,1,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,1,1,1,0,0,1,0,1,0,1,1,0,1",23,0.8520913703958637,0.7357954545454546,0.7651515151515151,0.8172775121927665,0.734510433386838,"0,1,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,1,1,1,0,0,1,0,1,0,1,1,0,1",0.8482758620689654,0.7727272727272727,0.7428404441846873,22,0.7402247191011235,"0,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0,1",0.8323064219017977,0.7765151515151515,0.7478591663294213,23,0.7458426966292135,0.9482176303863525,"0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1",0.8422939068100359,0.7916666666666666,0.7649534601375962,18,0.7627929373996789,"0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1",0.8360692279522983,0.7840909090909091,0.7577864696508764,30,0.7570786516853932
Biodegradeable,4,"0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1",33,0.8389727126805778,0.8415065722952477,0.8560606060606061,0.7917813511033849,0.847255216693419,"0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1",0.8314176245210728,0.8484848484848485,0.8323064219017977,34,0.8360192616372392,"0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1",0.8351875270125338,0.8371212121212122,0.8192558154345854,31,0.8219261637239166,1.436323642730713,"0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,1,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,1,0,1,1",0.7987677062821571,0.8295454545454546,0.8118317890235209,22,0.8162118780096308,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",0.8162363415621205,0.8371212121212122,0.8192558154345854,40,0.8219261637239166
Biodegradeable,5,"0,0,1,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0",17,0.8636363636363635,0.8285602961231249,0.8484848484848485,0.7893674183831313,0.824975922953451,"0,0,1,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0",0.8636363636363635,0.8484848484848485,0.8285602961231249,17,0.824975922953451,"0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,0",0.8482758620689654,0.8409090909090909,0.8199883109292812,15,0.8165008025682183,0.5661182403564453,"0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0",0.8474478330658106,0.8598484848484849,0.8436394487041988,12,0.8445906902086677,"0,0,1,0,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,1,1,1,0",0.8551136363636365,0.8522727272727273,0.831343063541206,20,0.8250722311396469
Biodegradeable,6,"1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,1,0,1",26,0.8377432826412419,0.7474555804726583,0.7689393939393939,0.818283683629204,0.7539325842696629,"1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,1,0,1",0.8377432826412419,0.7689393939393939,0.7474555804726583,26,0.7539325842696629,"1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1",0.8155370640919775,0.8257575757575758,0.808139534883721,15,0.8133547351524879,1.9654455184936523,"1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1",0.7580889787664307,0.7878787878787878,0.7728055077452669,8,0.7875441412520064,"1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",0.8164812942366027,0.8106060606060606,0.7962837212173591,39,0.8102086677367576
Biodegradeable,7,"1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0,1,0",18,0.8612893467288678,0.7299107142857143,0.75,0.8285602961231249,0.7396468699839487,"1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0,1,0",0.8437869822485207,0.7954545454545454,0.7799864189147478,18,0.7932584269662921,"1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0",0.8323064219017977,0.7840909090909091,0.7682605682605683,17,0.7819261637239165,0.9732203483581543,"1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0",0.8044598534394454,0.7613636363636364,0.7427577140205708,12,0.7537399678972713,"1,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,1,1,0,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1",0.81455938697318,0.75,0.7310945120069139,26,0.7424077046548956
Biodegradeable,8,"1,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,1",21,0.8361640972040763,0.8155370640919775,0.8333333333333334,0.789272030651341,0.8190690208667737,"1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0",0.8275411549516591,0.8181818181818182,0.7997977755308393,19,0.8048796147672552,"1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1",0.8269434406252627,0.8333333333333334,0.81455938697318,15,0.8163081861958266,1.0902466773986816,"1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0",0.7917844232665134,0.803030303030303,0.7808429118773946,11,0.7824077046548956,"1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1,0,0,1,1,1,0,0,1,1,1",0.7929279185542091,0.8371212121212122,0.818283683629204,27,0.8191653290529695
Biodegradeable,9,"1,0,1,0,1,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0",24,0.8219768845954804,0.7934918648310387,0.8106060606060606,0.8065619148416511,0.8019261637239166,"1,0,1,0,1,1,1,1,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0",0.8173929447274099,0.8181818181818182,0.8026782933665525,24,0.8131621187800964,"1,0,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0",0.8211015680403435,0.8106060606060606,0.792491982644784,22,0.7991653290529694,1.053241491317749,"1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0",0.8136967396929446,0.8106060606060606,0.7914560161779576,19,0.7964044943820224,"1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0",0.8026782933665525,0.803030303030303,0.7852315394242804,32,0.7934510433386838
